alt_km,f107,rho,fO,fN2,fO2,T
1.50000000e+02,7.00000000e+01,1.58234570e-09,2.16370761e-01,6.78793084e-01,1.04836154e-01,6.06599182e+02
1.52000000e+02,7.00000000e+01,1.41668088e-09,2.24686962e-01,6.73171451e-01,1.02141587e-01,6.16227112e+02
1.54000000e+02,7.00000000e+01,1.27219746e-09,2.33026552e-01,6.67441148e-01,9.95322993e-02,6.25281189e+02
1.56000000e+02,7.00000000e+01,1.14563825e-09,2.41396040e-01,6.61601294e-01,9.70026663e-02,6.33797180e+02
1.58000000e+02,7.00000000e+01,1.03433495e-09,2.49799525e-01,6.55652714e-01,9.45477612e-02,6.41808716e+02
1.60000000e+02,7.00000000e+01,9.36084987e-10,2.58240796e-01,6.49596047e-01,9.21631570e-02,6.49347229e+02
1.62000000e+02,7.00000000e+01,8.49058601e-10,2.66723041e-01,6.43432173e-01,8.98447857e-02,6.56442078e+02
1.64000000e+02,7.00000000e+01,7.71727127e-10,2.75247860e-01,6.37163095e-01,8.75890455e-02,6.63120789e+02
1.66000000e+02,7.00000000e+01,7.02805369e-10,2.83817065e-01,6.30790555e-01,8.53923807e-02,6.69409058e+02
1.68000000e+02,7.00000000e+01,6.41207532e-10,2.92430661e-01,6.24317466e-01,8.32518729e-02,6.75330688e+02
1.70000000e+02,7.00000000e+01,5.86012294e-10,3.01089327e-01,6.17745985e-01,8.11646882e-02,6.80908508e+02
1.72000000e+02,7.00000000e+01,5.36432843e-10,3.09792038e-01,6.11079671e-01,7.91282912e-02,6.86163025e+02
1.74000000e+02,7.00000000e+01,4.91796215e-10,3.18538129e-01,6.04321555e-01,7.71403164e-02,6.91114319e+02
1.76000000e+02,7.00000000e+01,4.51522153e-10,3.27325997e-01,5.97475431e-01,7.51985717e-02,6.95780884e+02
1.78000000e+02,7.00000000e+01,4.15111057e-10,3.36154067e-01,5.90544780e-01,7.33011524e-02,7.00179504e+02
1.80000000e+02,7.00000000e+01,3.82129023e-10,3.45019955e-01,5.83533799e-01,7.14462464e-02,7.04326843e+02
1.82000000e+02,7.00000000e+01,3.52199186e-10,3.53921213e-01,5.76446664e-01,6.96321226e-02,7.08237732e+02
1.84000000e+02,7.00000000e+01,3.24992311e-10,3.62854887e-01,5.69287738e-01,6.78573754e-02,7.11926392e+02
1.86000000e+02,7.00000000e+01,3.00220709e-10,3.71818043e-01,5.62061361e-01,6.61205959e-02,7.15406311e+02
1.88000000e+02,7.00000000e+01,2.77631779e-10,3.80807534e-01,5.54772004e-01,6.44204621e-02,7.18689758e+02
1.90000000e+02,7.00000000e+01,2.57002836e-10,3.89819353e-01,5.47424619e-01,6.27560283e-02,7.21788513e+02
1.92000000e+02,7.00000000e+01,2.38137787e-10,3.98850263e-01,5.40023691e-01,6.11260462e-02,7.24713379e+02
1.94000000e+02,7.00000000e+01,2.20862856e-10,4.07896036e-01,5.32574284e-01,5.95296809e-02,7.27474670e+02
1.96000000e+02,7.00000000e+01,2.05024123e-10,4.16952969e-01,5.25080953e-01,5.79660777e-02,7.30082153e+02
1.98000000e+02,7.00000000e+01,1.90484836e-10,4.26016669e-01,5.17548889e-01,5.64344412e-02,7.32544800e+02
2.00000000e+02,7.00000000e+01,1.77122872e-10,4.35082820e-01,5.09983173e-01,5.49340061e-02,7.34870789e+02
2.02000000e+02,7.00000000e+01,1.64829247e-10,4.44147408e-01,5.02388331e-01,5.34642607e-02,7.37068481e+02
2.04000000e+02,7.00000000e+01,1.53506832e-10,4.53205709e-01,4.94769820e-01,5.20244717e-02,7.39145325e+02
2.06000000e+02,7.00000000e+01,1.43068196e-10,4.62253395e-01,4.87132435e-01,5.06141701e-02,7.41108093e+02
2.08000000e+02,7.00000000e+01,1.33435069e-10,4.71285844e-01,4.79481269e-01,4.92328865e-02,7.42963440e+02
2.10000000e+02,7.00000000e+01,1.24536964e-10,4.80298818e-01,4.71821039e-01,4.78801426e-02,7.44717773e+02
2.12000000e+02,7.00000000e+01,1.16310350e-10,4.89287539e-01,4.64156992e-01,4.65554692e-02,7.46376648e+02
