# Song, Cho, Karwasz, Kokoouline & Tennyson, J. Phys. Chem. Ref. Data 52, 023104 (2023), doi:10.1063/5.0150618,
# Fig. 19, vector paths from the NSF Public Access Repository copy https://par.nsf.gov/servlets/purl/10526876
# (sha256 f35b73d1f5f11291e6d844cdd8e324f99b6f5b17a9661d2568fca59e9604875d); extracted by scripts/chemistry/n2_domain_extension_requirements.py --extract-fig19.
# Frame: x log10 from ticks 10 eV (x=348.774 pt) and 1000 eV (534.467 pt); y linear from ticks 0.0 (223.626 pt)
# and 3.0 (86.866 pt) in 1e-16 cm^2. Series identified by the figure LEGEND (Majeed = green dashed, Kawaguchi =
# magenta solid); the caption says the reverse (broken/solid) - the text (Kawaguchi 'somewhat lower', Majeed uses
# Cosby) agrees with the legend. Markers: bounding-box centre (anchor ambiguity <= 0.5 pt ~ 0.011e-16 cm^2).
# Evidence: digitized (vector) from a secondary figure; MS1997/Kawaguchi primaries not accessed (abstract only).
series,x_pt,y_pt,E_eV,sigma_1e-16cm2
MS1997_curve,352.6110,223.3050,10.9983,0.00704
MS1997_curve,353.2510,223.0660,11.1743,0.01228
MS1997_curve,353.4120,223.0660,11.2190,0.01228
MS1997_curve,353.4910,222.9850,11.2410,0.01406
MS1997_curve,353.5720,222.9850,11.2636,0.01406
MS1997_curve,353.6510,222.9850,11.2857,0.01406
MS1997_curve,353.7320,222.9060,11.3084,0.01579
MS1997_curve,353.8110,222.9060,11.3305,0.01579
MS1997_curve,355.4110,222.0259,11.7892,0.03510
MS1997_curve,355.4910,221.9450,11.8126,0.03687
MS1997_curve,355.6510,221.8660,11.8596,0.03861
MS1997_curve,355.8110,221.7870,11.9067,0.04034
MS1997_curve,355.9710,221.7060,11.9540,0.04212
MS1997_curve,356.1310,221.5460,12.0016,0.04563
MS1997_curve,356.2910,221.4670,12.0493,0.04736
MS1997_curve,356.4510,221.3060,12.0972,0.05089
MS1997_curve,356.6100,221.2250,12.1450,0.05267
MS1997_curve,357.9700,220.0270,12.5616,0.07895
MS1997_curve,358.1300,219.8670,12.6116,0.08246
MS1997_curve,358.3690,219.6270,12.6865,0.08772
