Ionization energy (eV): 27.9
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	2.756029e-33
2.0	4.847946e-24
3.0	6.392900e-21
4.0	2.421911e-19
5.0	2.197815e-18
6.0	9.717820e-18
7.0	2.841949e-17
8.0	6.408779e-17
9.0	1.214012e-16
10.0	2.034028e-16
11.0	3.115225e-16
12.0	4.458615e-16
13.0	6.055468e-16
14.0	7.890564e-16
15.0	9.944824e-16
16.0	1.219726e-15
17.0	1.462635e-15
18.0	1.721098e-15
19.0	1.993098e-15
20.0	2.276751e-15
21.0	2.570318e-15
22.0	2.872217e-15
23.0	3.181014e-15
24.0	3.495422e-15
25.0	3.814289e-15
26.0	4.136590e-15
27.0	4.461417e-15
28.0	4.787963e-15
29.0	5.115517e-15
30.0	5.443456e-15
31.0	5.771228e-15
32.0	6.098352e-15
33.0	6.424406e-15
34.0	6.749024e-15
35.0	7.071885e-15
36.0	7.392713e-15
37.0	7.711268e-15
38.0	8.027344e-15
39.0	8.340765e-15
40.0	8.651381e-15
41.0	8.959066e-15
42.0	9.263713e-15
43.0	9.565234e-15
44.0	9.863558e-15
45.0	1.015863e-14
46.0	1.045040e-14
47.0	1.073884e-14
48.0	1.102392e-14
49.0	1.130563e-14
50.0	1.158396e-14
51.0	1.185891e-14
52.0	1.213049e-14
53.0	1.239871e-14
54.0	1.266358e-14
55.0	1.292512e-14
56.0	1.318335e-14
57.0	1.343830e-14
58.0	1.369000e-14
59.0	1.393848e-14
60.0	1.418377e-14
61.0	1.442590e-14
62.0	1.466491e-14
63.0	1.490084e-14
64.0	1.513372e-14
65.0	1.536360e-14
66.0	1.559050e-14
67.0	1.581448e-14
68.0	1.603556e-14
69.0	1.625379e-14
70.0	1.646921e-14
71.0	1.668186e-14
72.0	1.689178e-14
73.0	1.709900e-14
74.0	1.730357e-14
75.0	1.750553e-14
76.0	1.770492e-14
77.0	1.790177e-14
78.0	1.809612e-14
79.0	1.828801e-14
80.0	1.847749e-14
81.0	1.866457e-14
82.0	1.884931e-14
83.0	1.903174e-14
84.0	1.921189e-14
85.0	1.938980e-14
86.0	1.956550e-14
87.0	1.973903e-14
88.0	1.991042e-14
89.0	2.007971e-14
90.0	2.024692e-14
91.0	2.041210e-14
92.0	2.057526e-14
93.0	2.073644e-14
94.0	2.089568e-14
95.0	2.105300e-14
96.0	2.120843e-14
97.0	2.136200e-14
98.0	2.151374e-14
99.0	2.166367e-14
100.0	2.181184e-14
101.0	2.195825e-14
102.0	2.210294e-14
103.0	2.224593e-14
104.0	2.238726e-14
105.0	2.252694e-14
106.0	2.266500e-14
107.0	2.280146e-14
108.0	2.293635e-14
109.0	2.306969e-14
110.0	2.320151e-14
111.0	2.333182e-14
112.0	2.346065e-14
113.0	2.358803e-14
114.0	2.371396e-14
115.0	2.383848e-14
116.0	2.396160e-14
117.0	2.408335e-14
118.0	2.420373e-14
119.0	2.432279e-14
120.0	2.444052e-14
121.0	2.455696e-14
122.0	2.467211e-14
123.0	2.478600e-14
124.0	2.489865e-14
125.0	2.501008e-14
126.0	2.512029e-14
127.0	2.522931e-14
128.0	2.533716e-14
129.0	2.544384e-14
130.0	2.554938e-14
131.0	2.565380e-14
132.0	2.575710e-14
133.0	2.585930e-14
134.0	2.596042e-14
135.0	2.606048e-14
136.0	2.615948e-14
137.0	2.625744e-14
138.0	2.635438e-14
139.0	2.645031e-14
140.0	2.654524e-14
141.0	2.663918e-14
142.0	2.673216e-14
143.0	2.682417e-14
144.0	2.691524e-14
145.0	2.700537e-14
146.0	2.709459e-14
147.0	2.718289e-14
148.0	2.727030e-14
149.0	2.735682e-14
150.0	2.744246e-14
151.0	2.752725e-14
152.0	2.761118e-14
153.0	2.769426e-14
154.0	2.777652e-14
155.0	2.785796e-14
156.0	2.793858e-14
157.0	2.801841e-14
158.0	2.809744e-14
159.0	2.817570e-14
160.0	2.825318e-14
161.0	2.832990e-14
162.0	2.840587e-14
163.0	2.848110e-14
164.0	2.855560e-14
165.0	2.862937e-14
166.0	2.870242e-14
167.0	2.877477e-14
168.0	2.884642e-14
169.0	2.891737e-14
170.0	2.898765e-14
171.0	2.905725e-14
172.0	2.912619e-14
173.0	2.919447e-14
174.0	2.926209e-14
175.0	2.932908e-14
176.0	2.939543e-14
177.0	2.946115e-14
178.0	2.952625e-14
179.0	2.959074e-14
180.0	2.965462e-14
181.0	2.971790e-14
182.0	2.978059e-14
183.0	2.984270e-14
184.0	2.990422e-14
185.0	2.996518e-14
186.0	3.002557e-14
187.0	3.008539e-14
188.0	3.014467e-14
189.0	3.020340e-14
190.0	3.026158e-14
191.0	3.031924e-14
192.0	3.037636e-14
193.0	3.043296e-14
194.0	3.048904e-14
195.0	3.054461e-14
196.0	3.059968e-14
197.0	3.065424e-14
198.0	3.070831e-14
199.0	3.076189e-14
200.0	3.081499e-14
201.0	3.086761e-14
202.0	3.091975e-14
203.0	3.097142e-14
204.0	3.102263e-14
205.0	3.107338e-14
206.0	3.112368e-14
207.0	3.117353e-14
208.0	3.122293e-14
209.0	3.127189e-14
210.0	3.132042e-14
211.0	3.136852e-14
212.0	3.141619e-14
213.0	3.146344e-14
214.0	3.151027e-14
215.0	3.155669e-14
216.0	3.160270e-14
217.0	3.164830e-14
218.0	3.169351e-14
219.0	3.173832e-14
220.0	3.178273e-14
221.0	3.182676e-14
222.0	3.187040e-14
223.0	3.191367e-14
224.0	3.195655e-14
225.0	3.199906e-14
226.0	3.204121e-14
227.0	3.208299e-14
228.0	3.212440e-14
229.0	3.216546e-14
230.0	3.220616e-14
231.0	3.224652e-14
232.0	3.228652e-14
233.0	3.232618e-14
234.0	3.236550e-14
235.0	3.240448e-14
236.0	3.244313e-14
237.0	3.248144e-14
238.0	3.251943e-14
239.0	3.255709e-14
240.0	3.259444e-14
241.0	3.263146e-14
242.0	3.266817e-14
243.0	3.270456e-14
244.0	3.274065e-14
245.0	3.277642e-14
246.0	3.281190e-14
247.0	3.284707e-14
248.0	3.288195e-14
249.0	3.291653e-14
250.0	3.295082e-14
251.0	3.298482e-14
252.0	3.301853e-14
253.0	3.305196e-14
254.0	3.308511e-14
255.0	3.311797e-14
256.0	3.315057e-14
257.0	3.318288e-14
258.0	3.321493e-14
259.0	3.324671e-14
260.0	3.327822e-14
261.0	3.330946e-14
262.0	3.334045e-14
263.0	3.337117e-14
264.0	3.340164e-14
265.0	3.343186e-14
266.0	3.346182e-14
267.0	3.349153e-14
268.0	3.352100e-14
269.0	3.355021e-14
270.0	3.357919e-14
271.0	3.360792e-14
272.0	3.363642e-14
273.0	3.366468e-14
274.0	3.369270e-14
275.0	3.372049e-14
276.0	3.374805e-14
277.0	3.377538e-14
278.0	3.380249e-14
279.0	3.382937e-14
280.0	3.385603e-14
281.0	3.388246e-14
282.0	3.390868e-14
283.0	3.393468e-14
284.0	3.396047e-14
285.0	3.398604e-14
286.0	3.401140e-14
287.0	3.403655e-14
288.0	3.406150e-14
289.0	3.408624e-14
290.0	3.411077e-14
291.0	3.413510e-14
292.0	3.415923e-14
293.0	3.418316e-14
294.0	3.420690e-14
295.0	3.423043e-14
296.0	3.425378e-14
297.0	3.427693e-14
298.0	3.429989e-14
299.0	3.432266e-14
300.0	3.434524e-14
