Ionization energy (eV): 42.9
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	2.201533e-43
2.0	2.494367e-29
3.0	1.169402e-24
4.0	2.477591e-22
5.0	6.083220e-21
6.0	5.099290e-20
7.0	2.317086e-19
8.0	7.188459e-19
9.0	1.730406e-18
10.0	3.489345e-18
11.0	6.187955e-18
12.0	9.968040e-18
13.0	1.491555e-17
14.0	2.106467e-17
15.0	2.840660e-17
16.0	3.689966e-17
17.0	4.647893e-17
18.0	5.706440e-17
19.0	6.856758e-17
20.0	8.089643e-17
21.0	9.395900e-17
22.0	1.076660e-16
23.0	1.219322e-16
24.0	1.366780e-16
25.0	1.518293e-16
26.0	1.673181e-16
27.0	1.830827e-16
28.0	1.990667e-16
29.0	2.152196e-16
30.0	2.314958e-16
31.0	2.478549e-16
32.0	2.642605e-16
33.0	2.806804e-16
34.0	2.970861e-16
35.0	3.134524e-16
36.0	3.297572e-16
37.0	3.459809e-16
38.0	3.621066e-16
39.0	3.781193e-16
40.0	3.940062e-16
41.0	4.097561e-16
42.0	4.253596e-16
43.0	4.408083e-16
44.0	4.560955e-16
45.0	4.712154e-16
46.0	4.861630e-16
47.0	5.009346e-16
48.0	5.155270e-16
49.0	5.299378e-16
50.0	5.441651e-16
51.0	5.582077e-16
52.0	5.720649e-16
53.0	5.857363e-16
54.0	5.992220e-16
55.0	6.125223e-16
56.0	6.256379e-16
57.0	6.385699e-16
58.0	6.513192e-16
59.0	6.638874e-16
60.0	6.762759e-16
61.0	6.884865e-16
62.0	7.005209e-16
63.0	7.123811e-16
64.0	7.240690e-16
65.0	7.355869e-16
66.0	7.469368e-16
67.0	7.581210e-16
68.0	7.691416e-16
69.0	7.800011e-16
70.0	7.907017e-16
71.0	8.012458e-16
72.0	8.116357e-16
73.0	8.218737e-16
74.0	8.319622e-16
75.0	8.419035e-16
76.0	8.517000e-16
77.0	8.613540e-16
78.0	8.708678e-16
79.0	8.802437e-16
80.0	8.894839e-16
81.0	8.985907e-16
82.0	9.075662e-16
83.0	9.164128e-16
84.0	9.251325e-16
85.0	9.337275e-16
86.0	9.421999e-16
87.0	9.505518e-16
88.0	9.587852e-16
89.0	9.669021e-16
90.0	9.749045e-16
91.0	9.827943e-16
92.0	9.905735e-16
93.0	9.982439e-16
94.0	1.005807e-15
95.0	1.013266e-15
96.0	1.020621e-15
97.0	1.027875e-15
98.0	1.035028e-15
99.0	1.042084e-15
100.0	1.049043e-15
101.0	1.055907e-15
102.0	1.062678e-15
103.0	1.069358e-15
104.0	1.075947e-15
105.0	1.082447e-15
106.0	1.088861e-15
107.0	1.095188e-15
108.0	1.101432e-15
109.0	1.107592e-15
110.0	1.113671e-15
111.0	1.119670e-15
112.0	1.125590e-15
113.0	1.131432e-15
114.0	1.137199e-15
115.0	1.142890e-15
116.0	1.148507e-15
117.0	1.154052e-15
118.0	1.159525e-15
119.0	1.164928e-15
120.0	1.170261e-15
121.0	1.175527e-15
122.0	1.180726e-15
123.0	1.185859e-15
124.0	1.190926e-15
125.0	1.195930e-15
126.0	1.200872e-15
127.0	1.205751e-15
128.0	1.210569e-15
129.0	1.215328e-15
130.0	1.220027e-15
131.0	1.224668e-15
132.0	1.229252e-15
133.0	1.233780e-15
134.0	1.238252e-15
135.0	1.242670e-15
136.0	1.247034e-15
137.0	1.251345e-15
138.0	1.255603e-15
139.0	1.259810e-15
140.0	1.263967e-15
141.0	1.268074e-15
142.0	1.272131e-15
143.0	1.276141e-15
144.0	1.280102e-15
145.0	1.284017e-15
146.0	1.287885e-15
147.0	1.291707e-15
148.0	1.295485e-15
149.0	1.299218e-15
150.0	1.302908e-15
151.0	1.306555e-15
152.0	1.310159e-15
153.0	1.313721e-15
154.0	1.317242e-15
155.0	1.320723e-15
156.0	1.324164e-15
157.0	1.327565e-15
158.0	1.330927e-15
159.0	1.334251e-15
160.0	1.337536e-15
161.0	1.340785e-15
162.0	1.343997e-15
163.0	1.347173e-15
164.0	1.350312e-15
165.0	1.353417e-15
166.0	1.356487e-15
167.0	1.359522e-15
168.0	1.362524e-15
169.0	1.365492e-15
170.0	1.368427e-15
171.0	1.371330e-15
172.0	1.374201e-15
173.0	1.377040e-15
174.0	1.379848e-15
175.0	1.382625e-15
176.0	1.385372e-15
177.0	1.388089e-15
178.0	1.390776e-15
179.0	1.393434e-15
180.0	1.396064e-15
181.0	1.398665e-15
182.0	1.401238e-15
183.0	1.403783e-15
184.0	1.406301e-15
185.0	1.408792e-15
186.0	1.411257e-15
187.0	1.413695e-15
188.0	1.416107e-15
189.0	1.418494e-15
190.0	1.420856e-15
191.0	1.423193e-15
192.0	1.425505e-15
193.0	1.427793e-15
194.0	1.430057e-15
195.0	1.432297e-15
196.0	1.434514e-15
197.0	1.436708e-15
198.0	1.438879e-15
199.0	1.441028e-15
200.0	1.443154e-15
201.0	1.445259e-15
202.0	1.447342e-15
203.0	1.449403e-15
204.0	1.451444e-15
205.0	1.453463e-15
206.0	1.455463e-15
207.0	1.457441e-15
208.0	1.459400e-15
209.0	1.461339e-15
210.0	1.463258e-15
211.0	1.465158e-15
212.0	1.467039e-15
213.0	1.468901e-15
214.0	1.470745e-15
215.0	1.472570e-15
216.0	1.474377e-15
217.0	1.476166e-15
218.0	1.477937e-15
219.0	1.479691e-15
220.0	1.481427e-15
221.0	1.483146e-15
222.0	1.484849e-15
223.0	1.486535e-15
224.0	1.488204e-15
225.0	1.489857e-15
226.0	1.491494e-15
227.0	1.493115e-15
228.0	1.494720e-15
229.0	1.496310e-15
230.0	1.497885e-15
231.0	1.499444e-15
232.0	1.500989e-15
233.0	1.502518e-15
234.0	1.504033e-15
235.0	1.505534e-15
236.0	1.507020e-15
237.0	1.508493e-15
238.0	1.509951e-15
239.0	1.511396e-15
240.0	1.512827e-15
241.0	1.514245e-15
242.0	1.515649e-15
243.0	1.517040e-15
244.0	1.518418e-15
245.0	1.519784e-15
246.0	1.521136e-15
247.0	1.522477e-15
248.0	1.523805e-15
249.0	1.525120e-15
250.0	1.526424e-15
251.0	1.527716e-15
252.0	1.528996e-15
253.0	1.530264e-15
254.0	1.531520e-15
255.0	1.532766e-15
256.0	1.534000e-15
257.0	1.535223e-15
258.0	1.536435e-15
259.0	1.537636e-15
260.0	1.538826e-15
261.0	1.540006e-15
262.0	1.541175e-15
263.0	1.542334e-15
264.0	1.543482e-15
265.0	1.544621e-15
266.0	1.545749e-15
267.0	1.546867e-15
268.0	1.547976e-15
269.0	1.549075e-15
270.0	1.550165e-15
271.0	1.551245e-15
272.0	1.552315e-15
273.0	1.553377e-15
274.0	1.554429e-15
275.0	1.555472e-15
276.0	1.556506e-15
277.0	1.557532e-15
278.0	1.558549e-15
279.0	1.559557e-15
280.0	1.560556e-15
281.0	1.561548e-15
282.0	1.562530e-15
283.0	1.563505e-15
284.0	1.564471e-15
285.0	1.565430e-15
286.0	1.566380e-15
287.0	1.567323e-15
288.0	1.568258e-15
289.0	1.569185e-15
290.0	1.570104e-15
291.0	1.571016e-15
292.0	1.571921e-15
293.0	1.572818e-15
294.0	1.573708e-15
295.0	1.574591e-15
296.0	1.575466e-15
297.0	1.576335e-15
298.0	1.577197e-15
299.0	1.578051e-15
300.0	1.578899e-15
