Ionization energy (eV): 42.9
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	5.870482e-42
2.0	3.854671e-28
3.0	1.444722e-23
4.0	2.702359e-21
5.0	6.116915e-20
6.0	4.836175e-19
7.0	2.101013e-18
8.0	6.287013e-18
9.0	1.468668e-17
10.0	2.886731e-17
11.0	5.006628e-17
12.0	7.908125e-17
13.0	1.162716e-16
14.0	1.616222e-16
15.0	2.148311e-16
16.0	2.753966e-16
17.0	3.426926e-16
18.0	4.160284e-16
19.0	4.946930e-16
20.0	5.779862e-16
21.0	6.652396e-16
22.0	7.558288e-16
23.0	8.491804e-16
24.0	9.447746e-16
25.0	1.042145e-15
26.0	1.140877e-15
27.0	1.240603e-15
28.0	1.341002e-15
29.0	1.441794e-15
30.0	1.542734e-15
31.0	1.643612e-15
32.0	1.744245e-15
33.0	1.844480e-15
34.0	1.944184e-15
35.0	2.043246e-15
36.0	2.141571e-15
37.0	2.239081e-15
38.0	2.335713e-15
39.0	2.431413e-15
40.0	2.526140e-15
41.0	2.619860e-15
42.0	2.712547e-15
43.0	2.804184e-15
44.0	2.894757e-15
45.0	2.984259e-15
46.0	3.072685e-15
47.0	3.160037e-15
48.0	3.246317e-15
49.0	3.331532e-15
50.0	3.415690e-15
51.0	3.498801e-15
52.0	3.580877e-15
53.0	3.661930e-15
54.0	3.741976e-15
55.0	3.821029e-15
56.0	3.899105e-15
57.0	3.976220e-15
58.0	4.052391e-15
59.0	4.127635e-15
60.0	4.201968e-15
61.0	4.275410e-15
62.0	4.347976e-15
63.0	4.419684e-15
64.0	4.490551e-15
65.0	4.560594e-15
66.0	4.629831e-15
67.0	4.698278e-15
68.0	4.765951e-15
69.0	4.832866e-15
70.0	4.899040e-15
71.0	4.964489e-15
72.0	5.029227e-15
73.0	5.093270e-15
74.0	5.156632e-15
75.0	5.219329e-15
76.0	5.281373e-15
77.0	5.342780e-15
78.0	5.403562e-15
79.0	5.463733e-15
80.0	5.523306e-15
