Ionization energy (eV): 47.4453
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	2.239137e-46
2.0	9.487063e-31
3.0	1.690750e-25
4.0	7.475303e-23
5.0	2.966847e-21
6.0	3.508870e-20
7.0	2.071421e-19
8.0	7.906103e-19
9.0	2.253561e-18
10.0	5.232105e-18
11.0	1.045778e-17
12.0	1.867423e-17
13.0	3.056707e-17
14.0	4.671663e-17
15.0	6.757368e-17
16.0	9.345340e-17
17.0	1.245418e-16
18.0	1.609093e-16
19.0	2.025283e-16
20.0	2.492910e-16
21.0	3.010266e-16
22.0	3.575172e-16
23.0	4.185107e-16
24.0	4.837328e-16
25.0	5.528959e-16
26.0	6.257064e-16
27.0	7.018711e-16
28.0	7.811009e-16
29.0	8.631149e-16
30.0	9.476421e-16
31.0	1.034424e-15
32.0	1.123214e-15
33.0	1.213780e-15
34.0	1.305905e-15
35.0	1.399382e-15
36.0	1.494022e-15
37.0	1.589646e-15
38.0	1.686090e-15
39.0	1.783200e-15
40.0	1.880836e-15
41.0	1.978866e-15
42.0	2.077171e-15
43.0	2.175642e-15
44.0	2.274175e-15
45.0	2.372679e-15
46.0	2.471069e-15
47.0	2.569267e-15
48.0	2.667203e-15
49.0	2.764812e-15
50.0	2.862035e-15
51.0	2.958820e-15
52.0	3.055118e-15
53.0	3.150887e-15
54.0	3.246086e-15
55.0	3.340681e-15
56.0	3.434640e-15
57.0	3.527936e-15
58.0	3.620542e-15
59.0	3.712437e-15
60.0	3.803602e-15
61.0	3.894019e-15
62.0	3.983673e-15
63.0	4.072551e-15
64.0	4.160643e-15
65.0	4.247938e-15
66.0	4.334431e-15
67.0	4.420113e-15
68.0	4.504981e-15
69.0	4.589031e-15
70.0	4.672260e-15
71.0	4.754667e-15
72.0	4.836250e-15
73.0	4.917012e-15
74.0	4.996951e-15
75.0	5.076072e-15
76.0	5.154374e-15
77.0	5.231863e-15
78.0	5.308541e-15
79.0	5.384412e-15
80.0	5.459481e-15
81.0	5.533753e-15
82.0	5.607233e-15
83.0	5.679926e-15
84.0	5.751839e-15
85.0	5.822978e-15
86.0	5.893348e-15
87.0	5.962956e-15
88.0	6.031810e-15
89.0	6.099916e-15
90.0	6.167280e-15
91.0	6.233911e-15
92.0	6.299815e-15
93.0	6.365000e-15
94.0	6.429473e-15
95.0	6.493241e-15
96.0	6.556312e-15
97.0	6.618693e-15
98.0	6.680393e-15
99.0	6.741418e-15
100.0	6.801775e-15
101.0	6.861474e-15
102.0	6.920520e-15
103.0	6.978922e-15
104.0	7.036687e-15
105.0	7.093822e-15
106.0	7.150336e-15
107.0	7.206234e-15
108.0	7.261525e-15
109.0	7.316215e-15
110.0	7.370313e-15
111.0	7.423824e-15
112.0	7.476757e-15
113.0	7.529118e-15
114.0	7.580914e-15
115.0	7.632152e-15
116.0	7.682839e-15
117.0	7.732982e-15
118.0	7.782587e-15
119.0	7.831662e-15
120.0	7.880211e-15
121.0	7.928243e-15
122.0	7.975763e-15
123.0	8.022778e-15
124.0	8.069294e-15
125.0	8.115317e-15
126.0	8.160854e-15
127.0	8.205910e-15
128.0	8.250491e-15
129.0	8.294604e-15
130.0	8.338253e-15
131.0	8.381445e-15
132.0	8.424186e-15
133.0	8.466480e-15
134.0	8.508335e-15
135.0	8.549754e-15
136.0	8.590743e-15
137.0	8.631308e-15
138.0	8.671454e-15
139.0	8.711187e-15
140.0	8.750510e-15
141.0	8.789429e-15
142.0	8.827950e-15
143.0	8.866076e-15
144.0	8.903814e-15
145.0	8.941166e-15
146.0	8.978140e-15
147.0	9.014738e-15
148.0	9.050965e-15
149.0	9.086827e-15
150.0	9.122327e-15
151.0	9.157469e-15
152.0	9.192259e-15
153.0	9.226700e-15
154.0	9.260796e-15
155.0	9.294553e-15
156.0	9.327972e-15
157.0	9.361060e-15
158.0	9.393819e-15
159.0	9.426254e-15
160.0	9.458369e-15
161.0	9.490167e-15
162.0	9.521651e-15
163.0	9.552827e-15
164.0	9.583697e-15
165.0	9.614264e-15
166.0	9.644534e-15
167.0	9.674508e-15
168.0	9.704190e-15
169.0	9.733585e-15
170.0	9.762695e-15
171.0	9.791523e-15
172.0	9.820072e-15
173.0	9.848347e-15
174.0	9.876350e-15
175.0	9.904084e-15
176.0	9.931553e-15
177.0	9.958758e-15
178.0	9.985704e-15
179.0	1.001239e-14
180.0	1.003883e-14
181.0	1.006501e-14
182.0	1.009095e-14
183.0	1.011664e-14
184.0	1.014209e-14
185.0	1.016730e-14
186.0	1.019227e-14
187.0	1.021701e-14
188.0	1.024151e-14
189.0	1.026579e-14
190.0	1.028984e-14
191.0	1.031366e-14
192.0	1.033727e-14
193.0	1.036065e-14
194.0	1.038382e-14
195.0	1.040677e-14
196.0	1.042951e-14
197.0	1.045204e-14
198.0	1.047436e-14
199.0	1.049648e-14
200.0	1.051840e-14
201.0	1.054011e-14
202.0	1.056162e-14
203.0	1.058294e-14
204.0	1.060406e-14
205.0	1.062499e-14
206.0	1.064573e-14
207.0	1.066628e-14
208.0	1.068665e-14
209.0	1.070683e-14
210.0	1.072683e-14
211.0	1.074665e-14
212.0	1.076628e-14
213.0	1.078575e-14
214.0	1.080503e-14
215.0	1.082415e-14
216.0	1.084309e-14
217.0	1.086186e-14
218.0	1.088047e-14
219.0	1.089891e-14
220.0	1.091718e-14
221.0	1.093529e-14
222.0	1.095324e-14
223.0	1.097103e-14
224.0	1.098867e-14
225.0	1.100614e-14
226.0	1.102347e-14
227.0	1.104064e-14
228.0	1.105766e-14
229.0	1.107452e-14
230.0	1.109124e-14
231.0	1.110782e-14
232.0	1.112424e-14
233.0	1.114053e-14
234.0	1.115667e-14
235.0	1.117267e-14
236.0	1.118853e-14
237.0	1.120425e-14
238.0	1.121983e-14
239.0	1.123528e-14
240.0	1.125059e-14
241.0	1.126577e-14
242.0	1.128082e-14
243.0	1.129574e-14
244.0	1.131053e-14
245.0	1.132519e-14
246.0	1.133973e-14
247.0	1.135414e-14
248.0	1.136842e-14
249.0	1.138258e-14
250.0	1.139662e-14
251.0	1.141054e-14
252.0	1.142434e-14
253.0	1.143802e-14
254.0	1.145159e-14
255.0	1.146503e-14
256.0	1.147837e-14
257.0	1.149158e-14
258.0	1.150469e-14
259.0	1.151768e-14
260.0	1.153056e-14
261.0	1.154334e-14
262.0	1.155600e-14
263.0	1.156856e-14
264.0	1.158101e-14
265.0	1.159335e-14
266.0	1.160559e-14
267.0	1.161772e-14
268.0	1.162976e-14
269.0	1.164169e-14
270.0	1.165352e-14
271.0	1.166524e-14
272.0	1.167687e-14
273.0	1.168840e-14
274.0	1.169984e-14
275.0	1.171118e-14
276.0	1.172242e-14
277.0	1.173357e-14
278.0	1.174462e-14
279.0	1.175558e-14
280.0	1.176645e-14
281.0	1.177722e-14
282.0	1.178791e-14
283.0	1.179851e-14
284.0	1.180901e-14
285.0	1.181943e-14
286.0	1.182976e-14
287.0	1.184001e-14
288.0	1.185017e-14
289.0	1.186024e-14
290.0	1.187023e-14
291.0	1.188014e-14
292.0	1.188996e-14
293.0	1.189970e-14
294.0	1.190936e-14
295.0	1.191894e-14
296.0	1.192844e-14
297.0	1.193786e-14
298.0	1.194720e-14
299.0	1.195646e-14
300.0	1.196565e-14
