Ionization energy (eV): 44.1354
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	1.806968e-45
2.0	1.119997e-30
3.0	1.182852e-25
4.0	4.222222e-23
5.0	1.510331e-21
6.0	1.690569e-20
7.0	9.681254e-20
8.0	3.633165e-19
9.0	1.026213e-18
10.0	2.372010e-18
11.0	4.733559e-18
12.0	8.453937e-18
13.0	1.385480e-17
14.0	2.121392e-17
15.0	3.075246e-17
16.0	4.263042e-17
17.0	5.694795e-17
18.0	7.375046e-17
19.0	9.303565e-17
20.0	1.147614e-16
21.0	1.388535e-16
22.0	1.652129e-16
23.0	1.937224e-16
24.0	2.242518e-16
25.0	2.566627e-16
26.0	2.908127e-16
27.0	3.265578e-16
28.0	3.637554e-16
29.0	4.022658e-16
30.0	4.419537e-16
31.0	4.826892e-16
32.0	5.243485e-16
33.0	5.668144e-16
34.0	6.099761e-16
35.0	6.537302e-16
36.0	6.979796e-16
37.0	7.426341e-16
38.0	7.876099e-16
39.0	8.328295e-16
40.0	8.782214e-16
41.0	9.237197e-16
42.0	9.692637e-16
43.0	1.014798e-15
44.0	1.060272e-15
45.0	1.105639e-15
46.0	1.150857e-15
47.0	1.195888e-15
48.0	1.240697e-15
49.0	1.285253e-15
50.0	1.329527e-15
51.0	1.373495e-15
52.0	1.417132e-15
53.0	1.460419e-15
54.0	1.503339e-15
55.0	1.545874e-15
56.0	1.588010e-15
57.0	1.629737e-15
58.0	1.671042e-15
59.0	1.711916e-15
60.0	1.752352e-15
61.0	1.792344e-15
62.0	1.831885e-15
63.0	1.870971e-15
64.0	1.909599e-15
65.0	1.947767e-15
66.0	1.985472e-15
67.0	2.022713e-15
68.0	2.059491e-15
69.0	2.095804e-15
70.0	2.131655e-15
71.0	2.167045e-15
72.0	2.201974e-15
73.0	2.236446e-15
74.0	2.270463e-15
75.0	2.304027e-15
76.0	2.337142e-15
77.0	2.369812e-15
78.0	2.402039e-15
79.0	2.433828e-15
80.0	2.465182e-15
81.0	2.496107e-15
82.0	2.526605e-15
83.0	2.556683e-15
84.0	2.586344e-15
85.0	2.615592e-15
86.0	2.644434e-15
87.0	2.672873e-15
88.0	2.700915e-15
89.0	2.728564e-15
90.0	2.755825e-15
91.0	2.782703e-15
92.0	2.809204e-15
93.0	2.835332e-15
94.0	2.861092e-15
95.0	2.886490e-15
96.0	2.911529e-15
97.0	2.936216e-15
98.0	2.960555e-15
99.0	2.984550e-15
100.0	3.008207e-15
101.0	3.031531e-15
102.0	3.054527e-15
103.0	3.077198e-15
104.0	3.099550e-15
105.0	3.121588e-15
106.0	3.143316e-15
107.0	3.164738e-15
108.0	3.185860e-15
109.0	3.206685e-15
110.0	3.227219e-15
111.0	3.247465e-15
112.0	3.267427e-15
113.0	3.287111e-15
114.0	3.306519e-15
115.0	3.325657e-15
116.0	3.344528e-15
117.0	3.363137e-15
118.0	3.381487e-15
119.0	3.399582e-15
120.0	3.417427e-15
121.0	3.435024e-15
122.0	3.452377e-15
123.0	3.469492e-15
124.0	3.486370e-15
125.0	3.503015e-15
126.0	3.519432e-15
127.0	3.535623e-15
128.0	3.551591e-15
129.0	3.567341e-15
130.0	3.582876e-15
131.0	3.598198e-15
132.0	3.613312e-15
133.0	3.628219e-15
134.0	3.642924e-15
135.0	3.657429e-15
136.0	3.671737e-15
137.0	3.685852e-15
138.0	3.699775e-15
139.0	3.713511e-15
140.0	3.727061e-15
