# P5 vacuum radial magnetic field, channel centreline (R=12.7 mm), NIST-traceable Hall probe.
# Source: Peterson, Gallimore & Haas, AIAA 2001-3890, Fig. 11 (1.6 kW, I_in=2 A, I_out=1 A coil setting), extracted from the
# PDF vector paths by scripts/digitize_p5_bfield.py. z from anode face (exit plane at 38.0 mm in
# this figure). Unscaled; the driver shifts/scales it (see cases/*.json 'B_profile').
z_from_anode_face_mm,Br_G
2.18,20.46
3.08,23.32
4.49,27.21
5.19,29.03
5.45,30.07
6.80,34.74
7.76,37.60
9.17,43.32
10.07,46.17
11.48,51.63
12.38,55.52
13.54,61.24
14.05,63.06
14.50,64.87
15.65,70.59
16.62,74.22
17.96,79.94
18.93,82.80
20.34,88.51
21.24,91.37
22.65,95.00
23.10,96.04
23.55,97.08
24.96,97.86
25.86,99.94
27.27,100.72
28.23,101.76
29.84,101.76
30.54,100.72
32.15,98.90
33.11,97.08
34.52,95.00
35.16,94.22
35.42,94.22
36.83,91.37
37.73,89.55
39.14,85.65
40.10,83.83
41.45,79.94
42.41,78.12
43.82,75.26
44.02,75.26
44.72,73.45
46.13,69.55
47.03,67.73
48.70,64.87
49.41,63.06
51.01,60.20
51.91,57.34
53.32,53.70
54.28,52.67
55.63,49.81
56.15,49.81
56.59,48.77
58.01,46.95
58.90,45.13
60.32,43.32
61.22,42.28
62.63,40.46
63.59,39.42
64.94,37.60
65.90,36.56
67.50,34.74
67.95,33.70
68.21,33.70
69.81,32.93
70.78,31.89
72.19,30.85
73.09,30.07
74.50,29.03
75.40,28.25
76.81,27.21
77.07,27.21
77.77,26.17
79.12,25.39
80.08,24.35
81.49,23.32
82.39,23.32
83.80,22.54
84.70,22.54
86.37,21.50
87.08,20.46
88.68,19.68
89.13,19.68
89.64,19.68
90.99,18.64
91.95,18.64
93.36,17.86
94.26,17.86
