hypothesis,registration,coil,point,combo,mode,retcode,Id_A,Id_target_A,Id_err_rel,T_mN,T_target_mN,T_err_rel,T_err_sigma,Id_rms_rel,Id_pp_rel,Id_f_dominant_Hz,current_eff,anode_eff,error
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/100_c_plume=1/16,vacuum,success,3.402433666182852,6.960964151571712,-0.511212298742464,49.61184662078227,72.8,-0.31851859037386987,-4.732276199840352,1.2057609751544713,3.946575866836076,5993.999999999999,1.0526215498529647,0.31343342853673267,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/100_c_plume=1/32,vacuum,success,3.099457021658995,6.960964151571712,-0.5547373964051847,46.320647826903794,72.8,-0.3637273650150578,-5.403949423080858,1.0422207793383937,3.3325904342699038,5993.999999999999,1.091418141092778,0.2999354688373249,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/100_c_plume=1/8,vacuum,success,3.211376242481836,6.960964151571712,-0.5386592758480532,48.8339937538635,72.8,-0.329203382501875,-4.891021682884999,1.409925161345377,4.8406830205494575,6992.999999999998,0.997032730271118,0.3217492120275813,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/300_c_plume=1/16,vacuum,success,3.274820858279891,6.960964151571712,-0.5295449327173347,37.003312698119274,72.8,-0.4917127376631968,-7.3054463881389236,0.9561872999004555,3.3282008433592605,6992.999999999998,1.1133421929190306,0.18115814255302673,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/300_c_plume=1/32,vacuum,success,3.321007487081955,6.960964151571712,-0.5229098419746773,31.54334529164516,72.8,-0.5667122899499292,-8.41972545068466,0.8558897589440753,3.194639167806588,5993.999999999999,1.1104938628450562,0.12981050541749506,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/300_c_plume=1/8,vacuum,success,3.3222557738984824,6.960964151571712,-0.5227305152622641,37.285520087018405,72.8,-0.487836262540956,-7.247853043465632,1.0064281237243375,3.834646981713409,6992.999999999998,1.0586673675379972,0.18130573481574574,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/800_c_plume=1/16,vacuum,success,2.885390918053772,6.960964151571712,-0.5854897604375278,24.112158133712054,72.8,-0.6687890366248345,-9.936294258426111,1.165757254178126,4.248854074396757,5993.999999999999,1.218514927331376,0.08730350934368657,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/800_c_plume=1/32,vacuum,success,2.8625058136650736,6.960964151571712,-0.5887773947207083,20.147379594617995,72.8,-0.7232502802937089,-10.745432735792246,1.0066657498991012,3.871506991505317,5993.999999999999,1.2068474345167377,0.06144053039351882,
H1a,L38-hist,1p6kW,Xe1,c_up=1/160_c_exit=1/800_c_plume=1/8,vacuum,success,3.2076777925921394,6.960964151571712,-0.5391905887250001,25.9842055935668,72.8,-0.643074098989467,-9.554243756414937,1.1391077627505006,4.131412207413568,5993.999999999999,1.1265212123712376,0.09119947656420721,
H1a,L38-hist,1p6kW,Xe1,c_up=1/25_c_exit=1/100_c_plume=1/16,vacuum,success,4.540326130060573,6.960964151571712,-0.3477446469774714,61.374607132143,72.8,-0.15694220972331055,-2.331712830174899,1.2172796911569175,4.4447119903941275,5993.999999999999,0.7616283774981898,0.35946333282758486,
