hypothesis,registration,point,combo,mode,retcode,Id_A,Id_target_A,Id_err_rel,T_mN,T_target_mN,T_err_rel,T_err_sigma,Id_rms_rel,Id_pp_rel,Id_f_dominant_Hz,current_eff,anode_eff,error
H1,L38-hist,Xe1,c1=1/50_c2=1/4_lt=0.2L,vacuum,success,6.899812643782005,6.960964151571712,-0.008784919223567549,87.7889971161448,72.8,0.20589281752946142,3.058979003294855,1.6196272061760095,6.187918200265983,7991.999999999998,0.5818263470187144,0.48395733093416393,
H1,L38-hist,Xe1,c1=1/50_c2=1/8_lt=0.05L,vacuum,success,6.473510546421227,6.960964151571712,-0.07002673689109917,88.15830081521354,72.8,0.21096567053864734,3.134347105145617,0.40780241025215525,1.8173972541533656,7991.999999999998,0.5937150894814381,0.5201765350066518,
H1,L38-hist,Xe1,c1=1/50_c2=1/8_lt=0.2L,vacuum,success,6.345883038917713,6.960964151571712,-0.08836148258501234,77.4618458672371,72.8,0.06403634433017993,0.9513971157626732,1.0190722808745054,3.656649307601147,7991.999999999998,0.5583294500777229,0.40968287980413964,
H1,L38-hist,Xe2,c1=1/50_c2=1/4_lt=0.2L,vacuum,success,6.590714677709576,8.044447084198758,-0.18071253266674658,82.55934526545376,83.4,-0.010079792980170737,-0.17156219072372234,1.8385492966666186,7.8219329516484715,7991.999999999998,0.5384543308350784,0.4131798369265167,
H1,L38-hist,Xe2,c1=1/50_c2=1/8_lt=0.05L,vacuum,success,6.570801079995459,8.044447084198758,-0.18318797908409357,92.49246533949643,83.4,0.10902236618101245,1.8556051713258035,1.3317399912656165,5.129759347800147,7991.999999999998,0.6222856064868428,0.5201559150798786,
H1,L38-hist,Xe2,c1=1/50_c2=1/8_lt=0.2L,vacuum,success,5.823002875369884,8.044447084198758,-0.27614628893418025,92.05024951395363,83.4,0.1037200181529212,1.7653570436640056,2.0731691978517865,8.511204277672192,14984.999999999996,0.7273826408097692,0.5813559021314658,
H1,L38-hist,Xe3,c1=1/50_c2=1/4_lt=0.2L,vacuum,success,6.9097182832590125,6.946746435450754,-0.00533028699633811,89.62072510159895,86.8,0.03249683296772981,0.5756581839997852,2.0303208500387906,9.368441448682997,7991.999999999998,0.5321689059275914,0.4237705363423832,
H1,L38-hist,Xe3,c1=1/50_c2=1/8_lt=0.05L,vacuum,success,5.8877046747407835,6.946746435450754,-0.15245147790416683,93.88802880826267,86.8,0.08165931806754234,1.4465364914821783,2.131844319228243,9.319663637323208,14984.999999999996,0.6911747038173182,0.5458189589426435,
H1,L38-hist,Xe3,c1=1/50_c2=1/8_lt=0.2L,vacuum,success,6.492029396547721,6.946746435450754,-0.0654575552927213,94.83346767594675,86.8,0.09255147092104546,1.639483199172805,1.8315118224545437,8.02750966545904,7991.999999999998,0.6293821483844682,0.505029767616942,
H2,L32-anode,Xe1,c1=1/50_c2=1/8_lt=0.05L,vacuum,success,7.211366661279807,6.960964151571712,0.03597238891850296,77.05675878749464,72.8,0.05847196136668459,0.8687262831621709,1.9433412103808037,8.55990510758297,14984.999999999996,0.4922699605173156,0.35675337690434594,
H2,L32-anode,Xe2,c1=1/50_c2=1/8_lt=0.05L,vacuum,success,6.78116185753125,8.044447084198758,-0.15703816725314865,74.30800161706048,83.4,-0.10901676718152899,-1.855509874069289,2.1735643652277186,10.747786361112356,6992.999999999998,0.48378245995633634,0.3253165842050304,
H2,L32-anode,Xe3,c1=1/50_c2=1/8_lt=0.05L,vacuum,success,7.878056068134742,6.946746435450754,0.13406414662428348,91.65837977154334,86.8,0.05597211718367902,0.9915060758251711,2.1151679509532304,10.125275131929804,14984.999999999996,0.4880072486210265,0.38877602683434154,
H3,L32-exit,Xe1,c1=1/50_c2=1/4_lt=0.1L,vacuum,success,5.398438976531642,6.960964151571712,-0.224469648315495,63.16762447592572,72.8,-0.13231285060541595,-1.9657909232804656,1.2487798128741063,5.421204159094165,7991.999999999998,0.6966628129670998,0.32024701371845116,
H3,L32-exit,Xe1,c1=1/50_c2=1/4_lt=0.2L,vacuum,success,5.83556611128876,6.960964151571712,-0.16167272460796248,63.950721888554,72.8,-0.12155601801436823,-1.8059751247848992,0.9901313230120478,4.7785165577997795,7991.999999999998,0.6351257490164638,0.30364917426328436,
H3,L32-exit,Xe2,c1=1/50_c2=1/4_lt=0.1L,vacuum,success,5.9942090505498,8.044447084198758,-0.25486376032929875,72.07496994706418,83.4,-0.1357917272534271,-2.3112306230481265,1.1439530231448634,6.497842117958152,9989.999999999998,0.617845373536493,0.3462391757852261,
H3,L32-exit,Xe2,c1=1/50_c2=1/4_lt=0.2L,vacuum,success,5.95265889794495,8.044447084198758,-0.26002883285323447,68.61239148163811,83.4,-0.17730945465661738,-3.0178792894616095,1.6686341409622996,8.292161327318205,9989.999999999998,0.5696922128664662,0.3159608453318737,
H3,L32-exit,Xe3,c1=1/50_c2=1/4_lt=0.1L,vacuum,success,5.980721907943682,6.946746435450754,-0.13906143494416884,72.59778016149623,86.8,-0.16362004422239365,-2.898412211939544,1.7741453778297798,9.029958550563332,15983.999999999996,0.5775472890271762,0.3212678494405999,
H3,L32-exit,Xe3,c1=1/50_c2=1/4_lt=0.2L,vacuum,success,6.634981806307243,6.946746435450754,-0.04487922972868395,78.34092694590272,86.8,-0.09745475868775667,-1.7263414396116894,1.8360196112493503,8.791614433312782,10988.999999999998,0.5466988767740565,0.33721886930941547,
