Dissociation energy loss (eV): 12.14
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	3.669126e-23
2.0	5.354109e-19
3.0	1.723134e-17
4.0	1.076604e-16
5.0	3.379212e-16
6.0	7.420551e-16
7.0	1.320413e-15
8.0	2.053595e-15
9.0	2.914129e-15
10.0	3.874059e-15
11.0	4.907832e-15
12.0	5.993974e-15
13.0	7.114551e-15
14.0	8.255485e-15
15.0	9.405563e-15
16.0	1.055596e-14
17.0	1.169999e-14
18.0	1.283248e-14
19.0	1.394977e-14
20.0	1.504887e-14
21.0	1.612769e-14
22.0	1.718490e-14
23.0	1.821955e-14
24.0	1.923105e-14
25.0	2.021912e-14
26.0	2.118370e-14
27.0	2.212493e-14
28.0	2.304320e-14
29.0	2.393890e-14
30.0	2.481231e-14
31.0	2.566393e-14
32.0	2.649446e-14
33.0	2.730447e-14
34.0	2.809438e-14
35.0	2.886494e-14
36.0	2.961676e-14
37.0	3.035027e-14
38.0	3.106636e-14
39.0	3.176531e-14
40.0	3.244785e-14
41.0	3.311437e-14
42.0	3.376572e-14
43.0	3.440213e-14
44.0	3.502426e-14
45.0	3.563260e-14
46.0	3.622764e-14
47.0	3.680983e-14
48.0	3.737963e-14
49.0	3.793733e-14
50.0	3.848362e-14
51.0	3.901863e-14
52.0	3.954289e-14
53.0	4.005676e-14
54.0	4.056061e-14
55.0	4.105479e-14
56.0	4.153963e-14
57.0	4.201544e-14
58.0	4.248254e-14
59.0	4.294123e-14
60.0	4.339178e-14
61.0	4.383433e-14
62.0	4.426943e-14
63.0	4.469705e-14
64.0	4.511771e-14
65.0	4.553137e-14
66.0	4.593853e-14
67.0	4.633913e-14
68.0	4.673352e-14
69.0	4.712204e-14
70.0	4.750461e-14
71.0	4.788154e-14
72.0	4.825303e-14
73.0	4.861923e-14
74.0	4.898032e-14
75.0	4.933658e-14
76.0	4.968791e-14
77.0	5.003459e-14
78.0	5.037675e-14
79.0	5.071454e-14
80.0	5.104808e-14
81.0	5.137737e-14
82.0	5.170281e-14
83.0	5.202436e-14
84.0	5.234215e-14
85.0	5.265629e-14
86.0	5.296688e-14
87.0	5.327403e-14
88.0	5.357769e-14
89.0	5.387824e-14
90.0	5.417561e-14
91.0	5.446992e-14
92.0	5.476111e-14
93.0	5.504951e-14
94.0	5.533509e-14
95.0	5.561779e-14
96.0	5.589794e-14
97.0	5.617547e-14
98.0	5.645035e-14
99.0	5.672288e-14
100.0	5.699299e-14
101.0	5.726064e-14
102.0	5.752612e-14
103.0	5.778926e-14
104.0	5.805034e-14
105.0	5.830918e-14
106.0	5.856608e-14
107.0	5.882084e-14
108.0	5.907375e-14
109.0	5.932463e-14
110.0	5.957375e-14
111.0	5.982092e-14
112.0	6.006642e-14
113.0	6.031006e-14
114.0	6.055211e-14
115.0	6.079238e-14
116.0	6.103114e-14
117.0	6.126819e-14
118.0	6.150380e-14
119.0	6.173778e-14
120.0	6.197038e-14
121.0	6.220141e-14
122.0	6.243101e-14
123.0	6.265934e-14
124.0	6.288618e-14
125.0	6.311181e-14
126.0	6.333601e-14
127.0	6.355893e-14
128.0	6.378071e-14
129.0	6.400114e-14
130.0	6.422037e-14
131.0	6.443853e-14
132.0	6.465542e-14
133.0	6.487118e-14
134.0	6.508593e-14
135.0	6.529948e-14
136.0	6.551195e-14
137.0	6.572349e-14
138.0	6.593388e-14
139.0	6.614326e-14
140.0	6.635175e-14
141.0	6.655916e-14
142.0	6.676561e-14
143.0	6.697123e-14
144.0	6.717580e-14
145.0	6.737948e-14
146.0	6.758225e-14
147.0	6.778426e-14
148.0	6.798530e-14
149.0	6.818548e-14
150.0	6.838494e-14
151.0	6.858347e-14
152.0	6.878119e-14
153.0	6.897812e-14
154.0	6.917437e-14
155.0	6.936974e-14
156.0	6.956436e-14
157.0	6.975823e-14
158.0	6.995148e-14
159.0	7.014389e-14
160.0	7.033559e-14
161.0	7.052659e-14
162.0	7.071690e-14
163.0	7.090663e-14
164.0	7.109559e-14
165.0	7.128388e-14
166.0	7.147153e-14
167.0	7.165863e-14
168.0	7.184500e-14
169.0	7.203074e-14
170.0	7.221587e-14
171.0	7.240038e-14
172.0	7.258440e-14
173.0	7.276773e-14
174.0	7.295047e-14
175.0	7.313264e-14
176.0	7.331424e-14
177.0	7.349537e-14
178.0	7.367586e-14
179.0	7.385579e-14
180.0	7.403518e-14
181.0	7.421404e-14
182.0	7.439248e-14
183.0	7.457029e-14
184.0	7.474759e-14
185.0	7.492438e-14
186.0	7.510067e-14
187.0	7.527646e-14
188.0	7.545185e-14
189.0	7.562667e-14
190.0	7.580101e-14
191.0	7.597487e-14
192.0	7.614826e-14
193.0	7.632119e-14
194.0	7.649376e-14
195.0	7.666578e-14
196.0	7.683735e-14
197.0	7.700847e-14
198.0	7.717916e-14
199.0	7.734942e-14
200.0	7.751934e-14
201.0	7.768873e-14
202.0	7.785771e-14
203.0	7.802627e-14
204.0	7.819442e-14
205.0	7.836216e-14
206.0	7.852949e-14
207.0	7.869652e-14
208.0	7.886306e-14
209.0	7.902921e-14
210.0	7.919496e-14
211.0	7.936033e-14
212.0	7.952533e-14
213.0	7.968994e-14
214.0	7.985417e-14
215.0	8.001813e-14
216.0	8.018163e-14
217.0	8.034477e-14
218.0	8.050754e-14
219.0	8.066996e-14
220.0	8.083201e-14
221.0	8.099372e-14
222.0	8.115508e-14
223.0	8.131619e-14
224.0	8.147686e-14
225.0	8.163719e-14
226.0	8.179719e-14
227.0	8.195685e-14
228.0	8.211618e-14
229.0	8.227518e-14
230.0	8.243385e-14
231.0	8.259229e-14
232.0	8.275032e-14
233.0	8.290803e-14
234.0	8.306543e-14
235.0	8.322251e-14
236.0	8.337929e-14
237.0	8.353575e-14
238.0	8.369190e-14
239.0	8.384776e-14
240.0	8.400340e-14
241.0	8.415865e-14
242.0	8.431361e-14
243.0	8.446827e-14
244.0	8.462263e-14
245.0	8.477671e-14
246.0	8.493050e-14
247.0	8.508400e-14
248.0	8.523722e-14
249.0	8.539015e-14
250.0	8.554290e-14
251.0	8.569527e-14
252.0	8.584737e-14
253.0	8.599919e-14
254.0	8.615074e-14
255.0	8.630202e-14
256.0	8.645304e-14
257.0	8.660378e-14
258.0	8.675426e-14
259.0	8.690447e-14
260.0	8.705442e-14
261.0	8.720420e-14
262.0	8.735363e-14
263.0	8.750281e-14
264.0	8.765173e-14
265.0	8.780040e-14
266.0	8.794881e-14
267.0	8.809697e-14
268.0	8.824489e-14
269.0	8.839255e-14
270.0	8.853997e-14
271.0	8.868715e-14
272.0	8.883408e-14
273.0	8.898086e-14
274.0	8.912730e-14
275.0	8.927352e-14
276.0	8.941949e-14
277.0	8.956523e-14
278.0	8.971073e-14
279.0	8.985600e-14
280.0	9.000104e-14
281.0	9.014585e-14
282.0	9.029042e-14
283.0	9.043477e-14
284.0	9.057890e-14
285.0	9.072280e-14
286.0	9.086655e-14
287.0	9.101000e-14
288.0	9.115323e-14
289.0	9.129624e-14
290.0	9.143903e-14
291.0	9.158160e-14
292.0	9.172395e-14
293.0	9.186608e-14
294.0	9.200801e-14
295.0	9.214972e-14
296.0	9.229121e-14
297.0	9.243250e-14
298.0	9.257357e-14
299.0	9.271444e-14
300.0	9.285517e-14
