Ionization energy (eV): 24.284
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	8.488151e-32
2.0	1.056277e-23
3.0	6.434393e-21
4.0	1.821019e-19
5.0	1.476206e-18
6.0	6.295155e-18
7.0	1.839398e-17
8.0	4.214406e-17
9.0	8.174844e-17
10.0	1.407141e-16
11.0	2.216157e-16
12.0	3.260704e-16
13.0	4.548328e-16
14.0	6.079418e-16
15.0	7.848766e-16
16.0	9.847017e-16
17.0	1.206191e-15
18.0	1.447928e-15
19.0	1.708387e-15
20.0	1.985992e-15
21.0	2.279162e-15
22.0	2.586345e-15
23.0	2.906042e-15
24.0	3.236818e-15
25.0	3.577316e-15
26.0	3.926263e-15
27.0	4.282467e-15
28.0	4.644824e-15
29.0	5.012310e-15
30.0	5.383983e-15
31.0	5.758977e-15
32.0	6.136497e-15
33.0	6.515818e-15
34.0	6.896279e-15
35.0	7.277278e-15
36.0	7.658268e-15
37.0	8.038754e-15
38.0	8.418290e-15
39.0	8.796471e-15
40.0	9.172935e-15
41.0	9.547354e-15
42.0	9.919438e-15
43.0	1.028893e-14
44.0	1.065558e-14
45.0	1.101921e-14
46.0	1.137962e-14
47.0	1.173666e-14
48.0	1.209018e-14
49.0	1.244006e-14
50.0	1.278621e-14
51.0	1.312853e-14
52.0	1.346694e-14
53.0	1.380139e-14
54.0	1.413182e-14
55.0	1.445820e-14
56.0	1.478049e-14
57.0	1.509866e-14
58.0	1.541271e-14
59.0	1.572264e-14
60.0	1.602842e-14
61.0	1.633008e-14
62.0	1.662763e-14
63.0	1.692107e-14
64.0	1.721043e-14
65.0	1.749572e-14
66.0	1.777699e-14
67.0	1.805425e-14
68.0	1.832753e-14
69.0	1.859688e-14
70.0	1.886232e-14
71.0	1.912390e-14
72.0	1.938166e-14
73.0	1.963564e-14
74.0	1.988587e-14
75.0	2.013241e-14
76.0	2.037529e-14
77.0	2.061457e-14
78.0	2.085029e-14
79.0	2.108249e-14
80.0	2.131123e-14
81.0	2.153654e-14
82.0	2.175847e-14
83.0	2.197708e-14
84.0	2.219240e-14
85.0	2.240450e-14
86.0	2.261340e-14
87.0	2.281916e-14
88.0	2.302183e-14
89.0	2.322144e-14
90.0	2.341806e-14
91.0	2.361171e-14
92.0	2.380245e-14
93.0	2.399032e-14
94.0	2.417537e-14
