Ionization energy (eV): 53.885
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	2.524976e-52
2.0	1.302481e-34
3.0	1.161162e-28
4.0	1.180703e-25
5.0	8.156485e-24
6.0	1.497255e-22
7.0	1.296106e-21
8.0	6.979162e-21
9.0	2.714565e-20
10.0	8.338422e-20
11.0	2.143259e-19
12.0	4.796994e-19
13.0	9.620367e-19
14.0	1.765802e-18
15.0	3.014342e-18
16.0	4.845362e-18
17.0	7.405689e-18
18.0	1.084597e-17
19.0	1.531574e-17
20.0	2.095918e-17
21.0	2.791170e-17
22.0	3.629730e-17
23.0	4.622673e-17
24.0	5.779644e-17
25.0	7.108795e-17
26.0	8.616784e-17
27.0	1.030881e-16
28.0	1.218865e-16
29.0	1.425879e-16
30.0	1.652047e-16
31.0	1.897378e-16
32.0	2.161783e-16
33.0	2.445078e-16
34.0	2.747000e-16
35.0	3.067212e-16
36.0	3.405318e-16
37.0	3.760868e-16
38.0	4.133367e-16
39.0	4.522283e-16
40.0	4.927054e-16
41.0	5.347096e-16
42.0	5.781804e-16
43.0	6.230562e-16
44.0	6.692745e-16
45.0	7.167722e-16
46.0	7.654864e-16
47.0	8.153543e-16
48.0	8.663134e-16
49.0	9.183021e-16
50.0	9.712596e-16
51.0	1.025126e-15
52.0	1.079844e-15
53.0	1.135355e-15
54.0	1.191604e-15
55.0	1.248537e-15
56.0	1.306101e-15
57.0	1.364246e-15
58.0	1.422921e-15
59.0	1.482079e-15
60.0	1.541674e-15
61.0	1.601662e-15
62.0	1.662000e-15
63.0	1.722647e-15
64.0	1.783563e-15
65.0	1.844710e-15
66.0	1.906053e-15
67.0	1.967556e-15
68.0	2.029186e-15
69.0	2.090912e-15
70.0	2.152702e-15
71.0	2.214529e-15
72.0	2.276364e-15
73.0	2.338181e-15
74.0	2.399955e-15
75.0	2.461663e-15
76.0	2.523281e-15
77.0	2.584788e-15
78.0	2.646164e-15
79.0	2.707390e-15
80.0	2.768447e-15
81.0	2.829317e-15
82.0	2.889986e-15
83.0	2.950436e-15
84.0	3.010654e-15
85.0	3.070626e-15
86.0	3.130339e-15
87.0	3.189780e-15
88.0	3.248939e-15
89.0	3.307805e-15
90.0	3.366368e-15
91.0	3.424617e-15
92.0	3.482546e-15
93.0	3.540145e-15
94.0	3.597407e-15
95.0	3.654325e-15
96.0	3.710893e-15
97.0	3.767104e-15
98.0	3.822953e-15
99.0	3.878434e-15
100.0	3.933544e-15
101.0	3.988278e-15
102.0	4.042633e-15
103.0	4.096604e-15
104.0	4.150188e-15
105.0	4.203383e-15
106.0	4.256187e-15
107.0	4.308597e-15
108.0	4.360612e-15
109.0	4.412229e-15
110.0	4.463448e-15
111.0	4.514267e-15
112.0	4.564686e-15
113.0	4.614703e-15
114.0	4.664320e-15
115.0	4.713535e-15
116.0	4.762349e-15
117.0	4.810761e-15
118.0	4.858772e-15
119.0	4.906383e-15
120.0	4.953595e-15
121.0	5.000407e-15
122.0	5.046822e-15
123.0	5.092839e-15
124.0	5.138461e-15
125.0	5.183689e-15
126.0	5.228525e-15
127.0	5.272968e-15
128.0	5.317023e-15
129.0	5.360689e-15
130.0	5.403970e-15
131.0	5.446866e-15
132.0	5.489380e-15
133.0	5.531514e-15
134.0	5.573270e-15
135.0	5.614650e-15
136.0	5.655656e-15
137.0	5.696291e-15
138.0	5.736557e-15
139.0	5.776457e-15
140.0	5.815992e-15
141.0	5.855165e-15
142.0	5.893979e-15
143.0	5.932436e-15
144.0	5.970539e-15
145.0	6.008290e-15
146.0	6.045691e-15
147.0	6.082747e-15
148.0	6.119458e-15
149.0	6.155829e-15
150.0	6.191860e-15
151.0	6.227556e-15
152.0	6.262918e-15
153.0	6.297950e-15
154.0	6.332654e-15
155.0	6.367033e-15
156.0	6.401090e-15
157.0	6.434826e-15
158.0	6.468246e-15
159.0	6.501351e-15
160.0	6.534145e-15
161.0	6.566630e-15
162.0	6.598808e-15
163.0	6.630683e-15
164.0	6.662257e-15
165.0	6.693534e-15
166.0	6.724514e-15
167.0	6.755202e-15
168.0	6.785599e-15
169.0	6.815710e-15
170.0	6.845535e-15
171.0	6.875078e-15
172.0	6.904341e-15
173.0	6.933327e-15
174.0	6.962039e-15
175.0	6.990479e-15
176.0	7.018649e-15
177.0	7.046553e-15
178.0	7.074193e-15
179.0	7.101570e-15
180.0	7.128689e-15
181.0	7.155550e-15
182.0	7.182158e-15
183.0	7.208513e-15
184.0	7.234619e-15
185.0	7.260478e-15
186.0	7.286093e-15
187.0	7.311465e-15
188.0	7.336597e-15
189.0	7.361492e-15
190.0	7.386151e-15
191.0	7.410578e-15
192.0	7.434774e-15
193.0	7.458741e-15
194.0	7.482483e-15
195.0	7.506000e-15
196.0	7.529296e-15
197.0	7.552373e-15
198.0	7.575232e-15
199.0	7.597876e-15
200.0	7.620307e-15
201.0	7.642527e-15
202.0	7.664539e-15
203.0	7.686343e-15
204.0	7.707943e-15
205.0	7.729341e-15
206.0	7.750538e-15
207.0	7.771536e-15
208.0	7.792338e-15
209.0	7.812946e-15
210.0	7.833361e-15
211.0	7.853585e-15
212.0	7.873620e-15
213.0	7.893469e-15
214.0	7.913132e-15
215.0	7.932613e-15
216.0	7.951912e-15
217.0	7.971032e-15
218.0	7.989974e-15
219.0	8.008741e-15
220.0	8.027333e-15
221.0	8.045753e-15
222.0	8.064003e-15
223.0	8.082084e-15
224.0	8.099997e-15
225.0	8.117746e-15
226.0	8.135330e-15
227.0	8.152753e-15
228.0	8.170015e-15
229.0	8.187118e-15
230.0	8.204065e-15
231.0	8.220855e-15
232.0	8.237492e-15
233.0	8.253976e-15
234.0	8.270309e-15
235.0	8.286493e-15
236.0	8.302529e-15
237.0	8.318419e-15
238.0	8.334164e-15
239.0	8.349766e-15
240.0	8.365225e-15
241.0	8.380544e-15
242.0	8.395724e-15
243.0	8.410767e-15
244.0	8.425673e-15
245.0	8.440444e-15
246.0	8.455082e-15
247.0	8.469587e-15
248.0	8.483962e-15
249.0	8.498207e-15
250.0	8.512325e-15
251.0	8.526315e-15
252.0	8.540180e-15
253.0	8.553920e-15
254.0	8.567537e-15
255.0	8.581033e-15
256.0	8.594408e-15
257.0	8.607664e-15
258.0	8.620801e-15
259.0	8.633822e-15
260.0	8.646727e-15
261.0	8.659517e-15
262.0	8.672194e-15
263.0	8.684759e-15
264.0	8.697212e-15
265.0	8.709556e-15
266.0	8.721790e-15
267.0	8.733917e-15
268.0	8.745937e-15
269.0	8.757852e-15
270.0	8.769662e-15
271.0	8.781368e-15
272.0	8.792972e-15
273.0	8.804475e-15
274.0	8.815877e-15
275.0	8.827180e-15
276.0	8.838385e-15
277.0	8.849492e-15
278.0	8.860502e-15
279.0	8.871418e-15
280.0	8.882238e-15
281.0	8.892966e-15
282.0	8.903600e-15
283.0	8.914144e-15
284.0	8.924596e-15
285.0	8.934959e-15
286.0	8.945232e-15
287.0	8.955418e-15
288.0	8.965516e-15
289.0	8.975529e-15
290.0	8.985456e-15
291.0	8.995298e-15
292.0	9.005057e-15
293.0	9.014733e-15
294.0	9.024327e-15
295.0	9.033840e-15
296.0	9.043272e-15
297.0	9.052625e-15
298.0	9.061899e-15
299.0	9.071095e-15
300.0	9.080214e-15
