Ionization energy (eV): 24.284
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	1.205505e-31
2.0	1.482922e-23
3.0	8.726927e-21
4.0	2.369565e-19
5.0	1.850837e-18
6.0	7.657967e-18
7.0	2.184842e-17
8.0	4.912544e-17
9.0	9.387397e-17
10.0	1.596479e-16
11.0	2.489705e-16
12.0	3.633459e-16
13.0	5.033828e-16
14.0	6.689611e-16
15.0	8.594011e-16
16.0	1.073616e-15
17.0	1.310238e-15
18.0	1.567726e-15
19.0	1.844439e-15
20.0	2.138700e-15
21.0	2.448842e-15
22.0	2.773234e-15
23.0	3.110310e-15
24.0	3.458578e-15
25.0	3.816630e-15
26.0	4.183149e-15
27.0	4.556906e-15
28.0	4.936765e-15
29.0	5.321673e-15
30.0	5.710666e-15
31.0	6.102857e-15
32.0	6.497434e-15
33.0	6.893658e-15
34.0	7.290856e-15
35.0	7.688415e-15
36.0	8.085780e-15
37.0	8.482450e-15
38.0	8.877971e-15
39.0	9.271936e-15
40.0	9.663979e-15
41.0	1.005377e-14
42.0	1.044102e-14
43.0	1.082546e-14
44.0	1.120686e-14
45.0	1.158501e-14
46.0	1.195975e-14
47.0	1.233089e-14
48.0	1.269832e-14
49.0	1.306190e-14
50.0	1.342154e-14
51.0	1.377715e-14
52.0	1.412865e-14
53.0	1.447599e-14
54.0	1.481912e-14
55.0	1.515800e-14
56.0	1.549259e-14
57.0	1.582289e-14
58.0	1.614888e-14
59.0	1.647056e-14
60.0	1.678792e-14
61.0	1.710098e-14
62.0	1.740974e-14
63.0	1.771423e-14
64.0	1.801447e-14
65.0	1.831049e-14
66.0	1.860230e-14
67.0	1.888996e-14
68.0	1.917348e-14
69.0	1.945290e-14
70.0	1.972828e-14
71.0	1.999963e-14
72.0	2.026702e-14
73.0	2.053048e-14
74.0	2.079006e-14
75.0	2.104581e-14
76.0	2.129776e-14
77.0	2.154598e-14
78.0	2.179050e-14
79.0	2.203137e-14
80.0	2.226865e-14
81.0	2.250238e-14
82.0	2.273262e-14
83.0	2.295940e-14
84.0	2.318279e-14
85.0	2.340282e-14
86.0	2.361955e-14
87.0	2.383303e-14
88.0	2.404330e-14
