Momentum transfer, no inelastic energy loss (eV): 0.0
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	6.458842e-14
2.0	9.672453e-14
3.0	1.138981e-13
4.0	1.255352e-13
5.0	1.343408e-13
6.0	1.412586e-13
7.0	1.467653e-13
8.0	1.511734e-13
9.0	1.547110e-13
10.0	1.575515e-13
11.0	1.598281e-13
12.0	1.616444e-13
13.0	1.630812e-13
14.0	1.642023e-13
15.0	1.650584e-13
16.0	1.656905e-13
17.0	1.661318e-13
18.0	1.664095e-13
19.0	1.665464e-13
20.0	1.665614e-13
21.0	1.664706e-13
22.0	1.662876e-13
23.0	1.660241e-13
24.0	1.656903e-13
25.0	1.652950e-13
26.0	1.648458e-13
27.0	1.643495e-13
28.0	1.638119e-13
29.0	1.632383e-13
30.0	1.626332e-13
31.0	1.620009e-13
32.0	1.613449e-13
33.0	1.606684e-13
34.0	1.599744e-13
35.0	1.592653e-13
36.0	1.585436e-13
37.0	1.578112e-13
38.0	1.570700e-13
39.0	1.563217e-13
40.0	1.555676e-13
41.0	1.548092e-13
42.0	1.540477e-13
43.0	1.532840e-13
44.0	1.525191e-13
45.0	1.517539e-13
46.0	1.509892e-13
47.0	1.502256e-13
48.0	1.494637e-13
49.0	1.487041e-13
50.0	1.479472e-13
51.0	1.471936e-13
52.0	1.464435e-13
53.0	1.456973e-13
54.0	1.449553e-13
55.0	1.442179e-13
56.0	1.434851e-13
57.0	1.427573e-13
58.0	1.420346e-13
59.0	1.413171e-13
60.0	1.406051e-13
61.0	1.398985e-13
62.0	1.391976e-13
63.0	1.385023e-13
64.0	1.378128e-13
65.0	1.371291e-13
66.0	1.364513e-13
67.0	1.357793e-13
68.0	1.351133e-13
69.0	1.344532e-13
70.0	1.337989e-13
71.0	1.331507e-13
72.0	1.325083e-13
73.0	1.318718e-13
74.0	1.312412e-13
75.0	1.306165e-13
76.0	1.299976e-13
77.0	1.293844e-13
78.0	1.287771e-13
79.0	1.281754e-13
80.0	1.275795e-13
81.0	1.269892e-13
82.0	1.264044e-13
83.0	1.258252e-13
84.0	1.252516e-13
85.0	1.246833e-13
86.0	1.241205e-13
87.0	1.235630e-13
88.0	1.230107e-13
89.0	1.224637e-13
90.0	1.219219e-13
91.0	1.213853e-13
92.0	1.208536e-13
93.0	1.203270e-13
94.0	1.198054e-13
95.0	1.192887e-13
96.0	1.187768e-13
97.0	1.182696e-13
98.0	1.177673e-13
99.0	1.172696e-13
100.0	1.167765e-13
101.0	1.162880e-13
102.0	1.158040e-13
103.0	1.153245e-13
104.0	1.148493e-13
105.0	1.143786e-13
106.0	1.139121e-13
107.0	1.134498e-13
108.0	1.129918e-13
109.0	1.125379e-13
110.0	1.120881e-13
111.0	1.116423e-13
112.0	1.112005e-13
113.0	1.107627e-13
114.0	1.103287e-13
115.0	1.098986e-13
116.0	1.094723e-13
117.0	1.090497e-13
118.0	1.086308e-13
119.0	1.082156e-13
120.0	1.078040e-13
121.0	1.073960e-13
122.0	1.069915e-13
123.0	1.065904e-13
124.0	1.061928e-13
125.0	1.057986e-13
126.0	1.054077e-13
127.0	1.050201e-13
128.0	1.046358e-13
129.0	1.042547e-13
130.0	1.038768e-13
131.0	1.035021e-13
132.0	1.031304e-13
133.0	1.027619e-13
134.0	1.023963e-13
135.0	1.020338e-13
136.0	1.016742e-13
137.0	1.013175e-13
138.0	1.009637e-13
139.0	1.006128e-13
140.0	1.002647e-13
141.0	9.991935e-14
142.0	9.957677e-14
143.0	9.923691e-14
144.0	9.889973e-14
145.0	9.856521e-14
146.0	9.823330e-14
147.0	9.790399e-14
148.0	9.757723e-14
149.0	9.725301e-14
150.0	9.693128e-14
151.0	9.661202e-14
152.0	9.629521e-14
153.0	9.598080e-14
154.0	9.566878e-14
155.0	9.535912e-14
156.0	9.505179e-14
157.0	9.474676e-14
158.0	9.444401e-14
159.0	9.414351e-14
160.0	9.384523e-14
161.0	9.354915e-14
162.0	9.325524e-14
163.0	9.296349e-14
164.0	9.267386e-14
165.0	9.238633e-14
166.0	9.210089e-14
167.0	9.181749e-14
168.0	9.153613e-14
169.0	9.125678e-14
170.0	9.097941e-14
171.0	9.070401e-14
172.0	9.043056e-14
173.0	9.015903e-14
174.0	8.988940e-14
175.0	8.962165e-14
176.0	8.935576e-14
177.0	8.909171e-14
178.0	8.882948e-14
179.0	8.856905e-14
180.0	8.831041e-14
181.0	8.805353e-14
182.0	8.779839e-14
183.0	8.754498e-14
184.0	8.729328e-14
185.0	8.704326e-14
186.0	8.679492e-14
187.0	8.654823e-14
188.0	8.630318e-14
189.0	8.605975e-14
190.0	8.581793e-14
191.0	8.557769e-14
192.0	8.533902e-14
193.0	8.510191e-14
194.0	8.486633e-14
195.0	8.463228e-14
196.0	8.439974e-14
197.0	8.416868e-14
198.0	8.393911e-14
199.0	8.371100e-14
200.0	8.348434e-14
201.0	8.325911e-14
202.0	8.303530e-14
203.0	8.281290e-14
204.0	8.259188e-14
205.0	8.237225e-14
206.0	8.215398e-14
207.0	8.193706e-14
208.0	8.172148e-14
209.0	8.150722e-14
210.0	8.129428e-14
211.0	8.108264e-14
212.0	8.087228e-14
213.0	8.066320e-14
214.0	8.045538e-14
215.0	8.024881e-14
216.0	8.004348e-14
217.0	7.983938e-14
218.0	7.963649e-14
219.0	7.943481e-14
220.0	7.923432e-14
221.0	7.903501e-14
222.0	7.883688e-14
223.0	7.863990e-14
224.0	7.844407e-14
225.0	7.824939e-14
226.0	7.805583e-14
227.0	7.786338e-14
228.0	7.767205e-14
229.0	7.748181e-14
230.0	7.729267e-14
231.0	7.710460e-14
232.0	7.691759e-14
233.0	7.673165e-14
234.0	7.654676e-14
235.0	7.636291e-14
236.0	7.618008e-14
237.0	7.599828e-14
238.0	7.581749e-14
239.0	7.563771e-14
240.0	7.545892e-14
241.0	7.528112e-14
242.0	7.510430e-14
243.0	7.492844e-14
244.0	7.475355e-14
245.0	7.457960e-14
246.0	7.440661e-14
247.0	7.423455e-14
248.0	7.406341e-14
249.0	7.389320e-14
250.0	7.372390e-14
251.0	7.355553e-14
252.0	7.338805e-14
253.0	7.322146e-14
254.0	7.305573e-14
255.0	7.289087e-14
256.0	7.272690e-14
257.0	7.256377e-14
258.0	7.240150e-14
259.0	7.224007e-14
260.0	7.207948e-14
261.0	7.191973e-14
262.0	7.176080e-14
263.0	7.160269e-14
264.0	7.144539e-14
265.0	7.128889e-14
266.0	7.113320e-14
267.0	7.097829e-14
268.0	7.082417e-14
269.0	7.067083e-14
270.0	7.051826e-14
271.0	7.036645e-14
272.0	7.021541e-14
273.0	7.006512e-14
274.0	6.991558e-14
275.0	6.976679e-14
276.0	6.961875e-14
277.0	6.947142e-14
278.0	6.932482e-14
279.0	6.917894e-14
280.0	6.903377e-14
281.0	6.888931e-14
282.0	6.874557e-14
283.0	6.860251e-14
284.0	6.846015e-14
285.0	6.831848e-14
286.0	6.817749e-14
287.0	6.803719e-14
288.0	6.789756e-14
289.0	6.775861e-14
290.0	6.762032e-14
291.0	6.748269e-14
292.0	6.734570e-14
293.0	6.720936e-14
294.0	6.707366e-14
295.0	6.693859e-14
296.0	6.680415e-14
297.0	6.667036e-14
298.0	6.653718e-14
299.0	6.640462e-14
300.0	6.627266e-14
