Momentum transfer, no inelastic energy loss (eV): 0.0
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	6.307613e-15
2.0	1.514904e-14
3.0	2.314990e-14
4.0	3.039483e-14
5.0	3.711787e-14
6.0	4.341731e-14
7.0	4.931728e-14
8.0	5.481832e-14
9.0	5.991939e-14
10.0	6.462489e-14
11.0	6.894555e-14
12.0	7.289719e-14
13.0	7.649906e-14
14.0	7.977237e-14
15.0	8.273913e-14
16.0	8.542133e-14
17.0	8.784041e-14
18.0	9.001687e-14
19.0	9.197012e-14
20.0	9.371833e-14
21.0	9.527841e-14
22.0	9.666604e-14
23.0	9.789566e-14
24.0	9.898058e-14
25.0	9.993304e-14
26.0	1.007642e-13
27.0	1.014845e-13
28.0	1.021031e-13
29.0	1.026288e-13
30.0	1.030695e-13
31.0	1.034322e-13
32.0	1.037237e-13
33.0	1.039500e-13
34.0	1.041166e-13
35.0	1.042285e-13
36.0	1.042905e-13
37.0	1.043067e-13
38.0	1.042810e-13
39.0	1.042170e-13
40.0	1.041181e-13
41.0	1.039871e-13
42.0	1.038268e-13
43.0	1.036399e-13
44.0	1.034286e-13
45.0	1.031950e-13
46.0	1.029412e-13
47.0	1.026689e-13
48.0	1.023798e-13
49.0	1.020754e-13
50.0	1.017573e-13
51.0	1.014266e-13
52.0	1.010845e-13
53.0	1.007323e-13
54.0	1.003708e-13
55.0	1.000011e-13
56.0	9.962407e-14
57.0	9.924042e-14
58.0	9.885094e-14
59.0	9.845631e-14
60.0	9.805716e-14
61.0	9.765409e-14
62.0	9.724763e-14
63.0	9.683828e-14
64.0	9.642649e-14
65.0	9.601271e-14
66.0	9.559732e-14
67.0	9.518067e-14
68.0	9.476312e-14
69.0	9.434497e-14
70.0	9.392650e-14
71.0	9.350797e-14
72.0	9.308964e-14
73.0	9.267172e-14
74.0	9.225442e-14
75.0	9.183793e-14
76.0	9.142242e-14
77.0	9.100806e-14
78.0	9.059500e-14
79.0	9.018336e-14
80.0	8.977328e-14
81.0	8.936486e-14
82.0	8.895822e-14
83.0	8.855344e-14
84.0	8.815061e-14
85.0	8.774982e-14
86.0	8.735113e-14
87.0	8.695461e-14
88.0	8.656031e-14
89.0	8.616830e-14
90.0	8.577860e-14
91.0	8.539128e-14
92.0	8.500636e-14
93.0	8.462389e-14
94.0	8.424387e-14
95.0	8.386636e-14
96.0	8.349135e-14
97.0	8.311888e-14
98.0	8.274896e-14
99.0	8.238160e-14
100.0	8.201681e-14
101.0	8.165459e-14
102.0	8.129496e-14
103.0	8.093792e-14
104.0	8.058346e-14
105.0	8.023159e-14
106.0	7.988231e-14
107.0	7.953561e-14
108.0	7.919148e-14
109.0	7.884993e-14
110.0	7.851093e-14
111.0	7.817449e-14
112.0	7.784059e-14
113.0	7.750922e-14
114.0	7.718037e-14
115.0	7.685403e-14
116.0	7.653018e-14
117.0	7.620881e-14
118.0	7.588991e-14
119.0	7.557346e-14
120.0	7.525944e-14
121.0	7.494784e-14
122.0	7.463865e-14
123.0	7.433183e-14
124.0	7.402739e-14
125.0	7.372530e-14
126.0	7.342553e-14
127.0	7.312809e-14
128.0	7.283294e-14
129.0	7.254006e-14
130.0	7.224945e-14
131.0	7.196107e-14
132.0	7.167492e-14
133.0	7.139096e-14
134.0	7.110920e-14
135.0	7.082959e-14
136.0	7.055213e-14
137.0	7.027680e-14
138.0	7.000357e-14
139.0	6.973244e-14
140.0	6.946337e-14
141.0	6.919635e-14
142.0	6.893136e-14
143.0	6.866838e-14
144.0	6.840740e-14
145.0	6.814839e-14
146.0	6.789133e-14
147.0	6.763622e-14
148.0	6.738302e-14
149.0	6.713172e-14
150.0	6.688230e-14
151.0	6.663475e-14
152.0	6.638905e-14
153.0	6.614517e-14
154.0	6.590310e-14
155.0	6.566282e-14
156.0	6.542432e-14
157.0	6.518758e-14
158.0	6.495258e-14
159.0	6.471930e-14
160.0	6.448772e-14
161.0	6.425784e-14
162.0	6.402963e-14
163.0	6.380307e-14
164.0	6.357816e-14
165.0	6.335487e-14
166.0	6.313319e-14
167.0	6.291310e-14
168.0	6.269458e-14
169.0	6.247763e-14
170.0	6.226222e-14
171.0	6.204834e-14
172.0	6.183598e-14
173.0	6.162511e-14
174.0	6.141574e-14
