Momentum transfer, no inelastic energy loss (eV): 0.0
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	3.435838e-14
2.0	5.300895e-14
3.0	6.390743e-14
4.0	7.237996e-14
5.0	7.945071e-14
6.0	8.546625e-14
7.0	9.060275e-14
8.0	9.497765e-14
9.0	9.868716e-14
10.0	1.018178e-13
11.0	1.044484e-13
12.0	1.066495e-13
13.0	1.084829e-13
14.0	1.100017e-13
15.0	1.112514e-13
16.0	1.122702e-13
17.0	1.130904e-13
18.0	1.137393e-13
19.0	1.142401e-13
20.0	1.146122e-13
21.0	1.148724e-13
22.0	1.150349e-13
23.0	1.151120e-13
24.0	1.151144e-13
25.0	1.150511e-13
26.0	1.149301e-13
27.0	1.147582e-13
28.0	1.145417e-13
29.0	1.142858e-13
30.0	1.139950e-13
31.0	1.136737e-13
32.0	1.133253e-13
33.0	1.129531e-13
34.0	1.125599e-13
35.0	1.121483e-13
36.0	1.117205e-13
37.0	1.112786e-13
38.0	1.108242e-13
39.0	1.103591e-13
40.0	1.098846e-13
41.0	1.094021e-13
42.0	1.089126e-13
43.0	1.084173e-13
44.0	1.079171e-13
45.0	1.074128e-13
46.0	1.069051e-13
47.0	1.063949e-13
48.0	1.058826e-13
49.0	1.053689e-13
50.0	1.048542e-13
51.0	1.043391e-13
52.0	1.038239e-13
53.0	1.033090e-13
54.0	1.027948e-13
55.0	1.022815e-13
56.0	1.017695e-13
57.0	1.012590e-13
58.0	1.007502e-13
59.0	1.002434e-13
60.0	9.973867e-14
61.0	9.923624e-14
62.0	9.873626e-14
63.0	9.823886e-14
64.0	9.774417e-14
65.0	9.725229e-14
66.0	9.676332e-14
67.0	9.627736e-14
68.0	9.579447e-14
69.0	9.531473e-14
70.0	9.483821e-14
71.0	9.436494e-14
72.0	9.389498e-14
73.0	9.342837e-14
74.0	9.296514e-14
75.0	9.250532e-14
76.0	9.204893e-14
77.0	9.159599e-14
78.0	9.114652e-14
79.0	9.070052e-14
80.0	9.025801e-14
81.0	8.981898e-14
82.0	8.938344e-14
83.0	8.895139e-14
84.0	8.852281e-14
85.0	8.809771e-14
86.0	8.767608e-14
87.0	8.725789e-14
88.0	8.684315e-14
89.0	8.643183e-14
90.0	8.602392e-14
91.0	8.561940e-14
92.0	8.521826e-14
93.0	8.482046e-14
94.0	8.442601e-14
95.0	8.403486e-14
96.0	8.364700e-14
97.0	8.326241e-14
98.0	8.288105e-14
99.0	8.250292e-14
100.0	8.212797e-14
101.0	8.175619e-14
102.0	8.138755e-14
103.0	8.102203e-14
