Excitation energy (eV): 7.75
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	4.144741e-20
2.0	1.678355e-17
3.0	1.260066e-16
4.0	3.404388e-16
5.0	6.076624e-16
6.0	8.808794e-16
7.0	1.134298e-15
8.0	1.357413e-15
9.0	1.548118e-15
10.0	1.708256e-15
11.0	1.841212e-15
12.0	1.950723e-15
13.0	2.040333e-15
14.0	2.113190e-15
15.0	2.171993e-15
16.0	2.219016e-15
17.0	2.256155e-15
18.0	2.284984e-15
19.0	2.306807e-15
20.0	2.322708e-15
21.0	2.333587e-15
22.0	2.340197e-15
23.0	2.343166e-15
24.0	2.343024e-15
25.0	2.340217e-15
26.0	2.335124e-15
27.0	2.328068e-15
28.0	2.319325e-15
29.0	2.309131e-15
30.0	2.297690e-15
31.0	2.285178e-15
32.0	2.271749e-15
33.0	2.257536e-15
34.0	2.242654e-15
35.0	2.227206e-15
36.0	2.211280e-15
37.0	2.194955e-15
38.0	2.178300e-15
39.0	2.161375e-15
40.0	2.144234e-15
41.0	2.126925e-15
42.0	2.109489e-15
43.0	2.091964e-15
44.0	2.074383e-15
45.0	2.056775e-15
46.0	2.039166e-15
47.0	2.021578e-15
48.0	2.004033e-15
49.0	1.986548e-15
50.0	1.969138e-15
51.0	1.951819e-15
52.0	1.934602e-15
53.0	1.917498e-15
54.0	1.900516e-15
55.0	1.883666e-15
56.0	1.866954e-15
57.0	1.850386e-15
58.0	1.833968e-15
59.0	1.817705e-15
60.0	1.801600e-15
61.0	1.785657e-15
62.0	1.769878e-15
63.0	1.754266e-15
64.0	1.738822e-15
65.0	1.723548e-15
66.0	1.708444e-15
67.0	1.693511e-15
68.0	1.678750e-15
69.0	1.664161e-15
70.0	1.649742e-15
71.0	1.635495e-15
72.0	1.621417e-15
73.0	1.607510e-15
74.0	1.593770e-15
75.0	1.580198e-15
76.0	1.566792e-15
77.0	1.553551e-15
78.0	1.540474e-15
79.0	1.527558e-15
80.0	1.514803e-15
81.0	1.502207e-15
