Excitation energy (eV): 7.75
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	4.204800e-20
2.0	1.725129e-17
3.0	1.204807e-16
4.0	3.070192e-16
5.0	5.268503e-16
6.0	7.447445e-16
7.0	9.442542e-16
8.0	1.119863e-15
9.0	1.271279e-15
10.0	1.400392e-15
11.0	1.509812e-15
12.0	1.602207e-15
13.0	1.680031e-15
14.0	1.745436e-15
15.0	1.800258e-15
16.0	1.846051e-15
17.0	1.884119e-15
18.0	1.915554e-15
19.0	1.941274e-15
20.0	1.962052e-15
21.0	1.978541e-15
22.0	1.991294e-15
23.0	2.000784e-15
24.0	2.007415e-15
25.0	2.011536e-15
26.0	2.013448e-15
27.0	2.013411e-15
28.0	2.011654e-15
29.0	2.008377e-15
30.0	2.003755e-15
31.0	1.997944e-15
32.0	1.991079e-15
33.0	1.983283e-15
34.0	1.974663e-15
35.0	1.965316e-15
36.0	1.955329e-15
37.0	1.944778e-15
38.0	1.933732e-15
39.0	1.922254e-15
40.0	1.910399e-15
41.0	1.898218e-15
42.0	1.885756e-15
43.0	1.873054e-15
44.0	1.860148e-15
45.0	1.847073e-15
46.0	1.833859e-15
47.0	1.820532e-15
48.0	1.807117e-15
49.0	1.793636e-15
50.0	1.780110e-15
51.0	1.766557e-15
52.0	1.752993e-15
53.0	1.739433e-15
54.0	1.725890e-15
55.0	1.712377e-15
56.0	1.698904e-15
57.0	1.685481e-15
58.0	1.672117e-15
59.0	1.658819e-15
60.0	1.645596e-15
61.0	1.632453e-15
62.0	1.619395e-15
63.0	1.606429e-15
64.0	1.593557e-15
65.0	1.580785e-15
66.0	1.568115e-15
67.0	1.555551e-15
68.0	1.543095e-15
69.0	1.530750e-15
70.0	1.518517e-15
71.0	1.506397e-15
72.0	1.494393e-15
73.0	1.482505e-15
74.0	1.470735e-15
75.0	1.459082e-15
76.0	1.447548e-15
77.0	1.436131e-15
78.0	1.424834e-15
79.0	1.413655e-15
80.0	1.402595e-15
81.0	1.391653e-15
82.0	1.380828e-15
83.0	1.370121e-15
84.0	1.359531e-15
85.0	1.349057e-15
86.0	1.338698e-15
87.0	1.328453e-15
88.0	1.318323e-15
89.0	1.308305e-15
90.0	1.298399e-15
91.0	1.288604e-15
92.0	1.278919e-15
93.0	1.269343e-15
94.0	1.259875e-15
95.0	1.250513e-15
96.0	1.241257e-15
97.0	1.232106e-15
98.0	1.223057e-15
99.0	1.214111e-15
100.0	1.205266e-15
101.0	1.196521e-15
102.0	1.187875e-15
103.0	1.179326e-15
104.0	1.170873e-15
105.0	1.162516e-15
106.0	1.154252e-15
107.0	1.146081e-15
108.0	1.138002e-15
109.0	1.130013e-15
110.0	1.122114e-15
111.0	1.114303e-15
112.0	1.106578e-15
113.0	1.098940e-15
114.0	1.091386e-15
115.0	1.083916e-15
116.0	1.076529e-15
117.0	1.069222e-15
118.0	1.061997e-15
119.0	1.054850e-15
120.0	1.047781e-15
121.0	1.040790e-15
122.0	1.033875e-15
123.0	1.027035e-15
124.0	1.020268e-15
125.0	1.013575e-15
126.0	1.006954e-15
127.0	1.000404e-15
128.0	9.939241e-16
129.0	9.875133e-16
130.0	9.811707e-16
131.0	9.748954e-16
132.0	9.686864e-16
133.0	9.625429e-16
134.0	9.564639e-16
135.0	9.504486e-16
136.0	9.444962e-16
137.0	9.386057e-16
138.0	9.327763e-16
139.0	9.270072e-16
140.0	9.212977e-16
141.0	9.156467e-16
142.0	9.100537e-16
143.0	9.045178e-16
144.0	8.990381e-16
145.0	8.936141e-16
146.0	8.882449e-16
147.0	8.829297e-16
148.0	8.776680e-16
149.0	8.724589e-16
150.0	8.673017e-16
151.0	8.621958e-16
152.0	8.571404e-16
153.0	8.521350e-16
154.0	8.471788e-16
155.0	8.422712e-16
156.0	8.374115e-16
157.0	8.325992e-16
158.0	8.278336e-16
159.0	8.231140e-16
160.0	8.184399e-16
161.0	8.138107e-16
162.0	8.092259e-16
163.0	8.046847e-16
164.0	8.001867e-16
165.0	7.957313e-16
166.0	7.913180e-16
167.0	7.869462e-16
168.0	7.826154e-16
169.0	7.783250e-16
170.0	7.740746e-16
171.0	7.698637e-16
172.0	7.656916e-16
173.0	7.615580e-16
174.0	7.574624e-16
175.0	7.534042e-16
176.0	7.493831e-16
177.0	7.453985e-16
178.0	7.414500e-16
179.0	7.375371e-16
180.0	7.336595e-16
181.0	7.298166e-16
182.0	7.260080e-16
183.0	7.222333e-16
184.0	7.184922e-16
185.0	7.147841e-16
186.0	7.111087e-16
187.0	7.074656e-16
188.0	7.038544e-16
189.0	7.002747e-16
190.0	6.967261e-16
191.0	6.932082e-16
192.0	6.897208e-16
193.0	6.862634e-16
194.0	6.828356e-16
195.0	6.794371e-16
196.0	6.760676e-16
197.0	6.727267e-16
198.0	6.694141e-16
199.0	6.661294e-16
200.0	6.628724e-16
201.0	6.596426e-16
202.0	6.564399e-16
203.0	6.532638e-16
204.0	6.501140e-16
205.0	6.469903e-16
206.0	6.438924e-16
207.0	6.408199e-16
208.0	6.377726e-16
209.0	6.347501e-16
210.0	6.317523e-16
211.0	6.287787e-16
212.0	6.258292e-16
213.0	6.229035e-16
214.0	6.200012e-16
215.0	6.171222e-16
216.0	6.142662e-16
217.0	6.114329e-16
218.0	6.086220e-16
219.0	6.058334e-16
220.0	6.030668e-16
221.0	6.003218e-16
222.0	5.975984e-16
223.0	5.948962e-16
224.0	5.922151e-16
225.0	5.895547e-16
226.0	5.869149e-16
227.0	5.842955e-16
228.0	5.816962e-16
229.0	5.791167e-16
230.0	5.765570e-16
231.0	5.740168e-16
232.0	5.714958e-16
233.0	5.689939e-16
234.0	5.665109e-16
235.0	5.640465e-16
236.0	5.616006e-16
237.0	5.591730e-16
238.0	5.567635e-16
239.0	5.543719e-16
240.0	5.519979e-16
241.0	5.496415e-16
242.0	5.473025e-16
243.0	5.449806e-16
244.0	5.426757e-16
245.0	5.403875e-16
246.0	5.381161e-16
247.0	5.358611e-16
248.0	5.336224e-16
249.0	5.313998e-16
250.0	5.291932e-16
251.0	5.270025e-16
252.0	5.248273e-16
253.0	5.226678e-16
254.0	5.205235e-16
255.0	5.183946e-16
256.0	5.162809e-16
257.0	5.141821e-16
258.0	5.120983e-16
259.0	5.100285e-16
260.0	5.079729e-16
261.0	5.059318e-16
262.0	5.039049e-16
263.0	5.018917e-16
264.0	4.998920e-16
265.0	4.979060e-16
266.0	4.959338e-16
267.0	4.939752e-16
268.0	4.920300e-16
269.0	4.900982e-16
270.0	4.881796e-16
271.0	4.862741e-16
272.0	4.843817e-16
273.0	4.825026e-16
274.0	4.806362e-16
275.0	4.787822e-16
276.0	4.769405e-16
277.0	4.751107e-16
278.0	4.732919e-16
279.0	4.714849e-16
280.0	4.696899e-16
281.0	4.679066e-16
282.0	4.661351e-16
283.0	4.643754e-16
284.0	4.626274e-16
285.0	4.608914e-16
286.0	4.591666e-16
287.0	4.574531e-16
288.0	4.557505e-16
289.0	4.540589e-16
