Excitation energy (eV): 8.04
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	4.720409e-20
2.0	2.613189e-17
3.0	2.008150e-16
4.0	5.324549e-16
5.0	9.271494e-16
6.0	1.313986e-15
7.0	1.660642e-15
8.0	1.957810e-15
9.0	2.206672e-15
10.0	2.412317e-15
11.0	2.580765e-15
12.0	2.717760e-15
13.0	2.828358e-15
14.0	2.916856e-15
15.0	2.986846e-15
16.0	3.041311e-15
17.0	3.082722e-15
18.0	3.113131e-15
19.0	3.134244e-15
20.0	3.147486e-15
21.0	3.154049e-15
22.0	3.154938e-15
23.0	3.151000e-15
24.0	3.142952e-15
25.0	3.131407e-15
26.0	3.116884e-15
27.0	3.099832e-15
28.0	3.080632e-15
29.0	3.059616e-15
30.0	3.037069e-15
31.0	3.013237e-15
32.0	2.988335e-15
33.0	2.962547e-15
34.0	2.936037e-15
35.0	2.908945e-15
36.0	2.881393e-15
37.0	2.853489e-15
38.0	2.825326e-15
39.0	2.796987e-15
40.0	2.768543e-15
41.0	2.740056e-15
42.0	2.711580e-15
43.0	2.683164e-15
44.0	2.654848e-15
45.0	2.626669e-15
46.0	2.598658e-15
47.0	2.570842e-15
48.0	2.543245e-15
49.0	2.515886e-15
50.0	2.488783e-15
51.0	2.461950e-15
52.0	2.435399e-15
53.0	2.409142e-15
54.0	2.383186e-15
55.0	2.357539e-15
56.0	2.332206e-15
57.0	2.307191e-15
58.0	2.282498e-15
59.0	2.258129e-15
60.0	2.234085e-15
61.0	2.210366e-15
62.0	2.186973e-15
63.0	2.163905e-15
64.0	2.141161e-15
65.0	2.118739e-15
66.0	2.096637e-15
67.0	2.074853e-15
68.0	2.053383e-15
69.0	2.032225e-15
70.0	2.011376e-15
71.0	1.990833e-15
72.0	1.970590e-15
73.0	1.950646e-15
74.0	1.930996e-15
75.0	1.911636e-15
76.0	1.892562e-15
77.0	1.873770e-15
78.0	1.855256e-15
79.0	1.837016e-15
80.0	1.819045e-15
81.0	1.801340e-15
82.0	1.783896e-15
83.0	1.766708e-15
84.0	1.749774e-15
85.0	1.733088e-15
86.0	1.716647e-15
87.0	1.700447e-15
88.0	1.684483e-15
89.0	1.668751e-15
90.0	1.653247e-15
91.0	1.637968e-15
92.0	1.622910e-15
93.0	1.608069e-15
94.0	1.593440e-15
95.0	1.579021e-15
96.0	1.564808e-15
97.0	1.550797e-15
98.0	1.536984e-15
99.0	1.523366e-15
100.0	1.509940e-15
101.0	1.496701e-15
102.0	1.483648e-15
103.0	1.470777e-15
104.0	1.458083e-15
105.0	1.445565e-15
106.0	1.433220e-15
107.0	1.421043e-15
108.0	1.409033e-15
109.0	1.397185e-15
110.0	1.385498e-15
111.0	1.373969e-15
112.0	1.362595e-15
113.0	1.351372e-15
114.0	1.340299e-15
115.0	1.329373e-15
116.0	1.318592e-15
117.0	1.307952e-15
118.0	1.297451e-15
119.0	1.287087e-15
120.0	1.276858e-15
121.0	1.266761e-15
