Excitation energy (eV): 8.04
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	4.025829e-20
2.0	2.020419e-17
3.0	1.492339e-16
4.0	3.876601e-16
5.0	6.695477e-16
6.0	9.486991e-16
7.0	1.204630e-15
8.0	1.431039e-15
9.0	1.627855e-15
10.0	1.797364e-15
11.0	1.942529e-15
12.0	2.066321e-15
13.0	2.171465e-15
14.0	2.260380e-15
15.0	2.335174e-15
16.0	2.397676e-15
17.0	2.449465e-15
18.0	2.491909e-15
19.0	2.526189e-15
20.0	2.553328e-15
21.0	2.574215e-15
22.0	2.589623e-15
23.0	2.600225e-15
24.0	2.606610e-15
25.0	2.609292e-15
26.0	2.608723e-15
27.0	2.605300e-15
28.0	2.599371e-15
29.0	2.591246e-15
30.0	2.581196e-15
31.0	2.569461e-15
32.0	2.556255e-15
33.0	2.541766e-15
34.0	2.526163e-15
35.0	2.509595e-15
36.0	2.492195e-15
37.0	2.474080e-15
38.0	2.455356e-15
39.0	2.436117e-15
40.0	2.416447e-15
41.0	2.396421e-15
42.0	2.376104e-15
43.0	2.355558e-15
44.0	2.334835e-15
45.0	2.313982e-15
46.0	2.293043e-15
47.0	2.272053e-15
48.0	2.251049e-15
49.0	2.230058e-15
50.0	2.209108e-15
51.0	2.188223e-15
52.0	2.167424e-15
53.0	2.146728e-15
54.0	2.126154e-15
55.0	2.105715e-15
56.0	2.085423e-15
57.0	2.065291e-15
58.0	2.045327e-15
59.0	2.025541e-15
60.0	2.005940e-15
61.0	1.986529e-15
62.0	1.967314e-15
63.0	1.948300e-15
64.0	1.929490e-15
65.0	1.910888e-15
66.0	1.892495e-15
67.0	1.874313e-15
68.0	1.856345e-15
69.0	1.838590e-15
70.0	1.821049e-15
71.0	1.803722e-15
72.0	1.786610e-15
73.0	1.769711e-15
74.0	1.753025e-15
75.0	1.736550e-15
76.0	1.720286e-15
77.0	1.704231e-15
78.0	1.688383e-15
79.0	1.672741e-15
80.0	1.657304e-15
81.0	1.642068e-15
82.0	1.627032e-15
83.0	1.612194e-15
84.0	1.597552e-15
85.0	1.583103e-15
86.0	1.568845e-15
87.0	1.554776e-15
88.0	1.540894e-15
89.0	1.527195e-15
90.0	1.513678e-15
91.0	1.500340e-15
92.0	1.487178e-15
93.0	1.474191e-15
94.0	1.461375e-15
95.0	1.448729e-15
96.0	1.436249e-15
97.0	1.423934e-15
98.0	1.411780e-15
99.0	1.399787e-15
100.0	1.387950e-15
101.0	1.376268e-15
102.0	1.364738e-15
103.0	1.353359e-15
104.0	1.342127e-15
105.0	1.331041e-15
106.0	1.320097e-15
107.0	1.309295e-15
108.0	1.298632e-15
109.0	1.288105e-15
110.0	1.277713e-15
111.0	1.267453e-15
112.0	1.257324e-15
113.0	1.247322e-15
114.0	1.237447e-15
115.0	1.227696e-15
116.0	1.218067e-15
117.0	1.208559e-15
118.0	1.199169e-15
119.0	1.189896e-15
120.0	1.180737e-15
121.0	1.171691e-15
122.0	1.162757e-15
123.0	1.153931e-15
124.0	1.145214e-15
125.0	1.136602e-15
126.0	1.128094e-15
127.0	1.119690e-15
128.0	1.111386e-15
129.0	1.103182e-15
130.0	1.095075e-15
131.0	1.087065e-15
132.0	1.079150e-15
133.0	1.071328e-15
134.0	1.063599e-15
135.0	1.055959e-15
136.0	1.048409e-15
137.0	1.040947e-15
138.0	1.033571e-15
139.0	1.026280e-15
140.0	1.019073e-15
141.0	1.011949e-15
142.0	1.004905e-15
143.0	9.979422e-16
144.0	9.910578e-16
145.0	9.842509e-16
146.0	9.775205e-16
147.0	9.708654e-16
148.0	9.642845e-16
149.0	9.577767e-16
150.0	9.513408e-16
151.0	9.449758e-16
152.0	9.386807e-16
153.0	9.324544e-16
154.0	9.262959e-16
155.0	9.202043e-16
156.0	9.141784e-16
157.0	9.082175e-16
158.0	9.023205e-16
159.0	8.964864e-16
160.0	8.907145e-16
161.0	8.850038e-16
162.0	8.793534e-16
163.0	8.737624e-16
164.0	8.682301e-16
165.0	8.627555e-16
166.0	8.573379e-16
167.0	8.519764e-16
168.0	8.466703e-16
169.0	8.414187e-16
170.0	8.362210e-16
171.0	8.310763e-16
172.0	8.259839e-16
173.0	8.209432e-16
174.0	8.159533e-16
175.0	8.110136e-16
176.0	8.061234e-16
177.0	8.012820e-16
178.0	7.964887e-16
179.0	7.917430e-16
180.0	7.870440e-16
181.0	7.823913e-16
182.0	7.777842e-16
183.0	7.732221e-16
184.0	7.687043e-16
185.0	7.642303e-16
186.0	7.597995e-16
187.0	7.554114e-16
188.0	7.510653e-16
189.0	7.467607e-16
190.0	7.424971e-16
191.0	7.382739e-16
192.0	7.340906e-16
193.0	7.299467e-16
194.0	7.258416e-16
195.0	7.217750e-16
196.0	7.177462e-16
197.0	7.137548e-16
198.0	7.098003e-16
199.0	7.058823e-16
200.0	7.020002e-16
201.0	6.981536e-16
202.0	6.943422e-16
203.0	6.905653e-16
204.0	6.868227e-16
205.0	6.831138e-16
206.0	6.794383e-16
207.0	6.757957e-16
208.0	6.721856e-16
209.0	6.686077e-16
210.0	6.650614e-16
211.0	6.615466e-16
212.0	6.580627e-16
213.0	6.546093e-16
214.0	6.511862e-16
215.0	6.477929e-16
216.0	6.444291e-16
217.0	6.410944e-16
218.0	6.377885e-16
219.0	6.345111e-16
220.0	6.312617e-16
221.0	6.280401e-16
222.0	6.248460e-16
223.0	6.216789e-16
224.0	6.185386e-16
225.0	6.154248e-16
226.0	6.123372e-16
227.0	6.092754e-16
228.0	6.062392e-16
229.0	6.032283e-16
230.0	6.002423e-16
231.0	5.972810e-16
232.0	5.943441e-16
233.0	5.914314e-16
234.0	5.885424e-16
235.0	5.856771e-16
236.0	5.828351e-16
237.0	5.800161e-16
238.0	5.772199e-16
239.0	5.744462e-16
240.0	5.716948e-16
241.0	5.689654e-16
242.0	5.662578e-16
243.0	5.635718e-16
244.0	5.609070e-16
245.0	5.582634e-16
246.0	5.556405e-16
247.0	5.530383e-16
248.0	5.504564e-16
249.0	5.478947e-16
250.0	5.453530e-16
251.0	5.428320e-16
252.0	5.403293e-16
253.0	5.378455e-16
254.0	5.353807e-16
255.0	5.329348e-16
256.0	5.305077e-16
257.0	5.280990e-16
258.0	5.257088e-16
259.0	5.233371e-16
260.0	5.209836e-16
261.0	5.186483e-16
262.0	5.163309e-16
263.0	5.140305e-16
264.0	5.117462e-16
265.0	5.094788e-16
266.0	5.072287e-16
267.0	5.049954e-16
268.0	5.027788e-16
269.0	5.005776e-16
270.0	4.983925e-16
271.0	4.962232e-16
272.0	4.940699e-16
273.0	4.919330e-16
274.0	4.898116e-16
275.0	4.877056e-16
276.0	4.856146e-16
277.0	4.835383e-16
278.0	4.814766e-16
279.0	4.794293e-16
280.0	4.773966e-16
281.0	4.753785e-16
282.0	4.733748e-16
283.0	4.713855e-16
284.0	4.694104e-16
285.0	4.674503e-16
286.0	4.655040e-16
287.0	4.635713e-16
288.0	4.616506e-16
289.0	4.597435e-16
290.0	4.578497e-16
291.0	4.559689e-16
292.0	4.541011e-16
293.0	4.522459e-16
294.0	4.504032e-16
295.0	4.485720e-16
296.0	4.467531e-16
297.0	4.449466e-16
298.0	4.431528e-16
299.0	4.413718e-16
300.0	4.396028e-16
