Excitation energy (eV): 9.67
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	3.709541e-22
2.0	7.517624e-19
3.0	9.999393e-18
4.0	3.728005e-17
5.0	8.242877e-17
6.0	1.394003e-16
7.0	2.016754e-16
8.0	2.643416e-16
9.0	3.242818e-16
10.0	3.797720e-16
11.0	4.300267e-16
12.0	4.748451e-16
13.0	5.143660e-16
14.0	5.489113e-16
15.0	5.788884e-16
16.0	6.047320e-16
17.0	6.268713e-16
18.0	6.457116e-16
19.0	6.616260e-16
20.0	6.749525e-16
21.0	6.859936e-16
22.0	6.950187e-16
23.0	7.022662e-16
24.0	7.079469e-16
25.0	7.122464e-16
26.0	7.153285e-16
27.0	7.173375e-16
28.0	7.184006e-16
29.0	7.186301e-16
30.0	7.181248e-16
31.0	7.169725e-16
32.0	7.152506e-16
33.0	7.130275e-16
34.0	7.103642e-16
35.0	7.073146e-16
36.0	7.039266e-16
37.0	7.002428e-16
38.0	6.963013e-16
39.0	6.921358e-16
40.0	6.877765e-16
41.0	6.832502e-16
42.0	6.785811e-16
43.0	6.737905e-16
44.0	6.688977e-16
45.0	6.639197e-16
46.0	6.588720e-16
47.0	6.537683e-16
48.0	6.486208e-16
49.0	6.434406e-16
50.0	6.382374e-16
51.0	6.330201e-16
52.0	6.277965e-16
53.0	6.225737e-16
54.0	6.173578e-16
55.0	6.121544e-16
56.0	6.069687e-16
57.0	6.018048e-16
58.0	5.966669e-16
59.0	5.915583e-16
60.0	5.864822e-16
61.0	5.814412e-16
62.0	5.764378e-16
63.0	5.714740e-16
64.0	5.665516e-16
65.0	5.616722e-16
66.0	5.568372e-16
67.0	5.520476e-16
68.0	5.473046e-16
69.0	5.426089e-16
70.0	5.379611e-16
71.0	5.333618e-16
72.0	5.288115e-16
73.0	5.243103e-16
74.0	5.198586e-16
75.0	5.154565e-16
76.0	5.111039e-16
77.0	5.068010e-16
78.0	5.025475e-16
79.0	4.983433e-16
80.0	4.941883e-16
81.0	4.900822e-16
82.0	4.860247e-16
83.0	4.820155e-16
84.0	4.780542e-16
85.0	4.741404e-16
86.0	4.702738e-16
87.0	4.664540e-16
88.0	4.626804e-16
89.0	4.589525e-16
90.0	4.552700e-16
91.0	4.516324e-16
92.0	4.480390e-16
93.0	4.444895e-16
94.0	4.409832e-16
95.0	4.375198e-16
96.0	4.340985e-16
97.0	4.307190e-16
98.0	4.273806e-16
99.0	4.240829e-16
100.0	4.208253e-16
101.0	4.176072e-16
102.0	4.144282e-16
103.0	4.112876e-16
104.0	4.081850e-16
105.0	4.051199e-16
106.0	4.020917e-16
107.0	3.990999e-16
108.0	3.961439e-16
109.0	3.932233e-16
110.0	3.903376e-16
111.0	3.874863e-16
112.0	3.846688e-16
113.0	3.818846e-16
114.0	3.791334e-16
115.0	3.764146e-16
116.0	3.737277e-16
117.0	3.710723e-16
118.0	3.684478e-16
119.0	3.658540e-16
120.0	3.632902e-16
121.0	3.607561e-16
122.0	3.582512e-16
123.0	3.557751e-16
124.0	3.533274e-16
125.0	3.509076e-16
126.0	3.485153e-16
127.0	3.461502e-16
128.0	3.438118e-16
129.0	3.414998e-16
130.0	3.392137e-16
131.0	3.369532e-16
132.0	3.347178e-16
133.0	3.325073e-16
134.0	3.303213e-16
135.0	3.281593e-16
136.0	3.260212e-16
137.0	3.239064e-16
138.0	3.218147e-16
139.0	3.197457e-16
140.0	3.176991e-16
141.0	3.156746e-16
142.0	3.136719e-16
143.0	3.116906e-16
144.0	3.097304e-16
145.0	3.077911e-16
146.0	3.058724e-16
147.0	3.039738e-16
148.0	3.020953e-16
149.0	3.002364e-16
150.0	2.983968e-16
151.0	2.965765e-16
152.0	2.947749e-16
153.0	2.929920e-16
154.0	2.912273e-16
155.0	2.894808e-16
156.0	2.877521e-16
157.0	2.860409e-16
158.0	2.843470e-16
159.0	2.826703e-16
160.0	2.810104e-16
161.0	2.793671e-16
162.0	2.777402e-16
163.0	2.761294e-16
164.0	2.745346e-16
165.0	2.729556e-16
166.0	2.713920e-16
167.0	2.698438e-16
168.0	2.683106e-16
169.0	2.667924e-16
170.0	2.652889e-16
171.0	2.637998e-16
172.0	2.623251e-16
173.0	2.608645e-16
174.0	2.594178e-16
175.0	2.579848e-16
176.0	2.565655e-16
177.0	2.551595e-16
178.0	2.537667e-16
179.0	2.523870e-16
180.0	2.510201e-16
181.0	2.496660e-16
182.0	2.483244e-16
183.0	2.469952e-16
184.0	2.456782e-16
185.0	2.443732e-16
186.0	2.430802e-16
187.0	2.417989e-16
188.0	2.405293e-16
