Excitation energy (eV): 9.67
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	1.743997e-22
2.0	4.452468e-19
3.0	7.079826e-18
4.0	2.910745e-17
5.0	6.808138e-17
6.0	1.192626e-16
7.0	1.766911e-16
8.0	2.355712e-16
9.0	2.927051e-16
10.0	3.462197e-16
11.0	3.951728e-16
12.0	4.392214e-16
13.0	4.783855e-16
14.0	5.128901e-16
15.0	5.430658e-16
16.0	5.692869e-16
17.0	5.919354e-16
18.0	6.113802e-16
19.0	6.279661e-16
20.0	6.420091e-16
21.0	6.537951e-16
22.0	6.635806e-16
23.0	6.715941e-16
24.0	6.780389e-16
25.0	6.830952e-16
26.0	6.869224e-16
27.0	6.896617e-16
28.0	6.914383e-16
29.0	6.923628e-16
30.0	6.925333e-16
31.0	6.920367e-16
32.0	6.909502e-16
33.0	6.893424e-16
34.0	6.872742e-16
35.0	6.847999e-16
36.0	6.819678e-16
37.0	6.788210e-16
38.0	6.753981e-16
39.0	6.717334e-16
40.0	6.678575e-16
41.0	6.637981e-16
42.0	6.595798e-16
43.0	6.552246e-16
44.0	6.507522e-16
45.0	6.461805e-16
46.0	6.415253e-16
47.0	6.368009e-16
48.0	6.320201e-16
49.0	6.271944e-16
50.0	6.223341e-16
51.0	6.174485e-16
52.0	6.125458e-16
53.0	6.076336e-16
54.0	6.027186e-16
55.0	5.978066e-16
56.0	5.929030e-16
57.0	5.880127e-16
58.0	5.831400e-16
59.0	5.782885e-16
60.0	5.734617e-16
61.0	5.686627e-16
62.0	5.638940e-16
63.0	5.591582e-16
64.0	5.544571e-16
65.0	5.497927e-16
66.0	5.451666e-16
67.0	5.405801e-16
68.0	5.360344e-16
69.0	5.315306e-16
70.0	5.270695e-16
71.0	5.226518e-16
72.0	5.182782e-16
73.0	5.139491e-16
74.0	5.096650e-16
75.0	5.054260e-16
76.0	5.012324e-16
77.0	4.970843e-16
78.0	4.929818e-16
79.0	4.889248e-16
80.0	4.849132e-16
81.0	4.809471e-16
82.0	4.770261e-16
83.0	4.731501e-16
84.0	4.693188e-16
85.0	4.655320e-16
86.0	4.617893e-16
87.0	4.580905e-16
88.0	4.544351e-16
89.0	4.508228e-16
90.0	4.472531e-16
91.0	4.437258e-16
92.0	4.402403e-16
93.0	4.367962e-16
94.0	4.333931e-16
95.0	4.300304e-16
96.0	4.267079e-16
97.0	4.234249e-16
98.0	4.201810e-16
99.0	4.169758e-16
100.0	4.138087e-16
101.0	4.106793e-16
102.0	4.075871e-16
103.0	4.045316e-16
104.0	4.015124e-16
105.0	3.985289e-16
106.0	3.955807e-16
107.0	3.926673e-16
108.0	3.897882e-16
109.0	3.869430e-16
110.0	3.841311e-16
111.0	3.813523e-16
112.0	3.786058e-16
113.0	3.758915e-16
114.0	3.732086e-16
115.0	3.705570e-16
116.0	3.679360e-16
117.0	3.653452e-16
118.0	3.627843e-16
119.0	3.602527e-16
120.0	3.577502e-16
121.0	3.552762e-16
122.0	3.528303e-16
123.0	3.504122e-16
124.0	3.480214e-16
125.0	3.456576e-16
126.0	3.433204e-16
127.0	3.410093e-16
128.0	3.387241e-16
129.0	3.364642e-16
130.0	3.342295e-16
131.0	3.320194e-16
132.0	3.298338e-16
133.0	3.276721e-16
134.0	3.255340e-16
135.0	3.234193e-16
136.0	3.213276e-16
137.0	3.192586e-16
138.0	3.172118e-16
139.0	3.151871e-16
140.0	3.131841e-16
141.0	3.112025e-16
142.0	3.092420e-16
143.0	3.073022e-16
144.0	3.053830e-16
145.0	3.034839e-16
146.0	3.016048e-16
147.0	2.997454e-16
148.0	2.979053e-16
149.0	2.960843e-16
150.0	2.942821e-16
151.0	2.924985e-16
152.0	2.907332e-16
153.0	2.889859e-16
154.0	2.872565e-16
155.0	2.855446e-16
156.0	2.838500e-16
157.0	2.821725e-16
