Excitation energy (eV): 11.19
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	5.029106e-23
2.0	6.884366e-19
3.0	1.769989e-17
4.0	8.663726e-17
5.0	2.168897e-16
6.0	3.893104e-16
7.0	5.795440e-16
8.0	7.692722e-16
9.0	9.475384e-16
10.0	1.108923e-15
11.0	1.251512e-15
12.0	1.375393e-15
13.0	1.481693e-15
14.0	1.572009e-15
15.0	1.648075e-15
16.0	1.711596e-15
17.0	1.764157e-15
18.0	1.807187e-15
19.0	1.841955e-15
20.0	1.869572e-15
21.0	1.891004e-15
22.0	1.907089e-15
23.0	1.918553e-15
24.0	1.926020e-15
25.0	1.930033e-15
26.0	1.931058e-15
27.0	1.929501e-15
28.0	1.925712e-15
29.0	1.919995e-15
30.0	1.912614e-15
31.0	1.903800e-15
32.0	1.893753e-15
33.0	1.882648e-15
34.0	1.870638e-15
35.0	1.857856e-15
36.0	1.844421e-15
37.0	1.830435e-15
38.0	1.815988e-15
39.0	1.801160e-15
40.0	1.786021e-15
41.0	1.770632e-15
42.0	1.755048e-15
43.0	1.739316e-15
44.0	1.723478e-15
45.0	1.707571e-15
46.0	1.691628e-15
47.0	1.675677e-15
48.0	1.659744e-15
49.0	1.643851e-15
50.0	1.628017e-15
51.0	1.612260e-15
52.0	1.596593e-15
53.0	1.581031e-15
54.0	1.565584e-15
55.0	1.550262e-15
56.0	1.535074e-15
57.0	1.520026e-15
58.0	1.505126e-15
59.0	1.490378e-15
60.0	1.475786e-15
61.0	1.461354e-15
62.0	1.447085e-15
63.0	1.432982e-15
64.0	1.419045e-15
65.0	1.405277e-15
66.0	1.391679e-15
67.0	1.378250e-15
68.0	1.364991e-15
69.0	1.351901e-15
70.0	1.338981e-15
71.0	1.326230e-15
72.0	1.313646e-15
73.0	1.301230e-15
74.0	1.288979e-15
75.0	1.276892e-15
76.0	1.264968e-15
77.0	1.253205e-15
78.0	1.241601e-15
79.0	1.230156e-15
80.0	1.218866e-15
81.0	1.207731e-15
82.0	1.196748e-15
83.0	1.185915e-15
84.0	1.175230e-15
85.0	1.164691e-15
86.0	1.154297e-15
87.0	1.144045e-15
