Excitation energy (eV): 11.19
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	4.981879e-23
2.0	5.896064e-19
3.0	1.333556e-17
4.0	6.133652e-17
5.0	1.494927e-16
6.0	2.659975e-16
7.0	3.962269e-16
8.0	5.288831e-16
9.0	6.567662e-16
10.0	7.758690e-16
11.0	8.843163e-16
12.0	9.815468e-16
13.0	1.067760e-15
14.0	1.143565e-15
15.0	1.209768e-15
16.0	1.267243e-15
17.0	1.316861e-15
18.0	1.359450e-15
19.0	1.395776e-15
20.0	1.426537e-15
21.0	1.452359e-15
22.0	1.473803e-15
23.0	1.491366e-15
24.0	1.505491e-15
25.0	1.516570e-15
26.0	1.524948e-15
27.0	1.530934e-15
28.0	1.534798e-15
29.0	1.536782e-15
30.0	1.537098e-15
31.0	1.535938e-15
32.0	1.533469e-15
33.0	1.529841e-15
34.0	1.525188e-15
35.0	1.519629e-15
36.0	1.513270e-15
37.0	1.506206e-15
38.0	1.498523e-15
39.0	1.490295e-15
40.0	1.481592e-15
41.0	1.472474e-15
42.0	1.462996e-15
43.0	1.453207e-15
44.0	1.443152e-15
45.0	1.432870e-15
46.0	1.422396e-15
47.0	1.411763e-15
48.0	1.400999e-15
49.0	1.390131e-15
50.0	1.379181e-15
51.0	1.368171e-15
52.0	1.357120e-15
53.0	1.346044e-15
54.0	1.334959e-15
55.0	1.323878e-15
56.0	1.312813e-15
57.0	1.301776e-15
58.0	1.290776e-15
59.0	1.279822e-15
60.0	1.268922e-15
61.0	1.258083e-15
62.0	1.247310e-15
63.0	1.236610e-15
64.0	1.225987e-15
65.0	1.215446e-15
66.0	1.204990e-15
67.0	1.194622e-15
68.0	1.184346e-15
69.0	1.174163e-15
70.0	1.164077e-15
71.0	1.154087e-15
72.0	1.144197e-15
73.0	1.134407e-15
74.0	1.124718e-15
75.0	1.115131e-15
76.0	1.105646e-15
77.0	1.096264e-15
78.0	1.086985e-15
79.0	1.077809e-15
80.0	1.068735e-15
81.0	1.059764e-15
82.0	1.050896e-15
