Excitation energy (eV): 8.88
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	3.669616e-21
2.0	4.386160e-18
3.0	4.828312e-17
4.0	1.627328e-16
5.0	3.381264e-16
6.0	5.481659e-16
7.0	7.687922e-16
8.0	9.835165e-16
9.0	1.182834e-15
10.0	1.362213e-15
11.0	1.520256e-15
12.0	1.657373e-15
13.0	1.774927e-15
14.0	1.874710e-15
15.0	1.958637e-15
16.0	2.028580e-15
17.0	2.086282e-15
18.0	2.133322e-15
19.0	2.171105e-15
20.0	2.200866e-15
21.0	2.223685e-15
22.0	2.240499e-15
23.0	2.252122e-15
24.0	2.259259e-15
25.0	2.262520e-15
26.0	2.262433e-15
27.0	2.259456e-15
28.0	2.253986e-15
29.0	2.246366e-15
30.0	2.236897e-15
31.0	2.225838e-15
32.0	2.213417e-15
33.0	2.199832e-15
34.0	2.185256e-15
35.0	2.169839e-15
36.0	2.153715e-15
37.0	2.136998e-15
38.0	2.119791e-15
39.0	2.102183e-15
40.0	2.084252e-15
41.0	2.066067e-15
42.0	2.047689e-15
43.0	2.029170e-15
44.0	2.010556e-15
45.0	1.991890e-15
46.0	1.973207e-15
47.0	1.954538e-15
48.0	1.935911e-15
49.0	1.917351e-15
50.0	1.898878e-15
51.0	1.880510e-15
52.0	1.862265e-15
53.0	1.844155e-15
54.0	1.826193e-15
55.0	1.808388e-15
56.0	1.790751e-15
57.0	1.773287e-15
58.0	1.756004e-15
59.0	1.738907e-15
60.0	1.722000e-15
61.0	1.705286e-15
62.0	1.688769e-15
63.0	1.672450e-15
64.0	1.656331e-15
65.0	1.640413e-15
66.0	1.624696e-15
67.0	1.609181e-15
68.0	1.593867e-15
69.0	1.578754e-15
70.0	1.563840e-15
71.0	1.549125e-15
72.0	1.534607e-15
73.0	1.520286e-15
74.0	1.506158e-15
75.0	1.492223e-15
76.0	1.478478e-15
77.0	1.464922e-15
78.0	1.451552e-15
79.0	1.438366e-15
80.0	1.425362e-15
81.0	1.412537e-15
82.0	1.399889e-15
83.0	1.387416e-15
84.0	1.375115e-15
85.0	1.362984e-15
86.0	1.351020e-15
87.0	1.339221e-15
88.0	1.327585e-15
89.0	1.316108e-15
90.0	1.304788e-15
91.0	1.293624e-15
92.0	1.282612e-15
93.0	1.271750e-15
94.0	1.261036e-15
95.0	1.250468e-15
96.0	1.240042e-15
97.0	1.229757e-15
98.0	1.219610e-15
99.0	1.209600e-15
100.0	1.199723e-15
101.0	1.189978e-15
102.0	1.180362e-15
103.0	1.170874e-15
104.0	1.161511e-15
105.0	1.152271e-15
106.0	1.143152e-15
107.0	1.134153e-15
108.0	1.125270e-15
109.0	1.116502e-15
110.0	1.107848e-15
111.0	1.099305e-15
112.0	1.090871e-15
113.0	1.082545e-15
114.0	1.074325e-15
115.0	1.066209e-15
116.0	1.058195e-15
117.0	1.050282e-15
118.0	1.042468e-15
119.0	1.034751e-15
120.0	1.027130e-15
121.0	1.019603e-15
122.0	1.012169e-15
123.0	1.004826e-15
124.0	9.975720e-16
125.0	9.904066e-16
126.0	9.833279e-16
127.0	9.763345e-16
128.0	9.694251e-16
129.0	9.625982e-16
130.0	9.558525e-16
131.0	9.491868e-16
132.0	9.425997e-16
133.0	9.360901e-16
134.0	9.296565e-16
135.0	9.232980e-16
136.0	9.170132e-16
137.0	9.108009e-16
138.0	9.046602e-16
139.0	8.985898e-16
140.0	8.925886e-16
141.0	8.866555e-16
142.0	8.807896e-16
143.0	8.749897e-16
144.0	8.692549e-16
145.0	8.635841e-16
146.0	8.579763e-16
147.0	8.524307e-16
148.0	8.469462e-16
149.0	8.415219e-16
150.0	8.361569e-16
151.0	8.308503e-16
152.0	8.256013e-16
153.0	8.204089e-16
154.0	8.152724e-16
155.0	8.101908e-16
156.0	8.051635e-16
157.0	8.001895e-16
158.0	7.952681e-16
159.0	7.903986e-16
160.0	7.855801e-16
161.0	7.808120e-16
162.0	7.760934e-16
163.0	7.714237e-16
164.0	7.668023e-16
165.0	7.622283e-16
166.0	7.577011e-16
167.0	7.532200e-16
168.0	7.487844e-16
169.0	7.443937e-16
170.0	7.400472e-16
171.0	7.357443e-16
172.0	7.314844e-16
173.0	7.272668e-16
174.0	7.230910e-16
175.0	7.189565e-16
176.0	7.148626e-16
177.0	7.108088e-16
178.0	7.067945e-16
179.0	7.028193e-16
180.0	6.988825e-16
181.0	6.949836e-16
182.0	6.911222e-16
183.0	6.872977e-16
184.0	6.835097e-16
185.0	6.797576e-16
186.0	6.760410e-16
187.0	6.723594e-16
188.0	6.687123e-16
189.0	6.650993e-16
190.0	6.615200e-16
191.0	6.579738e-16
192.0	6.544605e-16
193.0	6.509794e-16
194.0	6.475303e-16
195.0	6.441127e-16
196.0	6.407262e-16
197.0	6.373705e-16
198.0	6.340450e-16
199.0	6.307495e-16
200.0	6.274835e-16
201.0	6.242467e-16
202.0	6.210388e-16
203.0	6.178592e-16
204.0	6.147078e-16
205.0	6.115842e-16
206.0	6.084879e-16
207.0	6.054187e-16
208.0	6.023762e-16
209.0	5.993602e-16
210.0	5.963702e-16
211.0	5.934060e-16
212.0	5.904672e-16
213.0	5.875536e-16
214.0	5.846648e-16
215.0	5.818005e-16
216.0	5.789605e-16
217.0	5.761445e-16
218.0	5.733521e-16
219.0	5.705831e-16
220.0	5.678373e-16
221.0	5.651143e-16
222.0	5.624138e-16
223.0	5.597357e-16
224.0	5.570796e-16
225.0	5.544453e-16
226.0	5.518325e-16
227.0	5.492410e-16
228.0	5.466706e-16
229.0	5.441210e-16
230.0	5.415919e-16
231.0	5.390832e-16
232.0	5.365946e-16
233.0	5.341258e-16
234.0	5.316767e-16
235.0	5.292470e-16
236.0	5.268366e-16
237.0	5.244451e-16
238.0	5.220724e-16
239.0	5.197183e-16
240.0	5.173825e-16
241.0	5.150649e-16
242.0	5.127653e-16
243.0	5.104835e-16
244.0	5.082192e-16
245.0	5.059723e-16
246.0	5.037426e-16
247.0	5.015299e-16
248.0	4.993340e-16
249.0	4.971548e-16
250.0	4.949920e-16
251.0	4.928457e-16
252.0	4.907153e-16
253.0	4.886007e-16
254.0	4.865018e-16
255.0	4.844187e-16
256.0	4.823509e-16
257.0	4.802983e-16
258.0	4.782609e-16
259.0	4.762387e-16
260.0	4.742312e-16
261.0	4.722383e-16
262.0	4.702597e-16
263.0	4.682953e-16
264.0	4.663457e-16
265.0	4.644100e-16
266.0	4.624881e-16
267.0	4.605800e-16
268.0	4.586853e-16
269.0	4.568044e-16
270.0	4.549367e-16
271.0	4.530822e-16
272.0	4.512409e-16
273.0	4.494126e-16
274.0	4.475972e-16
275.0	4.457944e-16
276.0	4.440041e-16
277.0	4.422260e-16
278.0	4.404603e-16
279.0	4.387074e-16
280.0	4.369663e-16
281.0	4.352371e-16
282.0	4.335197e-16
283.0	4.318139e-16
284.0	4.301200e-16
285.0	4.284375e-16
286.0	4.267663e-16
287.0	4.251065e-16
288.0	4.234578e-16
289.0	4.218204e-16
290.0	4.201940e-16
291.0	4.185783e-16
292.0	4.169733e-16
293.0	4.153787e-16
294.0	4.137946e-16
295.0	4.122217e-16
296.0	4.106590e-16
297.0	4.091064e-16
298.0	4.075639e-16
299.0	4.060314e-16
300.0	4.045088e-16
