Excitation energy (eV): 8.88
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	1.851105e-21
2.0	2.868862e-18
3.0	3.687336e-17
4.0	1.348993e-16
5.0	2.935725e-16
6.0	4.895976e-16
7.0	6.995406e-16
8.0	9.066097e-16
9.0	1.100752e-15
10.0	1.276892e-15
11.0	1.433172e-15
12.0	1.569634e-15
13.0	1.687354e-15
14.0	1.787903e-15
15.0	1.873030e-15
16.0	1.944480e-15
17.0	2.003902e-15
18.0	2.052803e-15
19.0	2.092533e-15
20.0	2.124288e-15
21.0	2.149115e-15
22.0	2.167931e-15
23.0	2.181532e-15
24.0	2.190613e-15
25.0	2.195773e-15
26.0	2.197536e-15
27.0	2.196356e-15
28.0	2.192626e-15
29.0	2.186690e-15
30.0	2.178847e-15
31.0	2.169358e-15
32.0	2.158451e-15
33.0	2.146325e-15
34.0	2.133154e-15
35.0	2.119091e-15
36.0	2.104270e-15
37.0	2.088808e-15
38.0	2.072811e-15
39.0	2.056367e-15
40.0	2.039558e-15
41.0	2.022453e-15
42.0	2.005116e-15
43.0	1.987600e-15
44.0	1.969954e-15
45.0	1.952221e-15
46.0	1.934438e-15
47.0	1.916638e-15
48.0	1.898850e-15
49.0	1.881099e-15
50.0	1.863408e-15
51.0	1.845796e-15
52.0	1.828281e-15
53.0	1.810877e-15
54.0	1.793598e-15
55.0	1.776455e-15
56.0	1.759457e-15
57.0	1.742613e-15
58.0	1.725930e-15
59.0	1.709414e-15
60.0	1.693070e-15
61.0	1.676903e-15
62.0	1.660915e-15
63.0	1.645110e-15
64.0	1.629490e-15
65.0	1.614056e-15
66.0	1.598809e-15
67.0	1.583751e-15
68.0	1.568880e-15
69.0	1.554198e-15
70.0	1.539703e-15
71.0	1.525396e-15
72.0	1.511275e-15
73.0	1.497339e-15
74.0	1.483587e-15
75.0	1.470017e-15
76.0	1.456629e-15
77.0	1.443419e-15
78.0	1.430387e-15
79.0	1.417530e-15
80.0	1.404847e-15
81.0	1.392335e-15
82.0	1.379992e-15
83.0	1.367817e-15
84.0	1.355806e-15
85.0	1.343958e-15
86.0	1.332271e-15
87.0	1.320742e-15
88.0	1.309369e-15
89.0	1.298150e-15
90.0	1.287082e-15
91.0	1.276163e-15
92.0	1.265392e-15
93.0	1.254765e-15
94.0	1.244280e-15
95.0	1.233936e-15
96.0	1.223730e-15
97.0	1.213660e-15
98.0	1.203724e-15
99.0	1.193919e-15
100.0	1.184244e-15
101.0	1.174696e-15
102.0	1.165273e-15
103.0	1.155974e-15
104.0	1.146796e-15
105.0	1.137737e-15
106.0	1.128796e-15
107.0	1.119971e-15
108.0	1.111259e-15
109.0	1.102658e-15
110.0	1.094168e-15
111.0	1.085786e-15
112.0	1.077510e-15
113.0	1.069338e-15
114.0	1.061270e-15
115.0	1.053303e-15
116.0	1.045435e-15
117.0	1.037665e-15
118.0	1.029992e-15
119.0	1.022413e-15
120.0	1.014928e-15
121.0	1.007534e-15
122.0	1.000231e-15
123.0	9.930162e-16
124.0	9.858889e-16
125.0	9.788475e-16
126.0	9.718906e-16
127.0	9.650169e-16
128.0	9.582251e-16
129.0	9.515139e-16
130.0	9.448819e-16
131.0	9.383279e-16
132.0	9.318507e-16
133.0	9.254490e-16
134.0	9.191218e-16
135.0	9.128677e-16
136.0	9.066857e-16
137.0	9.005746e-16
138.0	8.945333e-16
139.0	8.885608e-16
140.0	8.826559e-16
141.0	8.768177e-16
142.0	8.710451e-16
143.0	8.653371e-16
144.0	8.596926e-16
145.0	8.541109e-16
146.0	8.485908e-16
147.0	8.431314e-16
148.0	8.377319e-16
149.0	8.323914e-16
150.0	8.271089e-16
151.0	8.218835e-16
152.0	8.167145e-16
153.0	8.116010e-16
154.0	8.065422e-16
155.0	8.015372e-16
156.0	7.965853e-16
157.0	7.916858e-16
158.0	7.868377e-16
159.0	7.820404e-16
160.0	7.772932e-16
161.0	7.725953e-16
162.0	7.679460e-16
163.0	7.633446e-16
164.0	7.587905e-16
165.0	7.542829e-16
166.0	7.498212e-16
167.0	7.454048e-16
168.0	7.410330e-16
169.0	7.367051e-16
170.0	7.324207e-16
171.0	7.281790e-16
172.0	7.239794e-16
173.0	7.198215e-16
174.0	7.157045e-16
175.0	7.116280e-16
176.0	7.075914e-16
177.0	7.035942e-16
178.0	6.996357e-16
179.0	6.957156e-16
180.0	6.918332e-16
181.0	6.879881e-16
182.0	6.841797e-16
183.0	6.804076e-16
184.0	6.766713e-16
185.0	6.729703e-16
186.0	6.693041e-16
187.0	6.656724e-16
188.0	6.620745e-16
189.0	6.585102e-16
190.0	6.549788e-16
191.0	6.514802e-16
192.0	6.480137e-16
193.0	6.445790e-16
194.0	6.411756e-16
195.0	6.378033e-16
196.0	6.344615e-16
197.0	6.311499e-16
198.0	6.278681e-16
199.0	6.246157e-16
200.0	6.213924e-16
201.0	6.181978e-16
202.0	6.150315e-16
203.0	6.118932e-16
204.0	6.087825e-16
205.0	6.056991e-16
206.0	6.026426e-16
207.0	5.996128e-16
208.0	5.966093e-16
209.0	5.936317e-16
210.0	5.906798e-16
211.0	5.877533e-16
212.0	5.848517e-16
213.0	5.819750e-16
214.0	5.791226e-16
215.0	5.762944e-16
216.0	5.734901e-16
217.0	5.707093e-16
218.0	5.679518e-16
219.0	5.652174e-16
220.0	5.625057e-16
221.0	5.598164e-16
222.0	5.571494e-16
223.0	5.545044e-16
224.0	5.518810e-16
225.0	5.492791e-16
226.0	5.466984e-16
227.0	5.441387e-16
228.0	5.415997e-16
229.0	5.390812e-16
230.0	5.365829e-16
231.0	5.341047e-16
232.0	5.316462e-16
233.0	5.292073e-16
234.0	5.267878e-16
235.0	5.243873e-16
236.0	5.220059e-16
237.0	5.196431e-16
238.0	5.172988e-16
239.0	5.149728e-16
240.0	5.126649e-16
241.0	5.103749e-16
242.0	5.081026e-16
243.0	5.058478e-16
244.0	5.036103e-16
245.0	5.013899e-16
246.0	4.991865e-16
247.0	4.969998e-16
248.0	4.948298e-16
249.0	4.926761e-16
250.0	4.905386e-16
251.0	4.884163e-16
252.0	4.863099e-16
253.0	4.842194e-16
254.0	4.821447e-16
255.0	4.800858e-16
256.0	4.780423e-16
257.0	4.760139e-16
258.0	4.740006e-16
259.0	4.720021e-16
260.0	4.700183e-16
261.0	4.680485e-16
262.0	4.660925e-16
263.0	4.641508e-16
264.0	4.622231e-16
265.0	4.603093e-16
266.0	4.584092e-16
267.0	4.565227e-16
268.0	4.546497e-16
269.0	4.527901e-16
270.0	4.509438e-16
271.0	4.491106e-16
272.0	4.472903e-16
