Excitation energy (eV): 9.31
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	9.008894e-22
2.0	2.351237e-18
3.0	3.342141e-17
4.0	1.275444e-16
5.0	2.869885e-16
6.0	4.950244e-16
7.0	7.325356e-16
8.0	9.839723e-16
9.0	1.238187e-15
10.0	1.487733e-15
11.0	1.727925e-15
12.0	1.956023e-15
13.0	2.170615e-15
14.0	2.371176e-15
15.0	2.557748e-15
16.0	2.730735e-15
17.0	2.890753e-15
18.0	3.038531e-15
19.0	3.174854e-15
20.0	3.300514e-15
21.0	3.416287e-15
22.0	3.522919e-15
23.0	3.621111e-15
24.0	3.711524e-15
25.0	3.794766e-15
26.0	3.871403e-15
27.0	3.941955e-15
28.0	4.006898e-15
29.0	4.066672e-15
30.0	4.121676e-15
31.0	4.172277e-15
32.0	4.218811e-15
33.0	4.261585e-15
34.0	4.300881e-15
35.0	4.336956e-15
36.0	4.370046e-15
37.0	4.400367e-15
38.0	4.428118e-15
39.0	4.453480e-15
40.0	4.476622e-15
41.0	4.497697e-15
42.0	4.516848e-15
43.0	4.534204e-15
44.0	4.549887e-15
45.0	4.564008e-15
46.0	4.576669e-15
47.0	4.587967e-15
48.0	4.597989e-15
49.0	4.606817e-15
50.0	4.614526e-15
51.0	4.621188e-15
52.0	4.626867e-15
53.0	4.631626e-15
54.0	4.635519e-15
55.0	4.638601e-15
56.0	4.640920e-15
57.0	4.642523e-15
58.0	4.643453e-15
59.0	4.643749e-15
60.0	4.643450e-15
61.0	4.642591e-15
62.0	4.641205e-15
63.0	4.639323e-15
64.0	4.636973e-15
65.0	4.634184e-15
66.0	4.630981e-15
67.0	4.627387e-15
68.0	4.623427e-15
69.0	4.619120e-15
70.0	4.614488e-15
71.0	4.609549e-15
72.0	4.604322e-15
73.0	4.598822e-15
74.0	4.593067e-15
75.0	4.587070e-15
76.0	4.580847e-15
77.0	4.574410e-15
78.0	4.567773e-15
79.0	4.560947e-15
80.0	4.553944e-15
81.0	4.546775e-15
82.0	4.539449e-15
83.0	4.531977e-15
84.0	4.524367e-15
85.0	4.516629e-15
86.0	4.508770e-15
87.0	4.500799e-15
88.0	4.492722e-15
89.0	4.484547e-15
90.0	4.476281e-15
91.0	4.467929e-15
92.0	4.459498e-15
93.0	4.450994e-15
94.0	4.442421e-15
95.0	4.433786e-15
96.0	4.425093e-15
97.0	4.416346e-15
98.0	4.407550e-15
99.0	4.398710e-15
100.0	4.389829e-15
101.0	4.380911e-15
102.0	4.371960e-15
103.0	4.362980e-15
104.0	4.353972e-15
105.0	4.344942e-15
106.0	4.335891e-15
107.0	4.326822e-15
108.0	4.317739e-15
109.0	4.308643e-15
110.0	4.299537e-15
111.0	4.290424e-15
112.0	4.281306e-15
113.0	4.272184e-15
114.0	4.263061e-15
115.0	4.253938e-15
116.0	4.244818e-15
117.0	4.235702e-15
118.0	4.226592e-15
119.0	4.217489e-15
120.0	4.208395e-15
121.0	4.199311e-15
122.0	4.190239e-15
123.0	4.181180e-15
124.0	4.172134e-15
125.0	4.163104e-15
126.0	4.154090e-15
127.0	4.145093e-15
128.0	4.136115e-15
129.0	4.127155e-15
130.0	4.118216e-15
131.0	4.109297e-15
132.0	4.100401e-15
133.0	4.091526e-15
134.0	4.082675e-15
135.0	4.073847e-15
136.0	4.065044e-15
137.0	4.056266e-15
138.0	4.047514e-15
139.0	4.038788e-15
140.0	4.030088e-15
141.0	4.021415e-15
142.0	4.012770e-15
143.0	4.004153e-15
144.0	3.995564e-15
145.0	3.987003e-15
146.0	3.978472e-15
147.0	3.969970e-15
148.0	3.961498e-15
149.0	3.953055e-15
150.0	3.944643e-15
151.0	3.936261e-15
152.0	3.927910e-15
153.0	3.919590e-15
154.0	3.911301e-15
155.0	3.903042e-15
156.0	3.894816e-15
157.0	3.886620e-15
158.0	3.878457e-15
159.0	3.870325e-15
160.0	3.862224e-15
161.0	3.854156e-15
162.0	3.846120e-15
163.0	3.838116e-15
164.0	3.830144e-15
165.0	3.822204e-15
166.0	3.814296e-15
167.0	3.806420e-15
168.0	3.798577e-15
169.0	3.790766e-15
170.0	3.782987e-15
171.0	3.775241e-15
172.0	3.767526e-15
173.0	3.759844e-15
174.0	3.752194e-15
175.0	3.744577e-15
176.0	3.736991e-15
177.0	3.729437e-15
178.0	3.721916e-15
179.0	3.714426e-15
180.0	3.706969e-15
181.0	3.699543e-15
182.0	3.692149e-15
183.0	3.684786e-15
184.0	3.677456e-15
185.0	3.670156e-15
186.0	3.662889e-15
187.0	3.655652e-15
188.0	3.648447e-15
189.0	3.641273e-15
190.0	3.634130e-15
191.0	3.627018e-15
192.0	3.619937e-15
193.0	3.612887e-15
194.0	3.605867e-15
195.0	3.598878e-15
196.0	3.591919e-15
197.0	3.584991e-15
198.0	3.578092e-15
199.0	3.571224e-15
200.0	3.564386e-15
201.0	3.557577e-15
202.0	3.550799e-15
203.0	3.544049e-15
204.0	3.537330e-15
205.0	3.530639e-15
206.0	3.523978e-15
207.0	3.517346e-15
208.0	3.510742e-15
209.0	3.504168e-15
210.0	3.497622e-15
211.0	3.491105e-15
212.0	3.484616e-15
213.0	3.478155e-15
214.0	3.471722e-15
215.0	3.465318e-15
