Excitation energy (eV): 9.31
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	1.117512e-21
2.0	2.018688e-18
3.0	2.832789e-17
4.0	1.112801e-16
5.0	2.575577e-16
6.0	4.541746e-16
7.0	6.833207e-16
8.0	9.293610e-16
9.0	1.180581e-15
10.0	1.428912e-15
11.0	1.669140e-15
12.0	1.898121e-15
13.0	2.114146e-15
14.0	2.316478e-15
15.0	2.505013e-15
16.0	2.680055e-15
17.0	2.842149e-15
18.0	2.991982e-15
19.0	3.130306e-15
20.0	3.257895e-15
21.0	3.375517e-15
22.0	3.483909e-15
23.0	3.583774e-15
24.0	3.675769e-15
25.0	3.760509e-15
26.0	3.838561e-15
27.0	3.910448e-15
28.0	3.976651e-15
29.0	4.037614e-15
30.0	4.093740e-15
31.0	4.145401e-15
32.0	4.192937e-15
33.0	4.236658e-15
34.0	4.276849e-15
35.0	4.313771e-15
36.0	4.347663e-15
37.0	4.378744e-15
38.0	4.407215e-15
39.0	4.433262e-15
40.0	4.457054e-15
41.0	4.478747e-15
42.0	4.498486e-15
43.0	4.516402e-15
44.0	4.532618e-15
45.0	4.547247e-15
46.0	4.560394e-15
47.0	4.572154e-15
48.0	4.582618e-15
49.0	4.591869e-15
50.0	4.599983e-15
51.0	4.607033e-15
52.0	4.613083e-15
53.0	4.618197e-15
54.0	4.622432e-15
55.0	4.625841e-15
56.0	4.628475e-15
57.0	4.630380e-15
58.0	4.631600e-15
59.0	4.632176e-15
60.0	4.632146e-15
61.0	4.631545e-15
62.0	4.630409e-15
63.0	4.628767e-15
64.0	4.626649e-15
65.0	4.624083e-15
66.0	4.621096e-15
67.0	4.617711e-15
68.0	4.613952e-15
69.0	4.609840e-15
70.0	4.605396e-15
71.0	4.600639e-15
72.0	4.595588e-15
73.0	4.590259e-15
74.0	4.584669e-15
75.0	4.578832e-15
76.0	4.572764e-15
77.0	4.566478e-15
78.0	4.559986e-15
79.0	4.553302e-15
80.0	4.546436e-15
81.0	4.539400e-15
82.0	4.532204e-15
83.0	4.524858e-15
84.0	4.517371e-15
85.0	4.509751e-15
86.0	4.502008e-15
87.0	4.494149e-15
88.0	4.486182e-15
89.0	4.478113e-15
90.0	4.469950e-15
91.0	4.461700e-15
92.0	4.453367e-15
93.0	4.444958e-15
94.0	4.436479e-15
95.0	4.427935e-15
96.0	4.419330e-15
97.0	4.410670e-15
98.0	4.401959e-15
99.0	4.393201e-15
100.0	4.384401e-15
101.0	4.375561e-15
102.0	4.366687e-15
103.0	4.357781e-15
104.0	4.348847e-15
105.0	4.339888e-15
106.0	4.330906e-15
107.0	4.321906e-15
108.0	4.312889e-15
109.0	4.303859e-15
110.0	4.294817e-15
111.0	4.285766e-15
112.0	4.276708e-15
113.0	4.267646e-15
114.0	4.258582e-15
115.0	4.249516e-15
116.0	4.240452e-15
117.0	4.231391e-15
118.0	4.222335e-15
119.0	4.213285e-15
120.0	4.204242e-15
121.0	4.195209e-15
122.0	4.186186e-15
123.0	4.177175e-15
124.0	4.168177e-15
125.0	4.159194e-15
126.0	4.150225e-15
127.0	4.141273e-15
128.0	4.132339e-15
129.0	4.123423e-15
130.0	4.114526e-15
131.0	4.105649e-15
132.0	4.096793e-15
133.0	4.087959e-15
134.0	4.079147e-15
135.0	4.070358e-15
136.0	4.061593e-15
137.0	4.052852e-15
138.0	4.044136e-15
139.0	4.035446e-15
140.0	4.026781e-15
141.0	4.018143e-15
142.0	4.009532e-15
143.0	4.000948e-15
144.0	3.992392e-15
145.0	3.983864e-15
146.0	3.975365e-15
147.0	3.966894e-15
148.0	3.958453e-15
149.0	3.950041e-15
150.0	3.941658e-15
151.0	3.933306e-15
152.0	3.924983e-15
153.0	3.916691e-15
154.0	3.908430e-15
155.0	3.900199e-15
156.0	3.892000e-15
157.0	3.883831e-15
158.0	3.875693e-15
159.0	3.867587e-15
160.0	3.859512e-15
161.0	3.851469e-15
162.0	3.843457e-15
163.0	3.835477e-15
164.0	3.827529e-15
165.0	3.819613e-15
166.0	3.811728e-15
167.0	3.803876e-15
168.0	3.796055e-15
169.0	3.788266e-15
170.0	3.780509e-15
171.0	3.772784e-15
172.0	3.765091e-15
173.0	3.757430e-15
174.0	3.749801e-15
175.0	3.742203e-15
176.0	3.734638e-15
177.0	3.727104e-15
178.0	3.719602e-15
179.0	3.712131e-15
180.0	3.704693e-15
181.0	3.697286e-15
182.0	3.689910e-15
183.0	3.682566e-15
184.0	3.675253e-15
185.0	3.667972e-15
186.0	3.660721e-15
187.0	3.653502e-15
188.0	3.646314e-15
189.0	3.639157e-15
190.0	3.632030e-15
191.0	3.624935e-15
192.0	3.617870e-15
193.0	3.610836e-15
194.0	3.603832e-15
195.0	3.596858e-15
196.0	3.589915e-15
197.0	3.583001e-15
198.0	3.576118e-15
199.0	3.569265e-15
200.0	3.562441e-15
201.0	3.555647e-15
202.0	3.548882e-15
203.0	3.542147e-15
204.0	3.535441e-15
205.0	3.528765e-15
206.0	3.522117e-15
207.0	3.515498e-15
208.0	3.508908e-15
209.0	3.502347e-15
210.0	3.495814e-15
211.0	3.489309e-15
212.0	3.482833e-15
213.0	3.476384e-15
214.0	3.469964e-15
215.0	3.463572e-15
216.0	3.457207e-15
217.0	3.450870e-15
218.0	3.444560e-15
219.0	3.438277e-15
220.0	3.432022e-15
221.0	3.425794e-15
222.0	3.419592e-15
223.0	3.413418e-15
224.0	3.407269e-15
225.0	3.401148e-15
226.0	3.395052e-15
227.0	3.388983e-15
228.0	3.382940e-15
229.0	3.376923e-15
230.0	3.370932e-15
231.0	3.364966e-15
232.0	3.359026e-15
233.0	3.353111e-15
234.0	3.347221e-15
235.0	3.341357e-15
236.0	3.335517e-15
237.0	3.329702e-15
238.0	3.323912e-15
239.0	3.318147e-15
240.0	3.312406e-15
241.0	3.306689e-15
242.0	3.300996e-15
243.0	3.295328e-15
244.0	3.289683e-15
245.0	3.284062e-15
246.0	3.278464e-15
247.0	3.272891e-15
248.0	3.267340e-15
249.0	3.261813e-15
250.0	3.256309e-15
251.0	3.250827e-15
252.0	3.245367e-15
253.0	3.239931e-15
254.0	3.234518e-15
255.0	3.229128e-15
256.0	3.223760e-15
257.0	3.218415e-15
258.0	3.213091e-15
259.0	3.207789e-15
260.0	3.202509e-15
261.0	3.197250e-15
262.0	3.192013e-15
263.0	3.186797e-15
264.0	3.181603e-15
265.0	3.176430e-15
266.0	3.171278e-15
267.0	3.166148e-15
268.0	3.161038e-15
269.0	3.155949e-15
270.0	3.150880e-15
271.0	3.145832e-15
272.0	3.140805e-15
273.0	3.135797e-15
274.0	3.130810e-15
275.0	3.125843e-15
276.0	3.120895e-15
277.0	3.115968e-15
278.0	3.111060e-15
279.0	3.106171e-15
280.0	3.101302e-15
281.0	3.096453e-15
282.0	3.091623e-15
283.0	3.086812e-15
284.0	3.082021e-15
285.0	3.077248e-15
286.0	3.072493e-15
287.0	3.067758e-15
288.0	3.063041e-15
289.0	3.058342e-15
290.0	3.053662e-15
291.0	3.049000e-15
292.0	3.044357e-15
293.0	3.039731e-15
294.0	3.035123e-15
295.0	3.030534e-15
296.0	3.025962e-15
297.0	3.021408e-15
298.0	3.016872e-15
299.0	3.012353e-15
300.0	3.007851e-15
