Excitation energy (eV): 9.92
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	8.670736e-23
2.0	3.245296e-19
3.0	5.116622e-18
4.0	2.019728e-17
5.0	4.554893e-17
6.0	7.754911e-17
7.0	1.124524e-16
8.0	1.475550e-16
9.0	1.811958e-16
10.0	2.124732e-16
11.0	2.409782e-16
12.0	2.666012e-16
13.0	2.894060e-16
14.0	3.095499e-16
15.0	3.272353e-16
16.0	3.426808e-16
17.0	3.561044e-16
18.0	3.677139e-16
19.0	3.777025e-16
20.0	3.862467e-16
21.0	3.935060e-16
22.0	3.996234e-16
23.0	4.047266e-16
24.0	4.089295e-16
25.0	4.123329e-16
26.0	4.150266e-16
27.0	4.170899e-16
28.0	4.185934e-16
29.0	4.195997e-16
30.0	4.201644e-16
31.0	4.203368e-16
32.0	4.201607e-16
33.0	4.196753e-16
34.0	4.189154e-16
35.0	4.179120e-16
36.0	4.166928e-16
37.0	4.152826e-16
38.0	4.137035e-16
39.0	4.119753e-16
40.0	4.101159e-16
41.0	4.081410e-16
42.0	4.060650e-16
43.0	4.039007e-16
44.0	4.016597e-16
45.0	3.993522e-16
46.0	3.969876e-16
47.0	3.945743e-16
48.0	3.921198e-16
49.0	3.896310e-16
50.0	3.871138e-16
51.0	3.845739e-16
52.0	3.820162e-16
53.0	3.794451e-16
54.0	3.768647e-16
55.0	3.742785e-16
56.0	3.716899e-16
57.0	3.691018e-16
58.0	3.665167e-16
59.0	3.639372e-16
60.0	3.613651e-16
61.0	3.588026e-16
62.0	3.562512e-16
63.0	3.537125e-16
64.0	3.511878e-16
65.0	3.486784e-16
66.0	3.461852e-16
67.0	3.437093e-16
68.0	3.412514e-16
69.0	3.388123e-16
70.0	3.363926e-16
71.0	3.339929e-16
72.0	3.316136e-16
73.0	3.292552e-16
74.0	3.269179e-16
75.0	3.246022e-16
76.0	3.223081e-16
77.0	3.200359e-16
78.0	3.177857e-16
79.0	3.155577e-16
80.0	3.133518e-16
81.0	3.111682e-16
82.0	3.090067e-16
83.0	3.068675e-16
84.0	3.047505e-16
85.0	3.026555e-16
86.0	3.005826e-16
87.0	2.985315e-16
88.0	2.965023e-16
89.0	2.944947e-16
90.0	2.925085e-16
91.0	2.905438e-16
92.0	2.886002e-16
93.0	2.866776e-16
94.0	2.847759e-16
95.0	2.828948e-16
96.0	2.810341e-16
97.0	2.791936e-16
98.0	2.773732e-16
99.0	2.755726e-16
100.0	2.737916e-16
101.0	2.720300e-16
102.0	2.702876e-16
103.0	2.685641e-16
104.0	2.668594e-16
105.0	2.651732e-16
106.0	2.635052e-16
107.0	2.618554e-16
108.0	2.602234e-16
109.0	2.586090e-16
110.0	2.570121e-16
111.0	2.554323e-16
112.0	2.538695e-16
113.0	2.523235e-16
114.0	2.507940e-16
115.0	2.492808e-16
116.0	2.477837e-16
117.0	2.463026e-16
118.0	2.448371e-16
119.0	2.433872e-16
120.0	2.419525e-16
121.0	2.405329e-16
122.0	2.391281e-16
123.0	2.377381e-16
124.0	2.363625e-16
125.0	2.350013e-16
126.0	2.336541e-16
127.0	2.323208e-16
128.0	2.310013e-16
129.0	2.296953e-16
130.0	2.284026e-16
131.0	2.271232e-16
132.0	2.258567e-16
133.0	2.246031e-16
134.0	2.233621e-16
135.0	2.221336e-16
136.0	2.209174e-16
137.0	2.197133e-16
138.0	2.185212e-16
139.0	2.173410e-16
140.0	2.161724e-16
141.0	2.150154e-16
142.0	2.138697e-16
143.0	2.127352e-16
144.0	2.116117e-16
145.0	2.104992e-16
146.0	2.093974e-16
147.0	2.083063e-16
148.0	2.072256e-16
149.0	2.061553e-16
150.0	2.050952e-16
151.0	2.040452e-16
152.0	2.030051e-16
153.0	2.019748e-16
154.0	2.009542e-16
155.0	1.999431e-16
156.0	1.989415e-16
157.0	1.979492e-16
158.0	1.969660e-16
159.0	1.959920e-16
160.0	1.950269e-16
161.0	1.940706e-16
162.0	1.931231e-16
163.0	1.921841e-16
164.0	1.912537e-16
165.0	1.903317e-16
166.0	1.894179e-16
167.0	1.885123e-16
168.0	1.876149e-16
169.0	1.867254e-16
170.0	1.858437e-16
171.0	1.849699e-16
172.0	1.841037e-16
173.0	1.832451e-16
174.0	1.823941e-16
175.0	1.815504e-16
176.0	1.807140e-16
177.0	1.798849e-16
178.0	1.790628e-16
179.0	1.782478e-16
180.0	1.774398e-16
181.0	1.766387e-16
182.0	1.758443e-16
183.0	1.750567e-16
184.0	1.742756e-16
185.0	1.735012e-16
186.0	1.727331e-16
187.0	1.719715e-16
188.0	1.712162e-16
189.0	1.704672e-16
190.0	1.697243e-16
191.0	1.689875e-16
192.0	1.682567e-16
193.0	1.675319e-16
194.0	1.668129e-16
195.0	1.660998e-16
196.0	1.653924e-16
197.0	1.646907e-16
198.0	1.639946e-16
199.0	1.633041e-16
200.0	1.626190e-16
201.0	1.619394e-16
202.0	1.612651e-16
203.0	1.605962e-16
204.0	1.599324e-16
205.0	1.592739e-16
206.0	1.586205e-16
207.0	1.579721e-16
208.0	1.573288e-16
209.0	1.566904e-16
210.0	1.560569e-16
211.0	1.554282e-16
212.0	1.548044e-16
213.0	1.541852e-16
214.0	1.535708e-16
215.0	1.529610e-16
216.0	1.523558e-16
217.0	1.517551e-16
218.0	1.511589e-16
219.0	1.505671e-16
220.0	1.499797e-16
221.0	1.493967e-16
222.0	1.488180e-16
223.0	1.482435e-16
224.0	1.476732e-16
225.0	1.471071e-16
226.0	1.465450e-16
227.0	1.459871e-16
228.0	1.454332e-16
229.0	1.448832e-16
230.0	1.443373e-16
231.0	1.437952e-16
232.0	1.432570e-16
233.0	1.427226e-16
234.0	1.421919e-16
235.0	1.416651e-16
236.0	1.411419e-16
237.0	1.406224e-16
238.0	1.401066e-16
239.0	1.395943e-16
240.0	1.390856e-16
241.0	1.385804e-16
242.0	1.380787e-16
243.0	1.375804e-16
244.0	1.370856e-16
245.0	1.365941e-16
246.0	1.361060e-16
247.0	1.356212e-16
248.0	1.351397e-16
249.0	1.346615e-16
250.0	1.341864e-16
251.0	1.337146e-16
252.0	1.332459e-16
253.0	1.327803e-16
254.0	1.323178e-16
255.0	1.318583e-16
256.0	1.314019e-16
257.0	1.309485e-16
258.0	1.304981e-16
259.0	1.300506e-16
260.0	1.296061e-16
261.0	1.291645e-16
262.0	1.287257e-16
263.0	1.282897e-16
264.0	1.278565e-16
265.0	1.274262e-16
266.0	1.269986e-16
267.0	1.265737e-16
268.0	1.261515e-16
269.0	1.257320e-16
270.0	1.253152e-16
271.0	1.249010e-16
272.0	1.244894e-16
273.0	1.240804e-16
274.0	1.236740e-16
275.0	1.232700e-16
276.0	1.228686e-16
277.0	1.224697e-16
278.0	1.220733e-16
279.0	1.216793e-16
280.0	1.212877e-16
281.0	1.208985e-16
282.0	1.205117e-16
283.0	1.201273e-16
284.0	1.197452e-16
285.0	1.193654e-16
286.0	1.189879e-16
287.0	1.186127e-16
288.0	1.182397e-16
289.0	1.178690e-16
290.0	1.175005e-16
291.0	1.171342e-16
292.0	1.167701e-16
293.0	1.164081e-16
294.0	1.160482e-16
295.0	1.156905e-16
296.0	1.153349e-16
297.0	1.149814e-16
298.0	1.146299e-16
299.0	1.142805e-16
300.0	1.139331e-16
