Excitation energy (eV): 9.92
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	1.194946e-22
2.0	3.312406e-19
3.0	5.009921e-18
4.0	1.950206e-17
5.0	4.365967e-17
6.0	7.403031e-17
7.0	1.071292e-16
8.0	1.404623e-16
9.0	1.724948e-16
10.0	2.023840e-16
11.0	2.297356e-16
12.0	2.544302e-16
13.0	2.765097e-16
14.0	2.961056e-16
15.0	3.133940e-16
16.0	3.285692e-16
17.0	3.418275e-16
18.0	3.533578e-16
19.0	3.633375e-16
20.0	3.719295e-16
21.0	3.792824e-16
22.0	3.855297e-16
23.0	3.907916e-16
24.0	3.951754e-16
25.0	3.987770e-16
26.0	4.016816e-16
27.0	4.039653e-16
28.0	4.056956e-16
29.0	4.069329e-16
30.0	4.077307e-16
31.0	4.081370e-16
32.0	4.081942e-16
33.0	4.079406e-16
34.0	4.074100e-16
35.0	4.066329e-16
36.0	4.056364e-16
37.0	4.044451e-16
38.0	4.030806e-16
39.0	4.015627e-16
40.0	3.999089e-16
41.0	3.981350e-16
42.0	3.962553e-16
43.0	3.942825e-16
44.0	3.922283e-16
45.0	3.901029e-16
46.0	3.879158e-16
47.0	3.856754e-16
48.0	3.833893e-16
49.0	3.810644e-16
50.0	3.787070e-16
51.0	3.763225e-16
52.0	3.739161e-16
53.0	3.714923e-16
54.0	3.690553e-16
55.0	3.666088e-16
56.0	3.641562e-16
57.0	3.617004e-16
58.0	3.592443e-16
59.0	3.567902e-16
60.0	3.543404e-16
61.0	3.518970e-16
62.0	3.494616e-16
63.0	3.470359e-16
64.0	3.446214e-16
65.0	3.422193e-16
66.0	3.398307e-16
67.0	3.374568e-16
68.0	3.350984e-16
69.0	3.327563e-16
70.0	3.304313e-16
71.0	3.281239e-16
72.0	3.258347e-16
73.0	3.235641e-16
74.0	3.213127e-16
75.0	3.190807e-16
76.0	3.168684e-16
77.0	3.146761e-16
78.0	3.125039e-16
79.0	3.103521e-16
80.0	3.082207e-16
81.0	3.061098e-16
82.0	3.040195e-16
83.0	3.019498e-16
84.0	2.999008e-16
85.0	2.978723e-16
86.0	2.958644e-16
87.0	2.938769e-16
88.0	2.919099e-16
89.0	2.899632e-16
90.0	2.880367e-16
91.0	2.861303e-16
92.0	2.842438e-16
93.0	2.823771e-16
94.0	2.805302e-16
95.0	2.787027e-16
96.0	2.768945e-16
97.0	2.751056e-16
98.0	2.733356e-16
99.0	2.715845e-16
100.0	2.698519e-16
101.0	2.681378e-16
102.0	2.664420e-16
103.0	2.647642e-16
104.0	2.631043e-16
105.0	2.614620e-16
106.0	2.598372e-16
107.0	2.582296e-16
108.0	2.566391e-16
109.0	2.550655e-16
110.0	2.535085e-16
111.0	2.519680e-16
112.0	2.504437e-16
113.0	2.489355e-16
114.0	2.474432e-16
115.0	2.459665e-16
116.0	2.445053e-16
117.0	2.430593e-16
118.0	2.416285e-16
119.0	2.402125e-16
120.0	2.388112e-16
121.0	2.374244e-16
122.0	2.360520e-16
123.0	2.346936e-16
124.0	2.333493e-16
125.0	2.320187e-16
126.0	2.307016e-16
127.0	2.293980e-16
128.0	2.281077e-16
129.0	2.268303e-16
130.0	2.255659e-16
131.0	2.243142e-16
132.0	2.230751e-16
133.0	2.218483e-16
134.0	2.206338e-16
135.0	2.194313e-16
136.0	2.182408e-16
137.0	2.170620e-16
138.0	2.158948e-16
139.0	2.147390e-16
140.0	2.135945e-16
141.0	2.124612e-16
142.0	2.113388e-16
143.0	2.102274e-16
144.0	2.091266e-16
145.0	2.080364e-16
146.0	2.069567e-16
147.0	2.058872e-16
148.0	2.048279e-16
149.0	2.037786e-16
150.0	2.027393e-16
151.0	2.017097e-16
152.0	2.006898e-16
153.0	1.996793e-16
154.0	1.986783e-16
155.0	1.976866e-16
156.0	1.967040e-16
157.0	1.957305e-16
158.0	1.947659e-16
159.0	1.938101e-16
160.0	1.928630e-16
