Excitation energy (eV): 0.0049335
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	6.466733e-15
2.0	1.978853e-14
3.0	2.449042e-14
4.0	2.555310e-14
5.0	2.549030e-14
6.0	2.514802e-14
7.0	2.480340e-14
8.0	2.454058e-14
9.0	2.437667e-14
10.0	2.430590e-14
11.0	2.431584e-14
12.0	2.439328e-14
13.0	2.452624e-14
14.0	2.470448e-14
15.0	2.491951e-14
16.0	2.516438e-14
17.0	2.543341e-14
18.0	2.572195e-14
19.0	2.602622e-14
20.0	2.634318e-14
21.0	2.667026e-14
22.0	2.700534e-14
23.0	2.734681e-14
24.0	2.769307e-14
25.0	2.804316e-14
26.0	2.839592e-14
27.0	2.875060e-14
28.0	2.910658e-14
29.0	2.946310e-14
30.0	2.981988e-14
31.0	3.017635e-14
32.0	3.053230e-14
33.0	3.088738e-14
34.0	3.124141e-14
35.0	3.159417e-14
36.0	3.194542e-14
37.0	3.229509e-14
38.0	3.264306e-14
39.0	3.298927e-14
40.0	3.333362e-14
41.0	3.367605e-14
42.0	3.401649e-14
43.0	3.435482e-14
44.0	3.469121e-14
45.0	3.502571e-14
46.0	3.535775e-14
47.0	3.568797e-14
48.0	3.601624e-14
49.0	3.634189e-14
50.0	3.666627e-14
51.0	3.698786e-14
52.0	3.730774e-14
53.0	3.762569e-14
54.0	3.794111e-14
55.0	3.825540e-14
56.0	3.856668e-14
57.0	3.887691e-14
58.0	3.918457e-14
59.0	3.949043e-14
60.0	3.979479e-14
61.0	4.009664e-14
62.0	4.039708e-14
63.0	4.069566e-14
64.0	4.099215e-14
65.0	4.128711e-14
66.0	4.158028e-14
67.0	4.187160e-14
68.0	4.216123e-14
69.0	4.244927e-14
70.0	4.273559e-14
71.0	4.302015e-14
72.0	4.330316e-14
73.0	4.358462e-14
74.0	4.386447e-14
75.0	4.414270e-14
76.0	4.441942e-14
77.0	4.469468e-14
78.0	4.496837e-14
79.0	4.524062e-14
80.0	4.551140e-14
81.0	4.578074e-14
82.0	4.604870e-14
83.0	4.631517e-14
84.0	4.658037e-14
85.0	4.684415e-14
86.0	4.710660e-14
87.0	4.736772e-14
88.0	4.762751e-14
89.0	4.788604e-14
90.0	4.814335e-14
91.0	4.839931e-14
92.0	4.865405e-14
93.0	4.890761e-14
94.0	4.915989e-14
95.0	4.941100e-14
96.0	4.966102e-14
97.0	4.990985e-14
98.0	5.015742e-14
99.0	5.040397e-14
100.0	5.064940e-14
101.0	5.089362e-14
102.0	5.113680e-14
103.0	5.137893e-14
104.0	5.161998e-14
105.0	5.186004e-14
106.0	5.209898e-14
107.0	5.233688e-14
108.0	5.257378e-14
109.0	5.280977e-14
110.0	5.304473e-14
111.0	5.327864e-14
112.0	5.351157e-14
113.0	5.374360e-14
114.0	5.397473e-14
115.0	5.420488e-14
116.0	5.443405e-14
117.0	5.466233e-14
118.0	5.488973e-14
119.0	5.511629e-14
120.0	5.534191e-14
121.0	5.556664e-14
122.0	5.579049e-14
123.0	5.601355e-14
124.0	5.623576e-14
125.0	5.645713e-14
126.0	5.667767e-14
127.0	5.689735e-14
128.0	5.711622e-14
129.0	5.733431e-14
130.0	5.755162e-14
131.0	5.776814e-14
132.0	5.798386e-14
133.0	5.819880e-14
134.0	5.841302e-14
135.0	5.862646e-14
136.0	5.883917e-14
137.0	5.905114e-14
138.0	5.926237e-14
139.0	5.947289e-14
140.0	5.968272e-14
141.0	5.989178e-14
142.0	6.010015e-14
143.0	6.030784e-14
144.0	6.051485e-14
145.0	6.072118e-14
146.0	6.092680e-14
147.0	6.113175e-14
148.0	6.133606e-14
149.0	6.153972e-14
150.0	6.174273e-14
151.0	6.194507e-14
152.0	6.214676e-14
153.0	6.234784e-14
154.0	6.254829e-14
155.0	6.274812e-14
156.0	6.294732e-14
157.0	6.314591e-14
158.0	6.334393e-14
159.0	6.354131e-14
160.0	6.373810e-14
161.0	6.393430e-14
162.0	6.412992e-14
163.0	6.432497e-14
164.0	6.451947e-14
165.0	6.471337e-14
166.0	6.490669e-14
167.0	6.509946e-14
168.0	6.529167e-14
169.0	6.548334e-14
170.0	6.567448e-14
171.0	6.586507e-14
172.0	6.605513e-14
173.0	6.624463e-14
174.0	6.643359e-14
175.0	6.662204e-14
176.0	6.680998e-14
177.0	6.699740e-14
178.0	6.718432e-14
179.0	6.737073e-14
180.0	6.755664e-14
181.0	6.774203e-14
182.0	6.792692e-14
183.0	6.811132e-14
184.0	6.829525e-14
185.0	6.847869e-14
186.0	6.866166e-14
187.0	6.884416e-14
188.0	6.902616e-14
189.0	6.920769e-14
190.0	6.938877e-14
191.0	6.956938e-14
192.0	6.974955e-14
193.0	6.992925e-14
194.0	7.010850e-14
195.0	7.028729e-14
196.0	7.046564e-14
197.0	7.064356e-14
198.0	7.082103e-14
199.0	7.099807e-14
200.0	7.117468e-14
201.0	7.135085e-14
202.0	7.152658e-14
203.0	7.170190e-14
204.0	7.187680e-14
205.0	7.205129e-14
206.0	7.222536e-14
207.0	7.239901e-14
208.0	7.257226e-14
209.0	7.274510e-14
210.0	7.291755e-14
