Excitation energy (eV): 0.288
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	3.722030e-15
2.0	7.826857e-15
3.0	7.719124e-15
4.0	6.748677e-15
5.0	5.771502e-15
6.0	4.944706e-15
7.0	4.271636e-15
8.0	3.726162e-15
9.0	3.281276e-15
10.0	2.914838e-15
11.0	2.609783e-15
12.0	2.353175e-15
13.0	2.135201e-15
14.0	1.948368e-15
15.0	1.786903e-15
16.0	1.646307e-15
17.0	1.523040e-15
18.0	1.414285e-15
19.0	1.317782e-15
20.0	1.231699e-15
21.0	1.154538e-15
22.0	1.085064e-15
23.0	1.022252e-15
24.0	9.652474e-16
25.0	9.133278e-16
26.0	8.658831e-16
27.0	8.223937e-16
28.0	7.824146e-16
29.0	7.455628e-16
30.0	7.115075e-16
31.0	6.799612e-16
32.0	6.506731e-16
33.0	6.234240e-16
34.0	5.980209e-16
35.0	5.742937e-16
36.0	5.520921e-16
37.0	5.312824e-16
38.0	5.117456e-16
39.0	4.933755e-16
40.0	4.760771e-16
41.0	4.597649e-16
42.0	4.443621e-16
43.0	4.297994e-16
44.0	4.160141e-16
45.0	4.029493e-16
46.0	3.905536e-16
47.0	3.787799e-16
48.0	3.675855e-16
49.0	3.569312e-16
50.0	3.467814e-16
51.0	3.371032e-16
52.0	3.278665e-16
53.0	3.190437e-16
54.0	3.106093e-16
55.0	3.025398e-16
56.0	2.948135e-16
57.0	2.874103e-16
58.0	2.803116e-16
59.0	2.735002e-16
60.0	2.669600e-16
61.0	2.606763e-16
62.0	2.546351e-16
63.0	2.488235e-16
64.0	2.432296e-16
65.0	2.378420e-16
66.0	2.326504e-16
67.0	2.276448e-16
68.0	2.228160e-16
69.0	2.181555e-16
70.0	2.136552e-16
71.0	2.093074e-16
72.0	2.051050e-16
73.0	2.010414e-16
74.0	1.971101e-16
75.0	1.933052e-16
76.0	1.896212e-16
77.0	1.860526e-16
78.0	1.825945e-16
79.0	1.792422e-16
80.0	1.759912e-16
81.0	1.728373e-16
82.0	1.697764e-16
83.0	1.668048e-16
84.0	1.639189e-16
85.0	1.611152e-16
86.0	1.583904e-16
87.0	1.557417e-16
88.0	1.531658e-16
89.0	1.506602e-16
90.0	1.482222e-16
91.0	1.458492e-16
92.0	1.435388e-16
93.0	1.412888e-16
94.0	1.390969e-16
95.0	1.369611e-16
96.0	1.348794e-16
97.0	1.328499e-16
98.0	1.308708e-16
99.0	1.289403e-16
100.0	1.270568e-16
101.0	1.252187e-16
102.0	1.234245e-16
103.0	1.216727e-16
104.0	1.199619e-16
105.0	1.182909e-16
106.0	1.166583e-16
107.0	1.150629e-16
108.0	1.135035e-16
109.0	1.119791e-16
110.0	1.104884e-16
111.0	1.090305e-16
112.0	1.076044e-16
113.0	1.062091e-16
114.0	1.048437e-16
115.0	1.035073e-16
116.0	1.021991e-16
117.0	1.009181e-16
118.0	9.966375e-17
119.0	9.843513e-17
120.0	9.723153e-17
121.0	9.605226e-17
122.0	9.489664e-17
123.0	9.376399e-17
124.0	9.265370e-17
125.0	9.156515e-17
126.0	9.049774e-17
127.0	8.945091e-17
128.0	8.842410e-17
129.0	8.741679e-17
130.0	8.642845e-17
131.0	8.545859e-17
132.0	8.450674e-17
133.0	8.357243e-17
134.0	8.265520e-17
135.0	8.175462e-17
136.0	8.087028e-17
137.0	8.000177e-17
138.0	7.914869e-17
139.0	7.831066e-17
140.0	7.748732e-17
141.0	7.667830e-17
142.0	7.588326e-17
143.0	7.510186e-17
144.0	7.433378e-17
145.0	7.357870e-17
146.0	7.283632e-17
147.0	7.210634e-17
148.0	7.138847e-17
149.0	7.068243e-17
150.0	6.998795e-17
151.0	6.930477e-17
152.0	6.863263e-17
153.0	6.797128e-17
154.0	6.732049e-17
155.0	6.668001e-17
156.0	6.604963e-17
157.0	6.542911e-17
158.0	6.481825e-17
159.0	6.421684e-17
160.0	6.362466e-17
161.0	6.304153e-17
162.0	6.246726e-17
163.0	6.190165e-17
164.0	6.134452e-17
165.0	6.079570e-17
166.0	6.025501e-17
167.0	5.972229e-17
168.0	5.919738e-17
169.0	5.868010e-17
170.0	5.817032e-17
171.0	5.766787e-17
172.0	5.717262e-17
173.0	5.668441e-17
174.0	5.620312e-17
175.0	5.572859e-17
176.0	5.526070e-17
177.0	5.479933e-17
178.0	5.434433e-17
179.0	5.389560e-17
180.0	5.345301e-17
181.0	5.301645e-17
182.0	5.258579e-17
183.0	5.216093e-17
184.0	5.174177e-17
185.0	5.132818e-17
186.0	5.092008e-17
187.0	5.051736e-17
188.0	5.011991e-17
189.0	4.972765e-17
190.0	4.934048e-17
191.0	4.895831e-17
192.0	4.858104e-17
193.0	4.820860e-17
194.0	4.784089e-17
195.0	4.747783e-17
196.0	4.711934e-17
197.0	4.676534e-17
198.0	4.641575e-17
199.0	4.607049e-17
200.0	4.572949e-17
201.0	4.539268e-17
202.0	4.505998e-17
203.0	4.473132e-17
204.0	4.440664e-17
205.0	4.408587e-17
206.0	4.376894e-17
207.0	4.345579e-17
208.0	4.314636e-17
209.0	4.284058e-17
210.0	4.253840e-17
211.0	4.223975e-17
212.0	4.194458e-17
213.0	4.165283e-17
214.0	4.136445e-17
215.0	4.107938e-17
216.0	4.079757e-17
217.0	4.051897e-17
218.0	4.024352e-17
219.0	3.997118e-17
