Excitation energy (eV): 10.27
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	9.726078e-23
2.0	4.095484e-19
3.0	6.865822e-18
4.0	2.793149e-17
5.0	6.383140e-17
6.0	1.090871e-16
7.0	1.579203e-16
8.0	2.062298e-16
9.0	2.516261e-16
10.0	2.929520e-16
11.0	3.298194e-16
12.0	3.622781e-16
13.0	3.906053e-16
14.0	4.151796e-16
15.0	4.364098e-16
16.0	4.546955e-16
17.0	4.704083e-16
18.0	4.838837e-16
19.0	4.954187e-16
20.0	5.052737e-16
21.0	5.136750e-16
22.0	5.208187e-16
23.0	5.268738e-16
24.0	5.319862e-16
25.0	5.362815e-16
26.0	5.398682e-16
27.0	5.428396e-16
28.0	5.452763e-16
29.0	5.472481e-16
30.0	5.488152e-16
31.0	5.500300e-16
32.0	5.509378e-16
33.0	5.515780e-16
34.0	5.519850e-16
35.0	5.521886e-16
36.0	5.522151e-16
37.0	5.520873e-16
38.0	5.518251e-16
39.0	5.514460e-16
40.0	5.509655e-16
41.0	5.503971e-16
42.0	5.497527e-16
43.0	5.490427e-16
44.0	5.482763e-16
45.0	5.474616e-16
46.0	5.466060e-16
47.0	5.457156e-16
48.0	5.447960e-16
49.0	5.438523e-16
50.0	5.428888e-16
51.0	5.419094e-16
52.0	5.409174e-16
53.0	5.399159e-16
54.0	5.389075e-16
55.0	5.378947e-16
56.0	5.368795e-16
57.0	5.358637e-16
58.0	5.348490e-16
59.0	5.338368e-16
60.0	5.328283e-16
61.0	5.318246e-16
62.0	5.308267e-16
63.0	5.298354e-16
64.0	5.288514e-16
65.0	5.278755e-16
66.0	5.269080e-16
67.0	5.259496e-16
68.0	5.250005e-16
69.0	5.240612e-16
70.0	5.231318e-16
71.0	5.222127e-16
72.0	5.213040e-16
73.0	5.204058e-16
74.0	5.195184e-16
75.0	5.186416e-16
76.0	5.177757e-16
77.0	5.169206e-16
78.0	5.160764e-16
79.0	5.152429e-16
80.0	5.144203e-16
81.0	5.136084e-16
82.0	5.128072e-16
83.0	5.120167e-16
84.0	5.112366e-16
85.0	5.104670e-16
86.0	5.097078e-16
87.0	5.089588e-16
88.0	5.082199e-16
89.0	5.074911e-16
90.0	5.067721e-16
91.0	5.060630e-16
92.0	5.053634e-16
93.0	5.046734e-16
94.0	5.039928e-16
95.0	5.033215e-16
96.0	5.026592e-16
97.0	5.020060e-16
98.0	5.013616e-16
99.0	5.007259e-16
100.0	5.000988e-16
101.0	4.994802e-16
102.0	4.988699e-16
103.0	4.982678e-16
104.0	4.976737e-16
105.0	4.970876e-16
106.0	4.965093e-16
107.0	4.959386e-16
108.0	4.953755e-16
109.0	4.948198e-16
110.0	4.942714e-16
111.0	4.937301e-16
112.0	4.931960e-16
113.0	4.926687e-16
114.0	4.921483e-16
115.0	4.916346e-16
116.0	4.911275e-16
117.0	4.906268e-16
118.0	4.901326e-16
119.0	4.896446e-16
120.0	4.891627e-16
121.0	4.886869e-16
122.0	4.882171e-16
123.0	4.877531e-16
124.0	4.872949e-16
125.0	4.868423e-16
126.0	4.863953e-16
127.0	4.859538e-16
128.0	4.855176e-16
129.0	4.850867e-16
130.0	4.846610e-16
131.0	4.842405e-16
132.0	4.838249e-16
133.0	4.834143e-16
134.0	4.830085e-16
135.0	4.826076e-16
136.0	4.822113e-16
137.0	4.818197e-16
138.0	4.814326e-16
139.0	4.810500e-16
140.0	4.806717e-16
141.0	4.802978e-16
142.0	4.799282e-16
143.0	4.795627e-16
144.0	4.792014e-16
145.0	4.788441e-16
146.0	4.784909e-16
147.0	4.781415e-16
148.0	4.777960e-16
149.0	4.774543e-16
150.0	4.771164e-16
151.0	4.767821e-16
152.0	4.764515e-16
153.0	4.761244e-16
154.0	4.758008e-16
155.0	4.754807e-16
156.0	4.751640e-16
157.0	4.748506e-16
158.0	4.745406e-16
159.0	4.742338e-16
160.0	4.739302e-16
161.0	4.736297e-16
162.0	4.733324e-16
163.0	4.730380e-16
164.0	4.727468e-16
165.0	4.724584e-16
166.0	4.721730e-16
167.0	4.718905e-16
168.0	4.716108e-16
169.0	4.713339e-16
170.0	4.710597e-16
171.0	4.707883e-16
172.0	4.705195e-16
173.0	4.702533e-16
174.0	4.699898e-16
175.0	4.697288e-16
176.0	4.694703e-16
177.0	4.692143e-16
178.0	4.689607e-16
179.0	4.687096e-16
180.0	4.684608e-16
181.0	4.682144e-16
182.0	4.679703e-16
183.0	4.677284e-16
184.0	4.674888e-16
185.0	4.672515e-16
186.0	4.670163e-16
187.0	4.667832e-16
188.0	4.665523e-16
189.0	4.663235e-16
190.0	4.660968e-16
191.0	4.658721e-16
192.0	4.656494e-16
193.0	4.654286e-16
194.0	4.652099e-16
195.0	4.649930e-16
196.0	4.647781e-16
197.0	4.645651e-16
198.0	4.643539e-16
199.0	4.641445e-16
200.0	4.639369e-16
201.0	4.637312e-16
202.0	4.635272e-16
203.0	4.633249e-16
204.0	4.631243e-16
205.0	4.629254e-16
206.0	4.627282e-16
207.0	4.625327e-16
208.0	4.623387e-16
209.0	4.621464e-16
210.0	4.619556e-16
211.0	4.617665e-16
212.0	4.615788e-16
213.0	4.613927e-16
214.0	4.612081e-16
215.0	4.610250e-16
216.0	4.608434e-16
217.0	4.606632e-16
218.0	4.604845e-16
219.0	4.603071e-16
220.0	4.601312e-16
221.0	4.599566e-16
222.0	4.597834e-16
223.0	4.596116e-16
224.0	4.594411e-16
225.0	4.592719e-16
226.0	4.591040e-16
227.0	4.589374e-16
228.0	4.587721e-16
229.0	4.586080e-16
230.0	4.584452e-16
231.0	4.582836e-16
232.0	4.581232e-16
233.0	4.579640e-16
234.0	4.578059e-16
235.0	4.576491e-16
236.0	4.574934e-16
237.0	4.573389e-16
238.0	4.571854e-16
239.0	4.570331e-16
240.0	4.568819e-16
241.0	4.567318e-16
242.0	4.565828e-16
243.0	4.564348e-16
244.0	4.562879e-16
245.0	4.561421e-16
246.0	4.559972e-16
247.0	4.558534e-16
248.0	4.557106e-16
249.0	4.555688e-16
250.0	4.554280e-16
251.0	4.552882e-16
252.0	4.551493e-16
253.0	4.550114e-16
254.0	4.548743e-16
255.0	4.547383e-16
256.0	4.546031e-16
257.0	4.544689e-16
258.0	4.543356e-16
259.0	4.542032e-16
260.0	4.540717e-16
261.0	4.539410e-16
262.0	4.538112e-16
263.0	4.536822e-16
264.0	4.535541e-16
265.0	4.534269e-16
266.0	4.533005e-16
267.0	4.531749e-16
268.0	4.530501e-16
269.0	4.529261e-16
270.0	4.528030e-16
271.0	4.526806e-16
272.0	4.525589e-16
273.0	4.524381e-16
274.0	4.523181e-16
275.0	4.521988e-16
276.0	4.520802e-16
277.0	4.519624e-16
278.0	4.518452e-16
279.0	4.517289e-16
280.0	4.516133e-16
281.0	4.514984e-16
282.0	4.513842e-16
283.0	4.512706e-16
284.0	4.511578e-16
285.0	4.510457e-16
286.0	4.509342e-16
287.0	4.508235e-16
288.0	4.507133e-16
289.0	4.506039e-16
290.0	4.504951e-16
291.0	4.503870e-16
292.0	4.502794e-16
293.0	4.501725e-16
294.0	4.500662e-16
295.0	4.499606e-16
296.0	4.498557e-16
297.0	4.497513e-16
298.0	4.496475e-16
299.0	4.495443e-16
300.0	4.494416e-16
