Excitation energy (eV): 10.27
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	4.465472e-23
2.0	2.219156e-19
3.0	4.279149e-18
4.0	1.880031e-17
5.0	4.511276e-17
6.0	7.982928e-17
7.0	1.187018e-16
8.0	1.583985e-16
9.0	1.967737e-16
10.0	2.326288e-16
11.0	2.654069e-16
12.0	2.949484e-16
13.0	3.213241e-16
14.0	3.447271e-16
15.0	3.654074e-16
16.0	3.836330e-16
17.0	3.996677e-16
18.0	4.137599e-16
19.0	4.261370e-16
20.0	4.370033e-16
21.0	4.465408e-16
22.0	4.549101e-16
23.0	4.622525e-16
24.0	4.686916e-16
25.0	4.743357e-16
26.0	4.792795e-16
27.0	4.836057e-16
28.0	4.873867e-16
29.0	4.906858e-16
30.0	4.935585e-16
31.0	4.960534e-16
32.0	4.982133e-16
33.0	5.000758e-16
34.0	5.016739e-16
35.0	5.030368e-16
36.0	5.041903e-16
37.0	5.051572e-16
38.0	5.059577e-16
39.0	5.066098e-16
40.0	5.071292e-16
41.0	5.075302e-16
42.0	5.078254e-16
43.0	5.080259e-16
44.0	5.081420e-16
45.0	5.081824e-16
46.0	5.081553e-16
47.0	5.080679e-16
48.0	5.079265e-16
49.0	5.077370e-16
50.0	5.075046e-16
51.0	5.072339e-16
52.0	5.069293e-16
53.0	5.065943e-16
54.0	5.062326e-16
55.0	5.058471e-16
56.0	5.054407e-16
57.0	5.050159e-16
58.0	5.045749e-16
59.0	5.041197e-16
60.0	5.036523e-16
61.0	5.031743e-16
62.0	5.026873e-16
63.0	5.021926e-16
64.0	5.016914e-16
65.0	5.011849e-16
66.0	5.006741e-16
67.0	5.001599e-16
68.0	4.996432e-16
69.0	4.991247e-16
70.0	4.986050e-16
71.0	4.980849e-16
72.0	4.975648e-16
73.0	4.970453e-16
74.0	4.965268e-16
75.0	4.960097e-16
76.0	4.954944e-16
77.0	4.949813e-16
78.0	4.944705e-16
79.0	4.939624e-16
80.0	4.934572e-16
81.0	4.929552e-16
82.0	4.924564e-16
83.0	4.919612e-16
84.0	4.914695e-16
85.0	4.909816e-16
86.0	4.904976e-16
87.0	4.900175e-16
88.0	4.895414e-16
89.0	4.890695e-16
90.0	4.886017e-16
91.0	4.881382e-16
92.0	4.876789e-16
93.0	4.872239e-16
94.0	4.867732e-16
95.0	4.863269e-16
96.0	4.858849e-16
97.0	4.854472e-16
98.0	4.850139e-16
99.0	4.845850e-16
100.0	4.841603e-16
101.0	4.837400e-16
102.0	4.833240e-16
103.0	4.829122e-16
104.0	4.825047e-16
105.0	4.821015e-16
106.0	4.817024e-16
107.0	4.813075e-16
108.0	4.809167e-16
109.0	4.805301e-16
110.0	4.801475e-16
