Ionization energy (eV): 14.534
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	8.345159e-25
2.0	8.304163e-20
3.0	4.579432e-18
4.0	3.680979e-17
5.0	1.344780e-16
6.0	3.283975e-16
7.0	6.340024e-16
8.0	1.053609e-15
9.0	1.581189e-15
10.0	2.206325e-15
11.0	2.916843e-15
12.0	3.700352e-15
13.0	4.545085e-15
14.0	5.440297e-15
15.0	6.376411e-15
16.0	7.345028e-15
17.0	8.338854e-15
18.0	9.351607e-15
19.0	1.037790e-14
20.0	1.141315e-14
21.0	1.245344e-14
22.0	1.349545e-14
23.0	1.453640e-14
24.0	1.557390e-14
25.0	1.660599e-14
26.0	1.763100e-14
27.0	1.864754e-14
28.0	1.965447e-14
29.0	2.065084e-14
30.0	2.163588e-14
31.0	2.260896e-14
32.0	2.356960e-14
33.0	2.451741e-14
34.0	2.545208e-14
35.0	2.637342e-14
36.0	2.728128e-14
37.0	2.817557e-14
38.0	2.905625e-14
39.0	2.992332e-14
40.0	3.077684e-14
41.0	3.161687e-14
42.0	3.244351e-14
43.0	3.325687e-14
44.0	3.405711e-14
45.0	3.484436e-14
46.0	3.561879e-14
47.0	3.638058e-14
48.0	3.712990e-14
49.0	3.786696e-14
50.0	3.859194e-14
51.0	3.930504e-14
52.0	4.000645e-14
53.0	4.069639e-14
54.0	4.137506e-14
55.0	4.204265e-14
56.0	4.269936e-14
57.0	4.334541e-14
58.0	4.398099e-14
59.0	4.460629e-14
60.0	4.522151e-14
61.0	4.582685e-14
62.0	4.642250e-14
63.0	4.700863e-14
64.0	4.758545e-14
65.0	4.815312e-14
66.0	4.871183e-14
67.0	4.926176e-14
68.0	4.980307e-14
69.0	5.033593e-14
70.0	5.086051e-14
71.0	5.137698e-14
72.0	5.188548e-14
73.0	5.238618e-14
74.0	5.287923e-14
75.0	5.336477e-14
76.0	5.384296e-14
77.0	5.431393e-14
78.0	5.477783e-14
79.0	5.523479e-14
80.0	5.568494e-14
81.0	5.612842e-14
82.0	5.656535e-14
83.0	5.699586e-14
84.0	5.742007e-14
85.0	5.783810e-14
86.0	5.825006e-14
87.0	5.865607e-14
88.0	5.905625e-14
89.0	5.945069e-14
90.0	5.983950e-14
91.0	6.022280e-14
