Ionization energy (eV): 15.58
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	3.008922e-25
2.0	6.383132e-20
3.0	4.436344e-18
4.0	3.991866e-17
5.0	1.558021e-16
6.0	3.970134e-16
7.0	7.890607e-16
8.0	1.338613e-15
9.0	2.039368e-15
10.0	2.877699e-15
11.0	3.836684e-15
12.0	4.898627e-15
13.0	6.046485e-15
14.0	7.264603e-15
15.0	8.539011e-15
16.0	9.857483e-15
17.0	1.120946e-14
18.0	1.258591e-14
19.0	1.397916e-14
20.0	1.538273e-14
21.0	1.679116e-14
22.0	1.819989e-14
23.0	1.960511e-14
24.0	2.100365e-14
25.0	2.239289e-14
26.0	2.377060e-14
27.0	2.513505e-14
28.0	2.648512e-14
29.0	2.781930e-14
30.0	2.913665e-14
31.0	3.043644e-14
32.0	3.171878e-14
33.0	3.298224e-14
34.0	3.422720e-14
35.0	3.545348e-14
36.0	3.666063e-14
37.0	3.784897e-14
38.0	3.901854e-14
39.0	4.016905e-14
40.0	4.130136e-14
41.0	4.241456e-14
42.0	4.350991e-14
43.0	4.458691e-14
44.0	4.564652e-14
45.0	4.668826e-14
46.0	4.771278e-14
47.0	4.871997e-14
48.0	4.971086e-14
49.0	5.068499e-14
50.0	5.164338e-14
51.0	5.258561e-14
52.0	5.351233e-14
53.0	5.442383e-14
54.0	5.532005e-14
55.0	5.620199e-14
56.0	5.706958e-14
57.0	5.792275e-14
58.0	5.876250e-14
59.0	5.958839e-14
60.0	6.040104e-14
61.0	6.120072e-14
62.0	6.198771e-14
63.0	6.276261e-14
64.0	6.352496e-14
65.0	6.427501e-14
66.0	6.501373e-14
67.0	6.574098e-14
68.0	6.645701e-14
69.0	6.716204e-14
70.0	6.785594e-14
71.0	6.853964e-14
72.0	6.921264e-14
73.0	6.987586e-14
74.0	7.052880e-14
75.0	7.117236e-14
76.0	7.180602e-14
77.0	7.243069e-14
78.0	7.304585e-14
79.0	7.365203e-14
80.0	7.424974e-14
81.0	7.483848e-14
82.0	7.541875e-14
83.0	7.599072e-14
84.0	7.655456e-14
85.0	7.711041e-14
86.0	7.765843e-14
87.0	7.819910e-14
88.0	7.873190e-14
89.0	7.925731e-14
90.0	7.977546e-14
91.0	8.028649e-14
92.0	8.079053e-14
93.0	8.128738e-14
94.0	8.177784e-14
95.0	8.226169e-14
96.0	8.273904e-14
97.0	8.321003e-14
98.0	8.367476e-14
99.0	8.413335e-14
100.0	8.458590e-14
101.0	8.503220e-14
102.0	8.547300e-14
103.0	8.590808e-14
104.0	8.633754e-14
105.0	8.676116e-14
106.0	8.717967e-14
107.0	8.759285e-14
108.0	8.800046e-14
109.0	8.840325e-14
110.0	8.880096e-14
111.0	8.919338e-14
112.0	8.958122e-14
113.0	8.996424e-14
114.0	9.034221e-14
115.0	9.071584e-14
116.0	9.108488e-14
117.0	9.144911e-14
118.0	9.180922e-14
119.0	9.216465e-14
120.0	9.251611e-14
121.0	9.286303e-14
122.0	9.320610e-14
123.0	9.354478e-14
124.0	9.387974e-14
125.0	9.421075e-14
126.0	9.453753e-14
127.0	9.486080e-14
128.0	9.517997e-14
129.0	9.549543e-14
130.0	9.580752e-14
131.0	9.611571e-14
132.0	9.642064e-14
133.0	9.672177e-14
134.0	9.701976e-14
135.0	9.731405e-14
136.0	9.760529e-14
137.0	9.789294e-14
138.0	9.817764e-14
139.0	9.845885e-14
140.0	9.873690e-14
141.0	9.901215e-14
142.0	9.928404e-14
143.0	9.955320e-14
144.0	9.981910e-14
145.0	1.000821e-13
146.0	1.003424e-13
147.0	1.005997e-13
148.0	1.008541e-13
149.0	1.011061e-13
150.0	1.013550e-13
151.0	1.016015e-13
152.0	1.018451e-13
153.0	1.020861e-13
154.0	1.023248e-13
155.0	1.025606e-13
156.0	1.027940e-13
157.0	1.030251e-13
158.0	1.032536e-13
159.0	1.034796e-13
160.0	1.037035e-13
161.0	1.039248e-13
162.0	1.041438e-13
163.0	1.043605e-13
164.0	1.045753e-13
165.0	1.047875e-13
166.0	1.049976e-13
167.0	1.052057e-13
168.0	1.054115e-13
169.0	1.056151e-13
170.0	1.058167e-13
171.0	1.060165e-13
172.0	1.062140e-13
173.0	1.064095e-13
174.0	1.066033e-13
175.0	1.067949e-13
176.0	1.069846e-13
177.0	1.071723e-13
178.0	1.073585e-13
179.0	1.075425e-13
180.0	1.077248e-13
181.0	1.079052e-13
182.0	1.080841e-13
183.0	1.082610e-13
184.0	1.084361e-13
185.0	1.086095e-13
186.0	1.087813e-13
187.0	1.089516e-13
188.0	1.091200e-13
189.0	1.092868e-13
190.0	1.094520e-13
191.0	1.096159e-13
192.0	1.097779e-13
193.0	1.099384e-13
194.0	1.100973e-13
195.0	1.102548e-13
196.0	1.104110e-13
197.0	1.105654e-13
198.0	1.107184e-13
199.0	1.108700e-13
200.0	1.110204e-13
201.0	1.111691e-13
202.0	1.113165e-13
203.0	1.114624e-13
204.0	1.116070e-13
205.0	1.117503e-13
206.0	1.118925e-13
207.0	1.120332e-13
208.0	1.121725e-13
209.0	1.123106e-13
210.0	1.124474e-13
211.0	1.125832e-13
212.0	1.127176e-13
213.0	1.128507e-13
214.0	1.129826e-13
215.0	1.131133e-13
216.0	1.132429e-13
217.0	1.133715e-13
218.0	1.134987e-13
219.0	1.136248e-13
220.0	1.137498e-13
221.0	1.138737e-13
222.0	1.139965e-13
223.0	1.141184e-13
224.0	1.142391e-13
225.0	1.143586e-13
226.0	1.144771e-13
227.0	1.145946e-13
228.0	1.147111e-13
229.0	1.148268e-13
230.0	1.149413e-13
231.0	1.150547e-13
232.0	1.151672e-13
233.0	1.152788e-13
234.0	1.153893e-13
235.0	1.154990e-13
236.0	1.156079e-13
237.0	1.157157e-13
238.0	1.158226e-13
239.0	1.159286e-13
240.0	1.160336e-13
241.0	1.161378e-13
242.0	1.162412e-13
243.0	1.163439e-13
244.0	1.164455e-13
245.0	1.165463e-13
246.0	1.166462e-13
247.0	1.167454e-13
248.0	1.168437e-13
249.0	1.169412e-13
250.0	1.170382e-13
251.0	1.171341e-13
252.0	1.172292e-13
253.0	1.173236e-13
254.0	1.174172e-13
255.0	1.175101e-13
256.0	1.176023e-13
257.0	1.176936e-13
258.0	1.177843e-13
259.0	1.178745e-13
260.0	1.179637e-13
261.0	1.180523e-13
262.0	1.181401e-13
263.0	1.182273e-13
264.0	1.183137e-13
265.0	1.183995e-13
266.0	1.184847e-13
267.0	1.185694e-13
268.0	1.186532e-13
269.0	1.187364e-13
270.0	1.188190e-13
271.0	1.189009e-13
272.0	1.189822e-13
273.0	1.190629e-13
274.0	1.191430e-13
275.0	1.192225e-13
276.0	1.193016e-13
277.0	1.193799e-13
278.0	1.194576e-13
279.0	1.195347e-13
280.0	1.196113e-13
281.0	1.196873e-13
282.0	1.197628e-13
283.0	1.198377e-13
284.0	1.199120e-13
285.0	1.199859e-13
286.0	1.200594e-13
287.0	1.201321e-13
288.0	1.202044e-13
289.0	1.202761e-13
290.0	1.203473e-13
291.0	1.204180e-13
292.0	1.204883e-13
293.0	1.205580e-13
294.0	1.206272e-13
295.0	1.206960e-13
296.0	1.207642e-13
297.0	1.208323e-13
298.0	1.208996e-13
299.0	1.209665e-13
300.0	1.210329e-13
