Ionization energy (eV): 29.60125
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	9.442155e-35
2.0	6.642470e-25
3.0	1.458185e-21
4.0	7.313910e-20
5.0	7.976782e-19
6.0	4.026888e-18
7.0	1.303402e-17
8.0	3.186846e-17
9.0	6.451145e-17
10.0	1.142762e-16
11.0	1.835379e-16
12.0	2.737075e-16
13.0	3.853418e-16
14.0	5.183056e-16
15.0	6.719424e-16
16.0	8.452256e-16
17.0	1.036886e-15
18.0	1.245509e-15
19.0	1.469615e-15
20.0	1.707710e-15
21.0	1.958326e-15
22.0	2.220050e-15
23.0	2.491539e-15
24.0	2.771533e-15
25.0	3.058856e-15
26.0	3.352422e-15
27.0	3.651230e-15
28.0	3.954364e-15
29.0	4.260990e-15
30.0	4.570348e-15
31.0	4.881749e-15
32.0	5.194571e-15
33.0	5.508253e-15
34.0	5.822288e-15
35.0	6.136224e-15
36.0	6.449653e-15
37.0	6.762212e-15
38.0	7.073575e-15
39.0	7.383456e-15
40.0	7.691597e-15
41.0	7.997771e-15
42.0	8.301779e-15
43.0	8.603444e-15
44.0	8.902613e-15
45.0	9.199152e-15
46.0	9.492945e-15
47.0	9.783891e-15
48.0	1.007191e-14
49.0	1.035692e-14
50.0	1.063886e-14
51.0	1.091770e-14
52.0	1.119338e-14
53.0	1.146588e-14
54.0	1.173518e-14
55.0	1.200125e-14
56.0	1.226409e-14
57.0	1.252370e-14
58.0	1.278007e-14
59.0	1.303322e-14
60.0	1.328315e-14
61.0	1.352987e-14
62.0	1.377341e-14
63.0	1.401378e-14
64.0	1.425100e-14
65.0	1.448511e-14
66.0	1.471612e-14
67.0	1.494407e-14
68.0	1.516898e-14
69.0	1.539088e-14
70.0	1.560981e-14
71.0	1.582581e-14
72.0	1.603889e-14
73.0	1.624911e-14
74.0	1.645649e-14
75.0	1.666107e-14
76.0	1.686289e-14
77.0	1.706198e-14
78.0	1.725838e-14
79.0	1.745212e-14
80.0	1.764324e-14
81.0	1.783178e-14
82.0	1.801778e-14
83.0	1.820126e-14
84.0	1.838228e-14
85.0	1.856085e-14
86.0	1.873702e-14
87.0	1.891083e-14
88.0	1.908230e-14
89.0	1.925147e-14
90.0	1.941839e-14
91.0	1.958307e-14
92.0	1.974556e-14
93.0	1.990589e-14
94.0	2.006408e-14
95.0	2.022018e-14
96.0	2.037422e-14
97.0	2.052622e-14
98.0	2.067621e-14
99.0	2.082424e-14
100.0	2.097032e-14
101.0	2.111450e-14
102.0	2.125679e-14
103.0	2.139722e-14
104.0	2.153583e-14
105.0	2.167265e-14
106.0	2.180769e-14
107.0	2.194099e-14
108.0	2.207257e-14
109.0	2.220247e-14
110.0	2.233070e-14
111.0	2.245729e-14
112.0	2.258227e-14
113.0	2.270566e-14
114.0	2.282748e-14
115.0	2.294777e-14
116.0	2.306653e-14
117.0	2.318380e-14
118.0	2.329960e-14
119.0	2.341395e-14
120.0	2.352687e-14
121.0	2.363838e-14
122.0	2.374851e-14
123.0	2.385727e-14
124.0	2.396469e-14
125.0	2.407078e-14
126.0	2.417557e-14
127.0	2.427907e-14
128.0	2.438130e-14
129.0	2.448229e-14
130.0	2.458205e-14
131.0	2.468059e-14
132.0	2.477794e-14
133.0	2.487412e-14
134.0	2.496913e-14
135.0	2.506301e-14
136.0	2.515575e-14
137.0	2.524739e-14
138.0	2.533793e-14
139.0	2.542740e-14
140.0	2.551580e-14
141.0	2.560315e-14
142.0	2.568947e-14
143.0	2.577478e-14
144.0	2.585908e-14
145.0	2.594239e-14
146.0	2.602472e-14
147.0	2.610609e-14
148.0	2.618652e-14
149.0	2.626600e-14
150.0	2.634457e-14
151.0	2.642223e-14
152.0	2.649899e-14
153.0	2.657486e-14
154.0	2.664986e-14
155.0	2.672400e-14
156.0	2.679730e-14
157.0	2.686975e-14
158.0	2.694138e-14
159.0	2.701220e-14
160.0	2.708221e-14
161.0	2.715143e-14
162.0	2.721986e-14
163.0	2.728753e-14
164.0	2.735443e-14
165.0	2.742058e-14
166.0	2.748599e-14
167.0	2.755067e-14
168.0	2.761462e-14
169.0	2.767786e-14
170.0	2.774040e-14
171.0	2.780225e-14
172.0	2.786341e-14
173.0	2.792389e-14
174.0	2.798371e-14
175.0	2.804287e-14
176.0	2.810138e-14
177.0	2.815924e-14
178.0	2.821647e-14
179.0	2.827308e-14
180.0	2.832907e-14
181.0	2.838445e-14
182.0	2.843922e-14
183.0	2.849340e-14
184.0	2.854700e-14
185.0	2.860001e-14
186.0	2.865245e-14
187.0	2.870433e-14
188.0	2.875564e-14
189.0	2.880641e-14
190.0	2.885663e-14
191.0	2.890631e-14
192.0	2.895546e-14
193.0	2.900409e-14
194.0	2.905219e-14
195.0	2.909979e-14
196.0	2.914688e-14
197.0	2.919347e-14
198.0	2.923956e-14
199.0	2.928517e-14
200.0	2.933029e-14
201.0	2.937494e-14
202.0	2.941912e-14
203.0	2.946283e-14
204.0	2.950608e-14
205.0	2.954888e-14
206.0	2.959123e-14
207.0	2.963313e-14
208.0	2.967460e-14
209.0	2.971563e-14
210.0	2.975624e-14
211.0	2.979642e-14
212.0	2.983619e-14
213.0	2.987554e-14
214.0	2.991448e-14
215.0	2.995302e-14
216.0	2.999115e-14
217.0	3.002890e-14
218.0	3.006625e-14
219.0	3.010322e-14
220.0	3.013980e-14
221.0	3.017601e-14
222.0	3.021185e-14
223.0	3.024731e-14
224.0	3.028241e-14
225.0	3.031716e-14
226.0	3.035154e-14
227.0	3.038557e-14
228.0	3.041926e-14
229.0	3.045260e-14
230.0	3.048559e-14
231.0	3.051825e-14
232.0	3.055058e-14
233.0	3.058258e-14
234.0	3.061425e-14
235.0	3.064560e-14
236.0	3.067663e-14
237.0	3.070734e-14
238.0	3.073774e-14
239.0	3.076783e-14
240.0	3.079762e-14
241.0	3.082710e-14
242.0	3.085629e-14
243.0	3.088518e-14
244.0	3.091377e-14
245.0	3.094208e-14
246.0	3.097010e-14
247.0	3.099784e-14
248.0	3.102529e-14
249.0	3.105247e-14
250.0	3.107938e-14
251.0	3.110601e-14
252.0	3.113237e-14
253.0	3.115847e-14
254.0	3.118430e-14
255.0	3.120988e-14
256.0	3.123519e-14
257.0	3.126025e-14
258.0	3.128506e-14
259.0	3.130962e-14
260.0	3.133393e-14
261.0	3.135799e-14
262.0	3.138181e-14
263.0	3.140540e-14
264.0	3.142874e-14
265.0	3.145185e-14
266.0	3.147473e-14
267.0	3.149738e-14
268.0	3.151980e-14
269.0	3.154199e-14
270.0	3.156396e-14
271.0	3.158571e-14
272.0	3.160724e-14
273.0	3.162855e-14
274.0	3.164965e-14
275.0	3.167053e-14
276.0	3.169121e-14
277.0	3.171167e-14
278.0	3.173193e-14
279.0	3.175199e-14
280.0	3.177184e-14
281.0	3.179149e-14
282.0	3.181095e-14
283.0	3.183021e-14
284.0	3.184927e-14
285.0	3.186814e-14
286.0	3.188682e-14
287.0	3.190531e-14
288.0	3.192362e-14
289.0	3.194174e-14
290.0	3.195967e-14
