Ionization energy (eV): 44.1354
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	2.349059e-45
2.0	1.455996e-30
3.0	1.537708e-25
4.0	5.488889e-23
5.0	1.963430e-21
6.0	2.197740e-20
7.0	1.258563e-19
8.0	4.723115e-19
9.0	1.334077e-18
10.0	3.083613e-18
11.0	6.153626e-18
12.0	1.099012e-17
13.0	1.801124e-17
14.0	2.757810e-17
15.0	3.997820e-17
16.0	5.541954e-17
17.0	7.403234e-17
18.0	9.587560e-17
19.0	1.209464e-16
20.0	1.491898e-16
21.0	1.805095e-16
22.0	2.147768e-16
23.0	2.518391e-16
24.0	2.915273e-16
25.0	3.336615e-16
26.0	3.780565e-16
27.0	4.245252e-16
28.0	4.728821e-16
29.0	5.229456e-16
30.0	5.745398e-16
31.0	6.274960e-16
32.0	6.816531e-16
33.0	7.368587e-16
34.0	7.929690e-16
35.0	8.498492e-16
36.0	9.073734e-16
37.0	9.654243e-16
38.0	1.023893e-15
39.0	1.082678e-15
40.0	1.141688e-15
41.0	1.200836e-15
42.0	1.260043e-15
43.0	1.319238e-15
44.0	1.378354e-15
45.0	1.437331e-15
46.0	1.496115e-15
47.0	1.554655e-15
48.0	1.612907e-15
49.0	1.670829e-15
50.0	1.728386e-15
51.0	1.785543e-15
52.0	1.842272e-15
53.0	1.898545e-15
54.0	1.954340e-15
55.0	2.009636e-15
56.0	2.064413e-15
57.0	2.118658e-15
58.0	2.172354e-15
59.0	2.225491e-15
60.0	2.278058e-15
61.0	2.330047e-15
62.0	2.381450e-15
63.0	2.432263e-15
64.0	2.482479e-15
65.0	2.532097e-15
66.0	2.581113e-15
67.0	2.629527e-15
68.0	2.677338e-15
69.0	2.724546e-15
70.0	2.771152e-15
71.0	2.817158e-15
72.0	2.862567e-15
73.0	2.907380e-15
74.0	2.951602e-15
75.0	2.995235e-15
76.0	3.038285e-15
77.0	3.080755e-15
78.0	3.122650e-15
79.0	3.163976e-15
80.0	3.204737e-15
81.0	3.244939e-15
82.0	3.284587e-15
83.0	3.323688e-15
84.0	3.362247e-15
85.0	3.400270e-15
86.0	3.437764e-15
87.0	3.474735e-15
88.0	3.511189e-15
89.0	3.547133e-15
90.0	3.582572e-15
91.0	3.617515e-15
92.0	3.651966e-15
93.0	3.685932e-15
94.0	3.719420e-15
95.0	3.752437e-15
96.0	3.784988e-15
97.0	3.817081e-15
98.0	3.848721e-15
99.0	3.879915e-15
100.0	3.910670e-15
101.0	3.940991e-15
102.0	3.970885e-15
103.0	4.000357e-15
104.0	4.029415e-15
