# Ragimkhanov et al., Eur. Phys. J. D 80, 69 (2026), CC BY 4.0, Fig. 1b electron MTCS, vector-path extraction (scripts/build_n_elastic_tables.py). curve: opm = present OPM calculation; wang = Wang et al. 2014 BSR as re-plotted in that figure. E in eV, sigma in a0^2.
curve,E_eV,sigma_a0sq
opm,1.00046,4.19388
opm,1.01761,4.07704
opm,1.02583,4.0144
opm,1.03421,3.9584
opm,1.04342,3.90256
opm,1.05184,3.8426
opm,1.06044,3.789
opm,1.06044,3.8426
opm,1.069,3.73614
opm,1.069,3.789
opm,1.07862,3.73614
opm,1.08733,3.68344
opm,1.09621,3.62684
opm,1.10597,3.57625
opm,1.10597,3.62684
opm,1.1149,3.57625
opm,1.12401,3.52636
opm,1.13309,3.47662
opm,1.14318,3.47662
opm,1.15252,3.4232
opm,1.17131,3.4232
opm,1.18175,3.37545
opm,1.21072,3.37545
opm,1.22161,3.32836
opm,1.29379,3.32836
opm,1.30531,3.37545
opm,1.33731,3.37545
opm,1.33731,3.4232
opm,1.36024,3.4232
opm,1.36024,3.47662
opm,1.38356,3.47662
opm,1.39474,3.52636
opm,1.406,3.52636
opm,1.406,3.57625
opm,1.43011,3.57625
opm,1.43011,3.62684
opm,1.44166,3.62684
opm,1.44166,3.68344
opm,1.46517,3.68344
opm,1.46517,3.73614
opm,1.47822,3.73614
opm,1.47822,3.789
opm,1.49016,3.789
opm,1.49016,3.8426
opm,1.51446,3.8426
opm,1.51446,3.90256
opm,1.52809,3.90256
opm,1.52809,3.9584
opm,1.54043,3.9584
opm,1.54043,4.0144
opm,1.56555,4.0144
opm,1.56555,4.07704
opm,1.57949,4.07704
opm,1.57949,4.13472
opm,1.5924,4.13472
opm,1.5924,4.19388
opm,1.60526,4.19388
opm,1.61837,4.25321
opm,1.63278,4.25321
opm,1.63278,4.31958
opm,1.64597,4.31958
opm,1.64597,4.38069
opm,1.65941,4.38069
opm,1.65941,4.44337
opm,1.67281,4.44337
opm,1.67281,4.5127
opm,1.68786,4.5127
opm,1.68786,4.57654
opm,1.71523,4.57654
opm,1.71523,4.64129
opm,1.73067,4.64129
opm,1.73067,4.7077
opm,1.74464,4.7077
opm,1.74464,4.78116
opm,1.75889,4.78116
opm,1.75889,4.8488
opm,1.7731,4.8488
opm,1.7731,4.91739
opm,1.78889,4.91739
opm,1.78889,4.98775
opm,1.8035,4.98775
opm,1.81807,5.06558
opm,1.83292,5.13724
opm,1.84924,5.20992
opm,1.86417,5.20992
opm,1.86417,5.29122
opm,1.8794,5.29122
opm,1.8794,5.36693
opm,1.89458,5.36693
opm,1.89458,5.44285
opm,1.91162,5.44285
opm,1.91162,5.51985
opm,1.92706,5.51985
opm,1.92706,5.60599
opm,1.9428,5.60599
opm,1.95849,5.6862
opm,1.97593,5.6862
opm,1.97593,5.76664
opm,1.99207,5.76664
opm,2.00816,5.84822
opm,2.02456,5.93948
opm,2.04259,5.93948
opm,2.04259,6.02446
opm,2.05909,6.02446
opm,2.05909,6.10969
opm,2.07591,6.10969
opm,2.09267,6.20503
opm,2.11131,6.29281
opm,2.12836,6.29281
opm,2.12836,6.38285
opm,2.14574,6.38285
opm,2.14574,6.47315
opm,2.16485,6.47315
opm,2.16485,6.57416
opm,2.18234,6.57416
opm,2.20016,6.66716
opm,2.21793,6.66716
opm,2.21793,6.76256
opm,2.25596,6.76256
opm,2.25596,6.86808
opm,2.27418,6.86808
opm,2.27418,6.96524
opm,2.31317,6.96524
opm,2.31317,7.06378
opm,2.3509,7.06378
opm,2.3509,7.16485
opm,2.39121,7.16485
opm,2.39121,7.27666
opm,2.41052,7.27666
opm,2.42999,7.3796
opm,2.44983,7.3796
opm,2.44983,7.48399
opm,2.47165,7.48399
opm,2.49184,7.59108
opm,2.51196,7.59108
opm,2.51196,7.70954
opm,2.55503,7.70954
opm,2.55503,7.8186
opm,2.57567,7.8186
opm,2.57567,7.92921
opm,2.61768,7.92921
opm,2.61768,8.05294
opm,2.68406,8.05294
opm,2.68406,8.16816
opm,2.70821,8.16816
opm,2.70821,8.28372
opm,2.75213,8.28372
opm,2.75213,8.4009
opm,2.77461,8.4009
opm,2.79932,8.532
opm,2.82219,8.532
opm,2.82219,8.65408
opm,2.86821,8.65408
opm,2.86821,8.7765
opm,2.94095,8.7765
opm,2.94095,8.90066
opm,3.01554,8.90066
opm,3.01554,9.03955
opm,3.06472,9.03955
opm,3.06472,9.1689
opm,3.14244,9.1689
opm,3.14244,9.29861
opm,3.22214,9.29861
opm,3.22214,9.44371
opm,3.27739,9.44371
opm,3.27739,9.5773
opm,3.35743,9.5773
opm,3.35743,9.71434
opm,3.44258,9.71434
opm,3.4707,9.85177
opm,3.55872,9.85177
opm,3.55872,10.0055
opm,3.64897,10.0055
opm,3.64897,10.147
opm,3.74151,10.147
opm,3.77207,10.2922
opm,3.86773,10.2922
opm,3.86773,10.4528
opm,3.96256,10.4528
opm,3.96256,10.6007
opm,4.13272,10.6007
opm,4.16647,10.7524
opm,4.27214,10.7524
opm,4.27214,10.9045
opm,4.45192,10.9045
opm,4.45192,11.0747
opm,4.56483,11.0747
opm,4.56483,11.2313
opm,4.75693,11.2313
opm,4.75693,11.392
opm,4.95667,11.392
opm,4.95667,11.5532
opm,5.00127,11.5532
opm,5.21174,11.5532
opm,5.25383,11.5532
